,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,0.44
total-current-assets,356.383,392.841,373.155,419.772,285.328,319.431,329.373,137.01,160.532,149.391,85.906,108.437,125.268,69.275,86.003,99.639,,,,60.94
net-property-plant-equipment,38.165,37.467,34.731,32.099,30.653,29.34,26.436,24.372,22.759,22.245,19.489,18.936,18.885,16.653,9.69,2.968,,,,
long-term-investments,,,5.517,,1.252,,,,,,,,,,,,,,,1.69
goodwill-intangible-assets-total,11.631,11.631,11.631,11.631,11.631,11.631,11.631,11.631,11.631,11.631,11.631,11.631,11.631,11.631,11.631,11.631,0.0,0.0,0.0,0.0
other-long-term-assets,35.329,36.175,30.142,9.053,8.909,5.649,5.649,5.649,5.325,5.325,4.713,3.053,2.966,2.966,3.231,3.231,,,,0.1
total-long-term-assets,85.125,85.273,82.021,52.783,52.445,46.62,43.716,41.652,39.715,39.201,35.833,33.62,33.482,31.25,24.552,17.83,,,,1.79
total-assets,441.508,478.114,455.176,472.555,337.773,366.051,373.089,178.662,200.247,188.592,121.739,142.057,158.75,100.525,110.555,117.469,0.0,0.0,0.0,63.0
total-current-liabilities,27.854,27.325,26.104,23.852,19.246,16.767,16.119,17.712,13.336,14.855,8.703,12.56,10.144,12.508,9.853,7.723,,,,3.11
long-term-debt,26.49,27.444,23.519,,,,,,,,,,2.411,2.418,1.432,0.519,,,,0.03
other-non-current-liabilities,2.691,2.629,2.544,0.215,2.368,2.355,0.06,0.06,4.54,4.544,4.47,4.38,4.574,4.46,4.368,4.278,,,,
total-long-term-liabilities,30.195,31.087,27.077,5.949,7.972,8.32,4.528,4.352,11.589,11.683,10.508,10.126,10.245,10.138,9.06,8.057,,,,0.03
total-liabilities,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-459.366,-413.625,-368.861,-319.47,-283.878,-247.587,-216.22,-190.649,-166.274,-141.265,-118.526,-100.411,-80.735,-65.366,-51.207,-40.743,,,,-14.28
comprehensive-income,0.226,0.226,0.067,-0.06,-0.047,-0.043,-0.094,-0.08,-0.017,-0.037,-0.029,-0.029,-0.002,0.003,0.004,-0.01,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-0.01
total-share-holder-equity,383.459,419.702,401.995,442.754,310.555,340.964,352.442,156.598,175.322,162.054,102.528,119.371,138.361,77.879,91.642,101.689,0.0,0.0,0.0,59.86
total-liabilities-share-holders-equity,441.508,478.114,455.176,472.555,337.773,366.051,373.089,178.662,200.247,188.592,121.739,142.057,158.75,100.525,110.555,117.469,0.0,0.0,0.0,63.0
