,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11
total-current-assets,203.462,124.771,144.159,168.139,211.388,138.526,78.813,95.058,105.976,115.805,41.031,61.445,77.018,89.143,99.474,108.934,115.68,44.031,49.057,53.15,59.41,65.055,68.226,14.558,18.347,,,,,4.55
net-property-plant-equipment,0.748,0.798,0.841,0.88,0.908,0.959,1.053,1.177,1.302,1.399,1.499,1.614,1.665,1.433,1.07,1.263,1.517,1.71,1.897,2.084,2.262,2.439,2.629,2.825,3.021,,,,,10.93
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,3.6,3.752,3.9,0.408,0.408,0.408,0.769,0.769,0.769,0.769,0.769,0.769,1.469,1.469,1.469,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,,,0.7
total-long-term-assets,60.333,24.87,26.428,22.684,1.316,1.367,1.822,1.946,2.071,2.168,2.268,2.383,3.134,2.902,2.539,1.963,2.217,2.41,2.597,2.784,2.962,3.139,3.329,3.525,3.721,,,,,11.63
total-assets,263.795,149.641,170.587,190.823,212.704,139.893,80.635,97.004,108.047,117.973,43.299,63.828,80.152,92.045,102.013,110.897,117.897,46.441,51.654,55.934,62.372,68.194,71.555,18.083,22.068,0.0,0.0,0.0,0.0,10.68
total-current-liabilities,48.299,40.162,42.405,40.447,43.245,34.823,6.875,8.506,7.272,7.19,12.512,11.533,6.825,8.168,6.089,5.268,3.374,3.239,3.427,3.398,6.093,5.617,5.753,5.433,7.275,,,,,2.92
long-term-debt,3.602,3.849,4.087,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,,,,1.562,1.629,1.695,1.657,1.718,1.701,1.563,1.518,1.57,1.525,1.289,0.997,0.585,0.66,0.732,0.803,0.874,0.944,1.009,1.074,1.139,1.202,,,,,1.65
total-long-term-liabilities,3.602,9.934,13.66,16.746,19.929,31.994,1.657,1.718,1.701,1.563,1.518,1.57,1.525,1.289,0.997,0.585,0.66,0.732,0.803,0.874,0.944,1.009,1.074,1.139,1.202,,,,,1.65
total-liabilities,51.901,50.096,56.065,57.193,63.174,66.817,8.532,10.224,8.973,8.753,14.03,13.103,8.35,9.457,7.086,5.853,4.034,3.971,4.23,4.272,7.037,6.626,6.827,6.572,8.477,0.0,0.0,,0.0,4.58
common-stock-net,0.046,0.04,0.039,0.039,0.039,0.034,0.033,0.033,0.033,0.033,0.032,0.027,0.027,0.027,0.027,0.027,0.027,0.023,0.023,0.023,0.023,0.023,0.023,0.004,0.004,0.0,0.0,,0.0,0.003
retained-earnings-accumulated-deficit,-372.116,-339.274,-316.314,-294.354,-273.702,-254.302,-237.108,-220.341,-206.164,-193.72,-184.42,-162.171,-140.199,-128.657,-115.583,-104.891,-95.361,-90.574,-84.89,-80.201,-76.029,-69.484,-65.839,-62.456,-60.363,,,,,-53.11
comprehensive-income,0.153,0.165,0.073,-0.114,0.013,-0.057,-0.114,-0.07,0.04,-0.013,0.024,0.003,0.02,0.041,0.004,-0.035,,,,,,,,,,,,,,
other-share-holders-equity,,,,,,,,,,,-86.518,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,211.894,99.545,114.522,133.63,149.53,73.076,72.103,86.78,99.074,109.22,29.269,50.725,71.802,82.588,94.927,105.044,113.863,42.47,47.424,51.662,55.335,61.568,64.728,11.511,13.591,0.0,0.0,,0.0,6.1
total-liabilities-share-holders-equity,263.795,149.641,170.587,190.823,212.704,139.893,80.635,97.004,108.047,117.973,43.299,63.828,80.152,92.045,102.013,110.897,117.897,46.441,51.654,55.934,62.372,68.194,71.555,18.083,22.068,0.0,0.0,,0.0,10.68
