,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,5.902,5.341,5.177,4.943,4.621,4.666,5.011,5.529,6.17,6.343,6.048,5.461,7.444,8.651,0.595,0.766,0.814,0.731,0.775,0.686,0.496,0.614,0.725,0.518,,,,0.57
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
total-current-assets,68.124,68.324,77.578,81.114,41.943,30.577,32.697,26.767,16.946,19.909,23.076,26.673,35.123,32.461,27.666,34.362,37.969,40.005,42.301,40.346,42.011,13.53,9.48,8.171,,,,7.6
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,69.558,68.163,43.764,45.257,12.005,46.765,43.994,45.144,46.312,45.748,44.925,46.963,63.491,64.416,18.655,18.655,18.655,18.655,18.655,18.655,18.655,18.655,,,0.0,0.0,0.0,0.0
other-long-term-assets,3.495,2.912,2.697,0.192,34.476,0.177,0.206,9.579,9.554,9.553,9.553,0.163,0.173,0.163,0.167,0.196,0.147,0.147,0.147,0.172,0.147,0.147,0.149,0.149,,,,0.15
total-long-term-assets,76.709,74.583,50.281,49.583,49.503,49.302,46.255,56.798,58.147,57.829,57.246,50.057,66.969,67.992,21.168,21.276,21.373,21.361,20.976,20.795,20.851,20.467,1.615,1.702,,,,12.59
total-assets,144.833,142.907,127.859,130.697,91.446,79.879,78.952,83.565,75.093,77.738,80.322,76.73,102.092,100.453,48.834,55.638,59.342,61.366,63.277,61.141,62.862,33.997,11.095,9.873,0.0,0.0,0.0,9.87
total-current-liabilities,30.971,28.62,16.37,19.504,15.817,14.176,13.445,42.906,30.961,54.236,53.003,40.832,39.605,38.246,14.231,10.152,10.454,8.242,6.275,11.135,11.118,21.214,10.578,7.593,,,,6.43
long-term-debt,,,,,13.384,13.337,9.729,18.338,21.174,,,1.098,8.496,10.072,11.368,12.887,12.125,13.389,14.609,5.451,6.93,8.338,9.591,10.914,,,,13.41
other-non-current-liabilities,9.203,18.811,13.296,12.297,13.13,18.324,16.447,21.699,15.425,3.759,4.56,6.922,8.381,9.621,0.735,0.976,0.646,0.991,0.849,1.102,1.037,2.313,3.139,2.804,,,,
total-long-term-liabilities,16.319,21.121,15.867,15.265,31.241,36.751,32.114,46.613,44.307,11.516,12.459,16.137,25.707,29.697,14.143,15.992,14.985,16.351,17.535,8.708,10.705,14.249,17.239,17.751,,,,15.44
total-liabilities,47.29,49.741,32.237,34.769,47.058,50.927,45.559,89.519,75.268,65.752,65.462,56.969,65.312,67.943,28.374,26.144,25.439,24.593,23.81,19.843,21.823,35.463,27.817,25.344,0.0,0.0,0.0,21.87
common-stock-net,0.042,0.042,0.041,0.041,0.039,0.036,0.035,0.029,0.023,0.021,0.021,0.021,0.021,0.019,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.001,0.001,0.001,0.0,0.0,0.0,0.001
retained-earnings-accumulated-deficit,-329.036,-327.223,-319.376,-311.845,-308.09,-288.12,-274.058,-268.022,-236.351,-222.083,-218.115,-212.553,-197.071,-193.305,-182.836,-173.084,-168.322,-164.834,-161.649,-159.375,-159.37,-160.583,-161.46,-160.156,,,,-156.61
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,97.543,93.166,95.622,95.928,44.388,28.952,33.393,-5.954,-0.175,11.986,14.86,19.761,36.78,32.51,20.46,29.494,33.903,36.773,39.467,41.298,41.039,-1.466,-16.722,-15.471,0.0,0.0,0.0,-12.0
total-liabilities-share-holders-equity,144.833,142.907,127.859,130.697,91.446,79.879,78.952,83.565,75.093,77.738,80.322,76.73,102.092,100.453,48.834,55.638,59.342,61.366,63.277,61.141,62.862,33.997,11.095,9.873,0.0,0.0,0.0,9.87
