,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,24.864,26.581,24.986,27.072,43.682,62.989,69.192,27.508,5.345,6.478,6.504,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,18.095,17.377,15.452,8.613,25.294,8.36,9.115,27.961,37.729,6.766,5.645,6.679,5.194,6.559,8.09,7.736,7.159,7.44,5.257,4.73,7.925,5.83,4.817,4.392,0.727,0.598,0.524,0.659,0.378,0.419,0.65,0.247,,,,2.92,
total-current-assets,418.475,378.744,467.077,572.299,690.756,768.618,559.673,626.94,698.898,715.771,428.819,279.41,331.348,399.537,463.971,539.701,615.44,388.197,441.704,491.172,526.751,279.643,309.337,328.596,358.518,373.443,130.392,144.872,163.3,177.918,122.175,141.515,,,,25.22,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,127.206,128.417,128.884,115.004,115.783,116.955,86.149,84.778,84.185,82.322,78.69,78.239,60.748,60.606,167.464,160.827,257.322,256.78,246.219,278.955,289.205,313.434,316.442,319.329,,,,,,,,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,155.988,163.012,172.463,149.733,73.89,76.463,29.164,19.505,18.206,47.648,24.879,2.468,1.821,2.868,8.031,7.912,15.624,14.694,13.47,4.541,12.725,4.507,2.499,0.755,0.753,0.751,0.036,0.038,0.038,0.037,0.035,0.034,,,,0.02,
total-long-term-assets,298.417,307.231,317.54,291.261,200.708,199.114,119.251,108.29,106.461,134.125,107.795,85.147,67.276,68.448,180.603,173.685,276.249,274.807,263.005,286.214,304.776,319.239,320.054,321.039,1.741,1.781,1.105,1.122,2.019,1.981,2.038,1.93,,,,1.06,
total-assets,716.892,685.975,784.617,863.56,891.464,967.732,678.924,735.23,805.359,849.896,536.614,364.557,398.624,467.985,644.574,713.386,891.689,663.004,704.709,777.386,831.527,598.882,629.391,649.635,360.259,375.224,131.497,145.994,165.319,179.899,124.213,143.445,0.0,0.0,0.0,26.2,0.0
total-current-liabilities,111.36,106.098,106.422,125.749,76.492,76.616,85.442,81.517,219.385,219.377,58.869,65.597,59.07,72.856,73.941,75.576,75.937,62.428,55.684,47.772,30.979,24.974,24.156,20.952,14.579,12.012,11.49,12.16,12.031,9.847,9.675,10.996,,,,5.33,
