,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,1.17,
total-current-assets,131.116,145.315,161.784,180.149,196.06,208.994,219.463,205.734,209.677,106.229,86.428,97.729,109.768,120.083,130.555,144.108,143.356,153.397,115.635,81.72,93.302,100.965,110.638,34.045,,,,28.85,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,12.848,12.911,12.967,3.479,3.887,3.823,3.827,3.837,0.441,0.449,0.458,0.467,0.418,0.422,0.492,0.478,0.425,0.434,0.442,0.45,0.459,0.731,0.74,3.255,,,,0.82,
total-long-term-assets,20.841,21.286,21.607,12.398,12.496,11.521,8.183,6.002,2.552,2.393,2.603,2.666,2.594,2.548,2.74,2.824,2.898,2.806,2.725,2.734,2.434,2.742,2.987,5.728,,,,9.65,
total-assets,151.957,166.601,183.391,192.547,208.556,220.515,227.646,211.736,212.229,108.622,89.031,100.395,112.362,122.631,133.295,146.932,146.254,156.203,118.36,84.454,95.736,103.707,113.625,39.773,0.0,0.0,0.0,33.12,0.0
total-current-liabilities,13.754,7.403,7.915,8.749,7.344,6.166,6.57,6.445,7.448,6.077,4.9,5.57,6.898,7.007,5.471,6.627,7.618,10.585,14.554,18.618,20.375,19.648,16.88,15.917,,,,7.91,
long-term-debt,16.19,16.377,16.558,,,,,,,29.188,,,,,,,,,,,0.775,3.013,5.203,7.35,,,,15.5,
other-non-current-liabilities,,,,4.088,4.202,3.521,0.846,,,0.084,0.167,0.249,0.331,0.412,0.493,0.573,0.653,0.731,0.81,0.888,0.692,0.128,0.257,0.848,,,,1.35,
total-long-term-liabilities,18.94,25.497,25.678,16.058,15.459,14.066,10.679,8.859,8.921,38.164,9.111,9.231,9.324,9.441,9.562,9.67,9.767,9.874,10.316,11.011,12.359,14.356,19.548,23.716,,,,20.05,
total-liabilities,32.694,32.9,33.593,24.807,22.803,20.232,17.249,15.304,16.369,44.241,14.011,14.801,16.222,16.448,15.033,16.297,17.385,20.459,24.87,29.629,32.734,34.004,36.428,39.633,0.0,0.0,0.0,27.96,0.0
common-stock-net,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.018,0.018,0.018,0.018,0.001,0.0,0.0,0.0,0.001,0.0
retained-earnings-accumulated-deficit,-174.194,-157.009,-138.341,-116.515,-95.665,-78.279,-64.954,-76.243,-70.177,-198.242,-185.215,-171.882,-159.839,-148.483,-135.042,-121.162,-121.846,-113.292,-154.338,-145.336,-136.409,-128.577,-120.587,-113.637,,,,-107.58,
comprehensive-income,-0.035,0.004,-0.04,-0.137,-0.241,-0.328,-0.482,-0.407,-0.067,-0.044,-0.034,-0.007,0.033,0.043,0.031,-0.018,0.02,-0.013,0.006,-0.014,0.015,0.011,-0.004,0.004,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.004,0.0
total-share-holder-equity,119.263,133.701,149.798,167.74,185.753,200.283,210.397,196.432,195.86,64.381,75.02,85.594,96.14,106.183,118.262,130.635,128.869,135.744,93.49,54.825,63.002,69.703,77.197,0.14,0.0,0.0,0.0,5.16,0.0
total-liabilities-share-holders-equity,151.957,166.601,183.391,192.547,208.556,220.515,227.646,211.736,212.229,108.622,89.031,100.395,112.362,122.631,133.295,146.932,146.254,156.203,118.36,84.454,95.736,103.707,113.625,39.773,0.0,0.0,0.0,33.12,0.0
