,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,832.0,762.0,755.0,784.0,1000.0,1001.0,1153.0,687.0,829.0,736.0,723.0,715.0,922.0,1212.0,1317.0,390.0,488.0,483.0,528.0,252.0,319.7,313.946,320.393,217.0,148.576,164.41,178.002,93.322,123.841,98.805,82.925,78.363,68.908,69.143,67.062,65.066,63.408,83.843,69.136,64.866,61.294,73.686,63.497,75.333,48.109,38.602,37.373,39.382,42.496,46.257,48.499,17.279,20.776,20.714,24.992,24.439,20.5,16.482,19.689
total-current-assets,13457.0,13596.0,13616.0,11998.0,13088.0,12377.0,10976.0,8703.0,9660.0,9648.0,9408.0,8365.0,7755.0,7853.0,7551.0,3605.0,3596.0,3838.0,3590.0,2951.0,2767.711,2324.886,2281.849,1800.0,1368.435,1342.36,1375.271,1405.825,1376.505,1073.438,920.377,940.01,766.376,774.536,743.829,656.821,675.988,545.837,571.902,616.134,614.058,685.764,637.251,666.343,634.12,578.847,443.61,446.339,450.452,439.551,481.534,451.822,374.756,325.702,281.044,272.605,243.801,217.256,249.24
net-property-plant-equipment,1993.0,1878.0,1800.0,1706.0,1584.0,1327.0,1250.0,1104.0,1003.0,912.0,841.0,797.0,725.0,626.0,580.0,518.0,488.0,462.0,450.0,445.0,424.229,423.905,412.699,395.0,390.2,388.965,382.853,375.893,381.781,379.97,352.71,349.622,345.6,340.392,334.18,326.341,311.195,313.839,269.492,230.421,209.92,194.277,176.719,175.858,170.038,157.775,151.265,135.883,139.671,131.829,121.403,110.688,103.175,90.344,82.853,67.199,55.073,48.479,45.264
long-term-investments,7915.0,7632.0,7186.0,6861.0,6272.0,5746.0,5535.0,5312.0,4927.0,4816.0,4636.0,4545.0,4568.0,4230.0,3973.0,1927.0,1992.0,1541.0,1527.0,1280.0,1108.261,996.965,840.152,792.0,816.91,769.905,748.307,554.77,559.714,630.866,605.866,506.14,530.452,518.49,556.806,595.879,479.164,537.399,558.27,525.497,486.889,394.395,422.873,332.411,288.212,254.578,324.173,317.041,289.608,287.719,182.267,116.052,146.666,117.257,127.289,123.661,130.347,134.621,122.536
goodwill-intangible-assets-total,8958.0,9289.0,9189.0,9254.0,9226.0,7350.0,6814.0,6147.0,6140.0,6178.0,6216.0,6257.0,6296.0,6316.0,6088.0,1174.0,1010.0,959.0,917.0,874.0,880.357,723.972,742.6851,397.0,398.089,397.041,275.575,276.556,277.663,278.769,308.103,309.411,310.776,312.323,305.918,307.16,272.365,268.893,286.936,247.066,242.554,240.835,241.819,180.955,186.894,153.186,153.631,150.199,146.98,150.788,146.495,145.436,151.468,235.579,216.327,174.646,180.796,145.45,115.719
other-long-term-assets,655.0,1973.0,1778.0,555.0,987.0,1943.0,595.0,589.0,270.0,286.0,261.0,233.0,290.0,471.0,460.0,115.0,236.0,222.0,212.0,274.0,240.156,186.409,138.787,107.0,165.403,146.964,105.151,98.564,95.273,86.507,96.091,85.153,84.294,64.703,62.952,57.681,48.987,56.127,20.618,56.961,54.386,43.483,46.851,68.337,78.789,70.679,66.596,42.497,59.529,40.115,39.678,33.564,37.776,32.254,30.294,29.919,29.594,28.64,28.025
total-long-term-assets,20795.0,20772.0,19953.0,18903.0,18069.0,16366.0,14194.0,13152.0,12340.0,12192.0,11954.0,11832.0,11879.0,11643.0,11101.0,3734.0,3726.0,3184.0,3106.0,2873.0,2678.634,2357.681,2164.598,1729.0,1770.602,1702.875,1511.886,1368.08,1314.431,1376.112,1362.77,1250.326,1271.122,1235.908,1259.856,1287.061,1119.189,1187.7,1158.769,1086.23,1020.956,900.4451,915.579,784.809,723.933,636.218,695.665,675.485,635.788,610.4509,489.843,443.158,439.085,475.434,456.763,395.425,395.81,357.19,311.544
total-assets,34252.0,34368.0,33569.0,30901.0,31157.0,28743.0,25170.0,21855.0,22000.0,21840.0,21362.0,20197.0,19634.0,19496.0,18652.0,7339.0,7322.0,7022.0,6696.0,5824.0,5446.345,4682.567,4446.447,3529.0,3139.037,3045.235,2887.157,2773.905,2690.936,2449.55,2283.147,2190.336,2037.498,2010.444,2003.685,1943.882,1795.177,1733.537,1730.671,1702.364,1635.014,1586.209,1552.83,1451.152,1358.053,1215.065,1139.275,1121.824,1086.24,1050.002,971.377,894.98,813.841,801.136,737.807,668.03,639.611,574.446,560.784
total-current-liabilities,13280.0,12653.0,13143.0,11971.0,12741.0,9862.0,10890.0,9332.0,9709.0,8966.0,9202.0,8623.0,9023.0,8814.0,7871.0,3629.0,3563.0,3458.0,3343.0,2900.0,2634.293,2117.707,2021.443,1559.0,1386.972,1320.572,1307.094,1229.313,1280.114,1034.236,888.322,837.613,730.38,749.773,817.047,765.246,661.092,636.819,685.113,715.908,707.923,663.444,681.463,640.978,596.765,518.047,466.762,486.8,464.839,450.028,391.385,387.951,334.255,256.191,234.777,214.651,209.114,194.781,221.998
