,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025
total-current-assets,57.5353,75.3909,92.824,44.2403,58.4594,67.5528,74.4869,65.5047,38.0173,44.0276,50.1476,17.4029,19.2252,22.2999,10.1624,12.7148,13.2713,9.4923,5.1822,6.533,7.5564,8.5269,0.1932,0.3055,,,,0.54
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,5.704,5.8189,5.875,0.0438,0.0199,0.0644,0.0596,0.0408,0.065,0.115,0.05,0.05,0.1864,0.0364,0.0364,0.0364,0.0137,0.0137,0.0137,0.0137,0.0137,,,,,,,
total-long-term-assets,10.5951,8.7313,8.5695,2.749,2.7222,2.7357,2.6528,1.4734,0.4023,0.5335,0.4598,0.4853,0.5318,0.3275,0.3329,0.1605,0.0626,0.0725,0.0641,0.0678,0.0731,0.0078,,,,,,
total-assets,68.1304,84.1221,101.3935,46.9893,61.1816,70.2885,77.1397,66.9782,38.4197,44.5612,50.6074,17.8882,19.757,22.6275,10.4953,12.8753,13.3339,9.5648,5.2463,6.6008,7.6295,8.5347,0.1932,0.3055,0.0,0.0,0.0,0.54
total-current-liabilities,30.5494,29.441,52.0408,18.0893,16.9285,13.4504,10.2767,8.2047,6.3351,6.9138,6.9555,8.8986,6.4272,4.9588,4.0764,3.63,1.8759,2.3409,0.5548,0.738,0.6137,0.8726,0.6472,0.6489,,,,0.27
long-term-debt,7.9403,7.3073,7.0518,,,,,,,,,,,,,,,,,,,0.2116,0.3312,0.3312,,,,0.46
other-non-current-liabilities,,,,1.3759,1.3824,1.3529,1.3234,0.9899,0.0015,0.0608,0.0658,0.0704,0.0155,0.0152,0.0149,,,,,,,,,,,,,
total-long-term-liabilities,7.9403,7.3073,7.0518,1.3759,1.3824,1.3529,1.3234,0.9899,0.104,0.0608,0.0658,0.0704,0.0155,0.0152,0.0149,0.2603,0.2841,0.4547,,,,0.2116,0.3312,0.3312,,,,0.46
total-liabilities,38.4897,36.7483,59.0926,19.4652,18.3108,14.8033,11.6001,9.1946,6.4392,6.9746,7.0213,8.9689,6.4427,4.974,4.0913,3.8903,2.16,2.7956,0.5548,0.738,0.6137,1.0843,0.9784,0.9801,0.0,0.0,0.0,0.74
common-stock-net,0.0065,0.0065,0.0064,0.0057,0.0057,0.0057,0.0057,0.0056,0.005,0.005,0.005,0.0045,0.0044,0.0044,0.0038,0.0038,0.0038,0.0031,0.0026,0.0026,0.0026,0.0025,0.005,0.0007,0.0,0.0,0.0,0.0007
retained-earnings-accumulated-deficit,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,29.6407,47.3738,42.301,27.5241,42.8707,55.4852,65.5396,57.7836,31.9805,37.5866,43.5861,8.9192,13.3142,17.6535,6.404,8.985,11.1738,6.7691,4.6916,5.8627,7.0159,7.4504,-0.7852,-0.6746,0.0,0.0,0.0,-0.19
total-liabilities-share-holders-equity,68.1304,84.1221,101.3935,46.9893,61.1816,70.2885,77.1397,66.9782,38.4197,44.5612,50.6074,17.8882,19.757,22.6275,10.4953,12.8753,13.3339,9.5648,5.2463,6.6008,7.6295,8.5347,0.1932,0.3055,0.0,0.0,0.0,0.54
