,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,0.95,,,,0.02
total-current-assets,664.065,438.473,449.796,466.395,496.688,330.549,351.478,248.385,258.586,281.285,296.462,320.188,231.651,249.159,,,,0.96
net-property-plant-equipment,21.074,20.156,18.871,18.5,18.097,18.395,18.907,18.857,19.564,19.927,22.165,21.027,3.862,,,,,
long-term-investments,,,,,,,,,,,,,35.686,35.68,,,,
goodwill-intangible-assets-total,0.249,0.262,0.276,0.289,0.303,0.317,0.331,0.344,0.358,0.372,0.385,0.399,0.413,0.42,0.0,,0.0,0.5
other-long-term-assets,35.202,35.354,28.93,3.832,3.815,3.869,3.736,3.76,3.811,3.391,3.334,3.348,7.041,5.41,,,,0.05
total-long-term-assets,56.525,55.772,48.077,22.621,22.215,22.581,22.974,22.961,23.733,23.69,25.884,24.774,47.002,41.51,,,,0.55
total-assets,720.59,494.245,497.873,489.016,518.903,353.13,374.452,271.346,282.319,304.975,322.346,344.962,278.653,293.059,0.0,0.0,0.0,1.52
total-current-liabilities,79.779,31.412,28.398,27.746,32.278,18.481,14.395,14.511,12.117,15.814,16.915,21.998,78.097,80.599,,,,2.14
long-term-debt,36.827,37.2,31.728,,,,,,,,,,,,,,,
other-non-current-liabilities,0.235,0.22,0.182,11.295,11.505,11.663,11.864,12.075,11.555,12.126,11.945,12.472,0.574,0.68,,,,0.08
total-long-term-liabilities,48.933,95.15,89.665,69.075,69.311,69.495,69.722,69.003,91.244,91.358,90.256,90.118,77.523,77.11,,,,0.08
total-liabilities,128.712,126.562,118.063,96.821,101.589,87.976,84.117,83.514,103.361,107.172,107.171,112.116,155.62,157.718,0.0,,0.0,2.23
common-stock-net,1.684,1.63,1.589,1.584,1.575,1.435,1.423,1.24,1.234,1.226,1.216,1.216,0.174,0.17,0.0,,0.0,0.12
retained-earnings-accumulated-deficit,-255.253,-393.676,-339.977,-291.569,-243.979,-193.268,-154.888,-125.44,-125.58,-100.873,-78.558,-57.083,-74.182,-59.502,,,,-8.4
comprehensive-income,-0.022,-0.01,,-0.008,-0.001,0.005,0.026,0.014,0.012,0.004,-0.002,-0.026,-0.026,,,,,
other-share-holders-equity,,,,,,,,,,,,,,-0.06,0.0,,0.0,0.14
total-share-holder-equity,591.878,367.683,379.81,392.195,417.314,265.154,290.335,187.832,178.958,197.803,215.175,232.846,123.033,135.341,0.0,,0.0,-0.7
total-liabilities-share-holders-equity,720.59,494.245,497.873,489.016,518.903,353.13,374.452,271.346,282.319,304.975,322.346,344.962,278.653,293.05,0.0,,0.0,1.52
