,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,42.122,43.667,45.268,42.638,41.333,35.695,35.496,41.9,39.038,31.73,32.471,30.629,31.189,24.51,25.649,23.922,24.722,18.807,17.319,15.035,16.453,13.005,16.142,10.71,12.497,11.327,10.107,8.169,7.311,6.802,5.816,4.671,4.846,4.348,5.279,3.219,,,1.691,,,,,,,,,,,,,,,,,,,,
total-current-assets,219.086,221.609,215.493,210.022,204.143,183.156,163.317,166.59,148.301,134.413,128.867,135.552,138.697,127.961,123.108,120.771,122.884,116.892,112.047,115.318,119.109,116.397,120.96,111.084,100.369,98.268,92.9,87.623,91.272,84.078,81.247,77.628,80.173,86.882,82.227,72.495,72.299,68.102,67.146,61.793,62.065,71.018,65.302,60.238,74.194,71.359,66.393,60.419,57.026,57.34,64.287,70.647,69.372,67.902,60.469,55.281,57.887,61.302,63.004
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,39.571,39.68,39.789,39.897,40.006,40.12,40.229,40.338,40.433,40.542,40.665,40.774,40.883,40.992,41.101,41.21,41.322,41.436,41.55,41.665,41.779,41.893,42.007,42.123,42.241,42.359,42.477,42.595,42.712,42.83,42.96,43.099,43.202,43.35,43.498,43.649,42.555,42.693,42.897,43.065,42.461,42.257,42.347,41.62,40.96,40.127,39.664,38.995,39.079,36.944,24.311,13.069,13.148,13.157,12.62,12.96,12.974,13.028,12.642
other-long-term-assets,95.818,98.367,0.756,0.958,0.975,1.085,1.102,1.41,2.646,2.352,2.809,3.2,3.272,2.736,2.792,2.987,2.841,2.107,1.677,1.441,0.9,0.952,0.261,0.013,0.142,0.247,0.421,0.094,0.259,0.175,0.311,0.272,,0.07,,0.089,0.28,0.147,,3.835,3.83,3.691,,3.991,4.203,3.863,,0.123,0.22,0.183,,,,,,,,,
total-long-term-assets,207.683,206.255,102.525,103.723,105.795,108.054,110.687,105.405,107.228,106.046,106.516,102.173,101.541,99.483,97.161,97.809,98.81,99.73,99.526,96.023,95.304,94.677,93.521,91.807,92.39,93.115,89.482,87.364,88.582,89.536,90.635,88.259,86.553,85.568,81.998,80.458,77.877,76.798,73.222,76.773,75.892,74.704,72.25,75.446,75.372,74.358,74.182,69.962,67.885,63.368,49.481,37.169,37.398,38.178,39.629,40.506,41.839,43.138,42.694
total-assets,426.769,427.864,318.018,313.745,309.938,291.21,274.004,271.995,255.529,240.459,235.383,237.725,240.238,227.444,220.269,218.58,221.694,216.622,211.573,211.341,214.413,211.074,214.481,202.891,192.759,191.383,182.382,174.987,179.854,173.614,171.882,165.887,166.726,172.45,164.225,152.953,150.176,144.9,140.368,138.566,137.957,145.722,137.552,135.684,149.566,145.717,140.575,130.381,124.911,120.708,113.768,107.816,106.77,106.08,100.098,95.787,99.726,104.44,105.698
total-current-liabilities,132.941,130.735,116.919,117.416,115.557,104.801,97.989,109.875,101.706,95.44,90.051,87.478,86.611,79.178,80.415,73.776,77.352,72.682,74.088,64.832,66.097,64.434,71.84,65.669,62.141,58.846,52.755,48.28,43.229,41.691,44.762,46.62,48.281,57.115,54.838,46.356,41.839,40.76,39.95,37.887,35.833,35.014,37.206,35.986,37.827,38.296,36.948,32.69,30.55,29.296,29.269,26.294,26.566,26.66,25.872,23.497,23.252,24.334,24.405
long-term-debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
