,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,188.557,188.557,178.652,179.168,173.952,169.698,166.808,179.28,155.585,152.211,149.187,147.233,142.095,135.781,129.236,109.663,112.828,108.632,103.349,106.028,102.63,105.78,105.852,106.327,84.893,77.953,73.748,77.503,72.229,75.205,84.529,83.87,88.854,87.575,103.156,101.49,98.581,106.828,102.971,95.528,93.556,89.072,83.329,80.367,72.868,67.566,64.201,65.452,61.936,58.001,52.61,49.385,51.575,47.871,46.408,45.201,59.915,69.258,59.472
net-property-plant-equipment,30.823,30.823,30.254,31.028,32.072,32.947,34.408,33.579,20.607,20.694,20.192,18.502,17.218,16.416,16.497,11.484,12.036,12.108,12.013,12.002,12.16,12.261,11.994,12.171,11.917,11.958,11.744,11.667,11.924,12.069,12.018,12.308,12.634,12.837,12.587,13.086,13.28,13.497,13.881,14.309,14.939,15.544,16.195,16.438,17.086,17.391,18.015,18.64,19.207,19.803,20.649,21.39,22.396,23.151,23.456,24.375,25.629,26.631,27.762
long-term-investments,,,,,,,,,4.36,3.745,,,,,,,,,,,,,,,5.908,5.908,5.908,5.908,5.908,6.248,6.248,6.248,6.248,2.594,2.594,2.594,2.608,6.245,6.142,3.221,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,342.65,342.65,342.518,348.862,351.556,357.541,372.311,367.735,141.575,142.683,143.827,144.935,144.279,145.688,145.007,31.262,30.524,31.127,31.678,32.645,32.71,33.153,33.046,33.284,33.74,34.509,34.963,35.447,35.855,36.957,24.213,24.615,25.521,24.843,8.729,8.883,8.865,6.184,6.191,6.972,6.863,6.85,6.755,6.723,6.765,6.849,6.988,7.119,7.23,7.399,7.414,7.588,4.337,4.399,4.827,5.302,4.914,4.929,4.964
other-long-term-assets,31.118,31.118,31.418,7.922,12.115,10.262,7.952,7.489,2.823,2.74,6.16,5.47,5.265,5.151,4.867,10.582,10.452,10.312,10.269,9.823,9.478,4.388,4.255,4.016,8.68,8.531,8.513,8.067,8.082,7.801,7.81,7.558,2.352,2.134,2.26,2.203,2.284,0.645,0.784,5.754,5.855,5.869,5.916,5.968,6.149,6.142,1.527,1.325,1.275,1.23,1.499,1.502,2.156,2.042,2.391,1.931,2.773,2.55,2.41
total-long-term-assets,408.566,408.566,408.276,391.923,395.743,400.75,416.367,410.413,170.555,170.01,170.179,168.907,166.762,167.255,167.921,71.516,67.153,67.436,69.854,70.129,72.531,68.038,67.665,68.356,78.298,79.845,79.968,79.653,81.261,81.304,63.345,63.994,59.145,54.676,34.854,35.948,35.924,33.379,34.371,38.331,39.743,41.777,44.065,44.67,30.148,30.53,26.678,27.232,28.956,29.676,30.806,30.48,28.889,29.592,30.674,31.608,33.316,34.11,35.136
total-assets,597.123,597.123,586.928,571.091,569.695,570.448,583.175,589.693,326.14,322.221,319.366,316.14,308.857,303.036,297.157,181.179,179.981,176.068,173.203,176.157,175.161,173.818,173.517,174.683,163.191,157.798,153.716,157.156,153.49,156.509,147.874,147.864,147.999,142.251,138.01,137.438,134.505,140.207,137.342,133.859,133.299,130.849,127.394,125.037,103.016,98.096,90.879,92.684,90.892,87.677,83.416,79.865,80.464,77.463,77.082,76.809,93.231,103.368,94.608
total-current-liabilities,37.468,37.468,36.423,34.523,30.749,34.121,32.888,42.94,26.113,25.771,28.147,30.102,24.758,24.738,24.842,19.605,22.23,19.187,17.202,20.627,19.996,19.133,18.363,20.722,20.227,18.82,16.583,21.43,19.864,24.831,20.801,21.457,22.278,19.859,18.594,19.328,18.247,20.351,20.226,19.216,19.568,19.785,19.467,20.997,21.386,21.345,18.914,24.702,25.2,24.554,23.451,22.913,23.849,23.234,22.745,21.279,38.129,45.319,23.151
