,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-06-30,2011-06-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,250.7,257.2,247.0,235.2,235.8,209.1,223.6,212.7,194.0,184.9,193.9,169.8,177.5,154.8,167.7,159.3,150.9,132.9,142.2,144.3,142.4,134.8,155.0,124.9,,124.9,,118.7,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,88.6,,108.7,
total-current-assets,1266.8,1395.8,1143.7,1071.5,1083.4,1240.3,1214.4,1075.5,1330.1,1059.8,928.4,882.6,768.9,790.2,727.5,679.5,691.2,737.5,653.1,637.5,619.1,687.5,627.4,677.9,,679.1,,704.7,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,3098.8,3151.7,1963.7,2002.4,2046.9,1942.1,2010.8,1990.3,1338.8,1317.2,1313.2,1292.4,1351.5,1290.5,1336.6,1359.9,1386.2,1430.2,1413.5,1475.1,1418.8,1454.7,1451.6,1395.6,0.0,1395.6,0.0,1447.6,0.0
other-long-term-assets,158.7,61.2,54.1,50.2,47.5,45.2,30.6,30.8,28.3,27.5,21.7,23.1,21.6,67.1,21.5,27.7,27.2,21.3,28.2,29.5,35.7,48.7,42.2,36.6,,36.6,,41.8,
total-long-term-assets,4852.7,4788.2,3349.4,3370.1,3416.4,3290.8,3339.7,3311.6,2454.7,2394.5,2356.8,2271.7,2359.2,2300.9,2330.2,2355.7,2365.2,2400.8,2321.0,2400.6,2332.2,2402.7,2463.6,2378.9,,2829.3,,2800.8,
total-assets,6119.5,6184.0,4493.1,4441.6,4499.8,4531.1,4554.1,4387.1,3784.8,3454.3,3285.2,3154.3,3128.1,3091.1,3057.7,3035.2,3056.4,3138.3,2974.1,3038.1,2951.3,3090.2,3091.0,3056.8,0.0,2949.5,0.0,3139.0,0.0
total-current-liabilities,615.8,670.7,525.4,514.3,527.5,576.9,557.5,484.0,457.1,469.0,390.1,334.8,448.6,391.2,371.5,340.2,352.9,399.0,365.4,346.5,377.6,453.0,413.3,410.3,,410.3,,439.3,
long-term-debt,2858.7,2882.8,2116.3,2130.0,2205.7,2649.4,2706.5,2672.5,2082.9,2055.1,2025.3,2001.3,1838.0,1832.8,1844.9,1848.3,1859.9,1857.0,1857.0,1905.4,1780.3,2685.4,2674.0,2656.6,,2656.6,,2640.3,
other-non-current-liabilities,179.0,124.3,69.5,54.6,54.0,54.0,62.3,57.1,46.4,45.5,42.6,40.3,39.5,38.8,39.6,41.1,41.1,42.5,39.6,42.1,40.4,61.2,52.0,47.0,,181.1,,190.2,
total-long-term-liabilities,3854.4,3831.7,2347.0,2364.3,2442.9,2867.5,2928.2,2897.6,2288.9,2261.8,2252.4,2231.5,2065.0,2064.0,2083.3,2087.6,2106.3,2105.3,2140.5,2199.2,2070.7,3009.0,3078.1,3056.8,,3056.8,,3050.4,
total-liabilities,4470.2,4502.4,2872.4,2878.6,2970.4,3444.4,3485.7,3381.6,2746.0,2730.8,2642.5,2566.3,2513.6,2455.2,2454.8,2427.8,2459.2,2504.3,2505.9,2545.7,2448.3,3462.0,3491.4,3467.1,0.0,3359.8,0.0,3489.7,0.0
common-stock-net,1.5,1.5,1.5,1.5,1.4,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0.7,0.7,0.7,0.0,0.7,0.0,0.7,0.0
retained-earnings-accumulated-deficit,-731.4,-723.4,-790.7,-822.4,-871.4,-872.1,-954.8,-973.8,-951.9,-955.7,-1022.3,-1048.3,-1065.7,-1036.1,-1117.3,-1127.1,-1157.8,-1166.9,-1320.6,-1352.1,-1398.6,-1379.1,-1439.8,-1428.8,,-1395.3,,-1382.1,
comprehensive-income,-376.0,-353.9,-329.3,-351.2,-334.2,-325.8,-255.6,-294.9,-279.0,-314.1,-326.3,-352.7,-304.3,-305.7,-254.9,-239.6,-216.6,-174.0,-186.6,-136.9,-77.8,-24.2,8.8,-9.3,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-8.9,0.0,7.5,0.0
total-share-holder-equity,1649.3,1681.6,1620.7,1563.0,1529.4,1086.7,1068.4,1005.5,1038.8,723.5,642.7,588.0,614.5,635.9,602.9,607.4,597.2,634.0,468.2,492.4,503.0,-371.8,-400.4,-410.3,0.0,-410.3,0.0,-350.7,0.0
total-liabilities-share-holders-equity,6119.5,6184.0,4493.1,4441.6,4499.8,4531.1,4554.1,4387.1,3784.8,3454.3,3285.2,3154.3,3128.1,3091.1,3057.7,3035.2,3056.4,3138.3,2974.1,3038.1,2951.3,3090.2,3091.0,3056.8,0.0,3056.8,0.0,3139.0,0.0
