,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
cash-on-hand,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,0.79,0.6
total-current-assets,642.295,256.426,266.445,301.037,325.609,348.748,181.114,198.182,,,,58.252,26.38
net-property-plant-equipment,5.274,1.595,1.504,13.453,19.238,18.264,0.952,0.838,,,,1.28,1.09
long-term-investments,,,,,,,,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,0.522,0.476,0.67,,,0.075,0.075,0.075,,,,0.07,0.02
total-long-term-assets,7.306,3.581,3.243,14.522,20.307,19.408,1.027,0.913,,,,1.45,1.11
total-assets,649.601,260.007,269.688,315.559,345.916,368.156,182.141,199.095,0.0,0.0,0.0,58.945,26.79
total-current-liabilities,42.256,35.335,27.891,22.743,17.644,18.915,16.295,13.815,,,,4.557,3.05
long-term-debt,1.074,1.178,1.32,12.454,18.692,18.097,1.248,1.294,,,,1.481,1.67
other-non-current-liabilities,0.718,0.616,0.481,0.381,0.212,0.047,0.008,0.013,,,,,
total-long-term-liabilities,1.792,1.794,1.801,12.835,18.904,18.144,1.256,1.307,,,,1.481,1.67
total-liabilities,44.048,37.129,29.692,35.578,36.548,37.059,17.551,15.122,0.0,0.0,0.0,6.038,4.72
common-stock-net,0.51,0.382,0.382,0.377,0.377,0.376,0.326,0.326,0.0,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-420.763,-364.567,-343.107,-295.723,-263.424,-238.989,-217.299,-195.869,,,,-145.585,-119.64
comprehensive-income,,,,,,,,,0.0,0.0,0.0,0.0,0.0
total-share-holder-equity,605.553,222.878,239.996,279.981,309.368,331.097,164.59,183.973,0.0,0.0,0.0,52.907,22.06
total-liabilities-share-holders-equity,649.601,260.007,269.688,315.559,345.916,368.156,182.141,199.095,0.0,0.0,0.0,58.94,26.79
