,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
cash-on-hand,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,3.62,2.69
total-current-assets,494.377,495.981,499.533,480.836,383.403,377.418,377.422,409.607,,,,181.955,33.43
net-property-plant-equipment,47.481,47.195,36.955,25.162,16.245,13.323,14.86,14.923,,,,16.85,3.28
long-term-investments,,,,,,,,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,37.586,38.596,42.554,8.105,2.654,2.611,2.265,1.441,,,,1.27,0.08
total-long-term-assets,108.601,141.623,177.063,181.148,161.072,194.637,236.531,77.114,,,,90.7,3.36
total-assets,602.978,637.604,676.596,661.984,544.475,572.055,613.953,486.721,0.0,0.0,0.0,271.067,36.68
total-current-liabilities,46.685,46.549,43.244,32.786,31.617,31.008,17.167,14.164,,,,9.106,3.48
long-term-debt,69.915,70.911,71.412,,,,,,,,,,
other-non-current-liabilities,48.181,44.971,45.292,82.353,51.679,50.775,57.758,6.761,,,,7.44,0.52
total-long-term-liabilities,118.096,115.882,116.704,82.353,51.679,50.775,57.758,6.761,,,,7.44,0.52
total-liabilities,164.781,162.431,159.948,115.139,83.296,81.783,74.925,20.925,0.0,0.0,0.0,16.548,4.0
common-stock-net,1.286,1.283,1.279,1.273,1.266,1.259,1.252,1.201,0.0,0.0,0.0,0.34,0.17
retained-earnings-accumulated-deficit,-371.526,-325.266,-266.929,-227.937,-305.47,-270.099,-215.375,-191.697,,,,-103.512,-16.86
comprehensive-income,0.562,0.879,0.332,-0.649,-1.416,-1.493,-1.287,-0.368,,,,,
other-share-holders-equity,,,,,,,,,0.0,0.0,0.0,-0.37,0.0
total-share-holder-equity,438.197,475.173,516.648,546.845,461.179,490.272,539.028,465.796,0.0,0.0,0.0,254.519,32.67
total-liabilities-share-holders-equity,602.978,637.604,676.596,661.984,544.475,572.055,613.953,486.721,0.0,0.0,0.0,271.06,36.68
