,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,181.401,179.083,174.507,210.573,169.863,170.175,194.755,206.603,194.958,178.131,200.286,215.351,197.025,182.151,181.014,165.95,153.293,159.462,109.766,110.683,67.23,,,,,41.2,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,
total-current-assets,542.177,541.456,517.671,556.256,549.726,545.392,543.954,634.07,509.271,476.016,479.706,505.107,528.799,529.349,492.277,460.97,437.17,452.734,444.792,291.086,221.913,,,,,119.38,
net-property-plant-equipment,28.204,29.564,31.244,34.525,40.924,38.838,39.719,38.99,20.575,20.963,19.923,20.372,20.059,19.546,17.479,16.538,14.988,14.187,13.589,13.15,12.967,,,,,16.43,
long-term-investments,,,,,,,,,,,,,4.959,4.959,4.959,4.959,3.5,3.5,3.5,3.5,4.99,,,,,2.13,
goodwill-intangible-assets-total,527.367,681.836,836.597,850.402,1175.231,1194.268,1210.634,1224.635,577.736,553.278,534.413,516.478,524.095,537.501,473.128,480.962,487.103,493.426,66.4,68.121,69.934,0.0,0.0,,0.0,0.0,0.0
other-long-term-assets,35.956,33.9,31.712,4.67,4.938,5.507,5.883,6.208,1.06,1.081,1.045,1.04,0.783,0.85,0.874,0.9,0.179,0.234,0.962,0.072,2.641,,,,,0.84,
total-long-term-assets,620.426,773.6541,929.397,920.103,1250.935,1272.478,1287.955,1306.353,644.778,623.306,606.4819,594.147,601.555,616.3729,536.21,540.609,546.986,552.4451,100.013,99.0,100.749,,,,,19.4,
total-assets,1162.603,1315.11,1447.068,1476.359,1800.661,1817.87,1831.909,1940.423,1154.049,1099.322,1086.188,1099.254,1130.354,1145.722,1028.487,1001.579,984.156,1005.179,544.805,390.086,322.662,0.0,0.0,0.0,0.0,139.59,0.0
total-current-liabilities,991.542,545.297,517.519,558.585,578.485,596.772,615.178,651.457,381.013,340.417,339.219,385.346,402.734,424.882,362.542,371.902,358.523,402.064,212.69,215.428,261.848,,,,,140.17,
long-term-debt,23.538,457.022,460.137,438.369,440.552,442.734,444.916,521.098,116.543,119.006,121.514,100.184,102.179,104.147,105.449,106.706,112.5,114.0,,,15.888,,,,,31.95,
other-non-current-liabilities,15.032,9.777,8.299,6.365,4.345,7.377,4.0,4.0,9.3,4.365,3.735,,,,,,,5.179,4.695,5.413,34.434,,,,,,
total-long-term-liabilities,40.029,470.352,471.669,452.69,457.32,463.626,462.736,539.465,125.843,123.371,125.249,100.184,114.206,114.165,116.3,114.131,123.628,130.26,7.372,5.931,54.211,,,,,31.95,
total-liabilities,1031.571,1015.649,989.188,1011.275,1035.805,1060.398,1077.914,1190.922,506.856,463.788,464.468,485.53,516.94,539.047,478.842,486.033,482.151,532.324,220.062,221.359,316.059,0.0,0.0,,0.0,172.13,0.0
common-stock-net,641.557,636.331,634.214,629.411,629.283,625.354,621.853,619.235,525.172,515.82,507.381,503.828,502.695,499.472,452.234,451.62,448.736,445.28,299.884,148.901,0.004,0.0,0.0,,0.0,0.004,0.0
retained-earnings-accumulated-deficit,-555.97,-378.69,-219.228,-210.579,87.445,87.276,91.24,91.816,85.28,84.264,80.673,76.306,77.404,71.996,63.462,31.13,27.564,11.603,8.212,5.354,8.484,,,,,-54.86,
comprehensive-income,-10.084,-9.777,-6.419,-4.292,-0.044,-0.962,,,,,,,,,,,,,,,,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,19.02,0.0
total-share-holder-equity,131.032,299.461,457.88,465.084,764.856,757.472,753.995,749.501,647.193,635.534,621.72,613.724,613.414,606.675,549.645,515.546,502.005,472.855,324.743,168.727,6.603,0.0,0.0,,0.0,-32.54,0.0
total-liabilities-share-holders-equity,1162.603,1315.11,1447.068,1476.359,1800.661,1817.87,1831.909,1940.423,1154.049,1099.322,1086.188,1099.254,1130.354,1145.722,1028.487,1001.579,984.156,1005.179,544.805,390.086,322.662,0.0,0.0,,0.0,139.59,0.0
