,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,98.641,96.819,104.236,107.381,91.102,112.729,125.555,181.799,154.422,199.304,174.159,160.419,200.563,197.388,192.689,185.575,173.05,159.353,145.74,136.084,114.677,99.65,101.173,88.805,84.899,77.997,76.582,78.126,78.322,77.684,72.285,75.731,73.293,68.629,69.641,76.008,68.95,69.386,68.038,70.041,69.014,65.354,71.353,84.174,82.494,81.222,76.807,80.173,75.611,69.86,69.452,89.119,99.336,93.362,88.255,69.13,36.032,35.48,34.697
other-current-assets,,,6004.948,5389.565,5947.786,6053.081,5724.265,5761.642,205.211,202.464,204.027,960.956,177.248,187.763,187.287,190.322,175.715,189.528,186.165,186.842,172.255,164.591,169.628,176.414,156.94,150.217,150.432,201.572,46.989,45.649,47.492,49.349,67.454,49.784,46.342,43.994,38.798,39.222,34.485,40.234,34.816,37.851,32.454,33.761,36.01,34.756,29.604,34.482,27.653,33.326,28.5,25.124,22.232,24.62,22.622,38.463,48.294,45.017,44.441
total-current-assets,3998.718,6390.629,9225.076,8424.159,8929.501,9085.362,8673.555,8770.701,4033.549,4023.768,4603.9,3994.748,4261.359,4496.217,4199.56,4503.28,4737.886,4780.921,4300.795,3636.17,4178.435,4161.247,3707.233,3472.278,3381.408,3131.834,3191.168,2887.05,2325.674,2178.751,2374.4,2293.244,2370.167,2513.364,2726.916,2622.854,2262.005,2265.15,2461.251,2302.521,2308.533,2233.397,2031.463,2128.296,2063.989,1989.239,2018.477,1976.25,1920.52,1887.48,1748.032,1709.496,1612.758,1629.623,1537.439,1654.408,1029.181,979.208,961.917
net-property-plant-equipment,3419.238,3405.315,3392.266,3393.669,3275.636,3229.098,3185.223,3149.213,3386.056,3248.03,3171.199,2864.121,3044.988,2972.407,2911.205,2788.74,2621.918,2564.708,2500.596,2469.099,2359.203,2290.844,2224.439,2189.411,2048.235,1990.963,1915.453,1872.37,1654.657,1586.46,1490.572,1432.651,1335.789,1223.662,1183.744,1170.808,1121.604,1106.028,1093.85,1104.925,1088.446,1075.349,1067.289,1048.075,1011.702,985.503,954.858,939.326,894.164,866.37,854.797,849.966,813.055,787.378,759.853,750.078,452.033,440.601,415.713
long-term-investments,254.427,260.728,260.723,260.035,275.867,283.22,279.908,283.229,665.182,657.161,630.216,522.036,617.169,166.794,172.829,167.49,158.276,160.037,161.458,155.026,154.035,130.456,121.76,120.243,114.033,101.295,100.971,94.491,41.954,39.721,36.853,37.215,39.197,40.189,32.932,34.766,33.728,32.602,31.549,30.247,31.578,30.971,29.068,24.93,26.169,26.246,31.092,42.008,10.071,16.163,35.601,14.987,2.179,1.936,3.028,3.181,2.526,2.054,3.356
goodwill-intangible-assets-total,6883.325,6985.96,6917.692,6960.806,6800.268,6778.814,6751.958,6724.106,10866.91,11352.69,10939.5,6088.879,10959.15,10991.96,11164.33,10981.8,11314.36,11319.38,11335.57,11280.14,11342.41,11276.92,11268.0,11237.35,11203.81,11133.52,11119.08,11080.87,5502.502,5420.378,5225.194,5106.467,4929.754,4380.242,4338.69,4253.942,4177.34,4140.699,4071.671,4087.928,4074.889,4057.213,4061.585,4037.452,4021.871,4002.827,3950.067,3950.975,3914.583,3853.882,3857.832,3871.574,3871.849,3864.912,3836.382,3830.327,1339.906,1317.391,1240.2
other-long-term-assets,2896.122,2888.328,2810.187,71.583,76.517,59.07,51.728,47.287,61.642,60.14,43.45,5285.992,42.984,64.254,66.269,73.56,62.387,121.774,68.248,77.0,67.33,66.106,76.909,79.598,79.833,97.895,86.806,79.854,1299.325,29.623,30.065,34.231,31.761,35.264,40.659,32.054,32.428,33.202,33.397,32.615,34.262,44.104,46.006,47.33,48.162,45.745,35.938,35.401,42.097,47.487,41.735,45.793,44.289,57.562,52.752,41.768,44.889,12.239,28.626
total-long-term-assets,13453.11,13540.33,13380.87,10686.09,10428.29,10350.2,10268.82,10203.83,14979.79,15318.02,14784.36,14761.03,14664.29,14195.41,14314.64,14011.59,14156.94,14165.9,14065.87,13981.26,13922.98,13764.32,13691.11,13626.6,13445.91,13323.67,13222.31,13127.58,8498.438,7076.182,6782.684,6610.564,6336.501,5679.357,5596.025,5491.57,5365.1,5312.531,5230.467,5255.715,5229.175,5207.637,5203.948,5157.787,5107.904,5060.321,4971.955,4967.71,4860.915,4783.902,4789.965,4782.32,4731.372,4711.788,4652.015,4625.354,1839.354,1772.285,1687.895
total-assets,17451.83,19930.96,22605.94,19110.25,19357.79,19435.56,18942.37,18974.54,19013.34,19341.78,19388.26,18755.78,18925.65,18691.63,18514.2,18514.88,18894.83,18946.82,18366.66,17617.43,18101.42,17925.57,17398.34,17098.88,16827.32,16455.51,16413.48,16014.63,10824.11,9254.933,9157.084,8903.808,8706.668,8192.721,8322.941,8114.424,7627.105,7577.681,7691.718,7558.236,7537.708,7441.034,7235.411,7286.083,7171.893,7049.56,6990.432,6943.96,6781.435,6671.382,6537.997,6491.816,6344.13,6341.411,6189.454,6279.762,2868.535,2751.493,2649.812
