,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-09-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,7.247,11.594,10.265,8.304,7.273,6.444,6.141,5.118,4.878,3.587,3.015,2.739,7.106,6.363,7.761,15.042,7.348,2.325,2.018,1.242,,0.329,,,,,,0.08
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63
total-current-assets,179.786,185.659,182.229,163.844,197.77,201.596,168.82,188.697,182.154,123.866,123.572,109.11,119.045,135.499,114.622,122.257,120.302,120.551,129.788,49.707,,57.7551,63.5327,,17.4824,,,8.86
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,55.956,56.586,57.216,57.846,58.445,59.045,62.395,63.065,63.745,71.692,72.403,73.115,24.759,10.96,11.116,,,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,4.98,3.178,3.565,0.694,0.706,0.706,0.106,0.124,0.124,0.578,0.618,0.136,0.094,0.094,0.094,0.143,0.111,0.104,0.045,0.045,,0.045,0.045,,0.0463,,,0.07
total-long-term-assets,77.252,75.971,77.223,74.759,71.018,72.341,80.476,81.363,84.736,96.313,101.248,105.21,27.68,13.867,14.079,2.348,1.914,0.478,0.145,0.387,,0.4045,0.4225,,0.6202,,,1.73
total-assets,257.038,261.63,259.452,238.603,268.788,273.937,249.296,270.06,266.89,220.179,224.82,214.32,146.725,149.366,128.701,124.605,122.216,121.029,129.933,50.094,53.411,58.1596,63.9552,0.0,18.1026,0.0,0.0,9.43
total-current-liabilities,42.359,51.746,44.222,39.686,35.411,47.738,28.76,47.302,34.395,31.953,35.438,40.965,35.447,35.779,30.868,34.262,34.587,24.581,27.049,22.186,,16.249,19.2685,,14.3418,,,20.88
long-term-debt,35.687,35.843,36.999,38.155,39.312,40.468,41.624,42.905,43.936,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,3.227,1.56,2.87,,,,0.735,0.709,17.482,22.864,22.555,22.129,5.755,5.753,5.517,,,,,,,,,,,,,
total-long-term-liabilities,38.914,37.403,39.869,38.155,39.312,40.468,42.359,43.614,61.418,22.864,22.555,22.129,5.755,5.753,5.517,,,,,,,,,,1.7068,,,0.65
total-liabilities,81.273,89.149,84.091,77.841,74.723,88.206,71.119,90.916,95.813,54.817,57.993,63.094,41.202,41.532,36.385,34.262,34.587,24.581,27.049,22.186,20.315,16.249,19.2685,0.0,16.0486,0.0,0.0,21.53
common-stock-net,0.017,0.017,0.017,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.014,0.014,0.014,0.014,0.0,0.003,0.0,0.0,0.0017
retained-earnings-accumulated-deficit,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,175.765,172.481,175.361,160.762,194.065,185.731,178.177,179.144,171.077,165.362,166.827,151.226,105.523,107.834,92.316,90.343,87.629,96.448,102.884,27.908,33.096,41.9107,44.6867,0.0,2.054,0.0,0.0,-12.09
total-liabilities-share-holders-equity,257.038,261.63,259.452,238.603,268.788,273.937,249.296,270.06,266.89,220.179,224.82,214.32,146.725,149.366,128.701,124.605,122.216,121.029,129.933,50.094,53.411,58.1596,63.9552,0.0,18.1026,0.0,0.0,9.43
