,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31
cash-on-hand,,,,,,,,,,,
inventory,1068.7,1053.1,1035.5,1004.1,1008.7,,,,,875.6,
other-current-assets,,,,,,,,,,182.3,
total-current-assets,2310.4,2383.5,2278.3,2504.9,2703.7,,,,,1947.4,
net-property-plant-equipment,911.7,931.1,930.2,922.4,909.3,,,,,1502.9,
long-term-investments,,,,,14.9,,,,,9.0,
goodwill-intangible-assets-total,5381.4,5312.4,5319.6,5411.0,5483.6,0.0,0.0,,0.0,5197.5,0.0
other-long-term-assets,220.2,229.9,219.3,118.4,100.0,,,,,204.0,
total-long-term-assets,6513.3,6473.4,6469.1,6451.8,6507.8,,,,,6913.4,
total-assets,8823.7,8856.9,8747.4,8956.7,9211.5,0.0,0.0,0.0,0.0,8099.7,0.0
total-current-liabilities,741.5,777.5,708.2,970.7,1245.4,,,,,618.9,
long-term-debt,2335.6,2382.0,2436.6,2443.3,2478.5,,,,,,
other-non-current-liabilities,177.8,284.1,274.6,230.6,225.5,,,,,225.4,
total-long-term-liabilities,2594.5,2813.9,2843.0,2788.5,2829.0,,,,,452.9,
total-liabilities,3336.0,3591.4,3551.2,3759.2,4074.4,0.0,0.0,,0.0,1071.8,0.0
common-stock-net,,,,,,0.0,0.0,,0.0,7484.8,0.0
retained-earnings-accumulated-deficit,93.8,83.8,47.9,16.4,,,,,,,
comprehensive-income,-252.5,-214.8,-250.4,-222.2,-210.3,,,,,,
other-share-holders-equity,,,,,,0.0,0.0,,0.0,-456.9,0.0
total-share-holder-equity,5487.7,5265.5,5196.2,5197.5,5137.1,0.0,0.0,,0.0,7027.9,0.0
total-liabilities-share-holders-equity,8823.7,8856.9,8747.4,8956.7,9211.5,0.0,0.0,,0.0,8099.7,0.0
