,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,1.859,,,,,,,,,8.466,,,,,1.481,3.388,5.082,6.652,6.4,,,,,0.422,0.268,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,393.201,375.546,357.729,348.072,348.413,327.569,344.726,368.076,339.845,323.845,305.623,333.862,308.75,288.014,293.239,279.567,269.53,255.945,255.856,213.642,193.931,184.192,203.468,210.996,185.309,169.38,174.808,167.599,155.749,154.122,142.963,140.639,130.688,134.453,143.804,160.008,127.066,115.839,124.305,117.327,89.762,102.71,101.186,104.448,114.594,109.6,118.272,120.363,70.955,,,
net-property-plant-equipment,708.224,674.892,627.4,618.874,593.088,591.58,541.019,537.084,531.079,490.386,490.582,484.498,350.255,347.203,311.479,299.633,257.164,243.881,192.37,149.708,127.448,116.784,496.618,479.77,479.837,476.671,450.695,447.855,439.233,420.028,410.773,403.862,372.797,321.745,311.372,262.527,254.192,251.32,241.034,230.774,181.643,180.274,176.485,157.029,141.893,139.846,128.356,124.861,106.918,,,
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.445,,,,,,,,,
goodwill-intangible-assets-total,135.838,132.159,119.311,139.079,136.433,138.873,138.448,139.114,135.884,131.787,124.44,121.762,129.161,133.806,104.374,104.963,104.675,87.587,84.813,78.198,42.788,39.377,37.356,37.393,38.47,37.565,37.3,31.26,37.645,37.856,35.009,20.979,20.065,17.194,15.438,15.081,15.327,15.484,11.701,11.93,10.154,10.241,10.468,5.893,7.384,7.46,5.574,5.217,5.353,,,
other-long-term-assets,1114.181,1130.321,1105.316,64.283,53.606,55.094,55.785,45.414,41.541,63.153,40.811,37.83,43.822,50.229,43.766,42.744,40.537,30.026,28.755,40.859,27.219,29.549,29.656,27.692,31.048,36.486,44.944,41.914,30.534,30.002,32.083,27.345,37.55,28.215,24.416,37.289,22.162,21.433,20.38,27.055,35.745,18.228,16.953,26.966,14.621,13.824,12.849,12.083,12.792,,,
total-long-term-assets,1966.348,1945.975,1860.63,833.886,795.162,798.278,747.983,734.357,731.0031,708.339,678.8459,667.163,544.665,552.061,480.442,468.192,412.973,372.994,317.438,280.274,208.948,196.64,568.01,549.319,552.931,554.212,536.692,523.263,512.199,492.799,482.245,455.7,436.093,373.823,357.199,319.884,298.073,294.896,278.603,274.021,232.088,211.972,207.144,192.453,168.017,166.439,152.175,147.026,132.449,,,
total-assets,2359.549,2321.521,2218.359,1181.958,1143.575,1125.847,1092.709,1102.433,1070.848,1032.184,984.469,1001.025,853.415,840.075,773.681,747.759,682.503,628.939,573.294,493.916,402.879,380.832,771.478,760.315,738.24,723.592,711.5,690.862,667.948,646.921,625.208,596.339,566.781,508.276,501.003,479.892,425.139,410.735,402.908,391.348,321.85,314.682,308.33,296.901,282.611,276.039,270.447,267.389,203.404,0.0,0.0,0.0
total-current-liabilities,354.629,327.348,311.443,269.227,247.86,230.336,211.281,225.821,222.488,204.578,209.874,211.928,199.059,178.92,168.111,179.866,161.348,143.794,150.392,130.433,118.445,109.566,111.854,112.456,150.873,145.001,153.966,121.347,103.724,96.876,87.054,100.387,96.027,82.2,88.722,83.366,74.535,69.872,71.813,71.768,57.304,58.895,61.27,57.637,53.119,52.787,53.306,57.394,55.13,,,
