,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-09-30,2010-09-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,
total-current-assets,401.848,451.262,423.84,423.31,380.389,339.893,305.677,247.626,237.819,206.115,190.591,224.065,232.156,241.79,242.665,209.021,170.641,172.64,177.784,185.096,107.975,111.678,99.349,94.378,104.713,97.866,111.664,,,,,25.09,
net-property-plant-equipment,10.927,11.373,11.476,9.493,8.374,8.383,8.616,7.87,8.049,8.07,8.526,8.306,8.004,7.499,7.691,7.872,5.886,2.582,2.295,1.922,1.803,1.551,1.377,1.077,1.121,1.152,0.876,,,,,5.16,
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0
other-long-term-assets,0.7,0.7,0.7,0.7,0.7,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.436,0.436,0.436,0.436,0.436,0.436,0.436,0.458,,,,,0.46,
total-long-term-assets,87.981,22.222,37.738,30.906,33.838,39.192,48.977,93.093,88.818,69.722,88.367,54.314,49.121,40.144,38.93,69.358,75.372,65.134,68.1,30.331,47.44,47.836,8.997,15.78,12.26,21.805,13.963,,,,,5.62,
total-assets,489.829,473.484,461.578,454.216,414.227,379.085,354.654,340.719,326.637,275.837,278.958,278.379,281.277,281.934,281.595,278.379,246.013,237.774,245.884,215.427,155.415,159.514,108.346,110.158,116.973,119.671,125.627,0.0,0.0,0.0,0.0,26.09,0.0
total-current-liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,3.1,3.258,3.249,3.121,2.895,2.627,2.607,2.39,3.217,3.685,3.631,3.619,3.293,3.2,3.036,3.064,2.989,1.995,1.694,1.665,1.813,2.08,2.006,2.01,1.979,2.319,2.301,,,,,1.99,
total-long-term-liabilities,4.728,4.886,4.877,4.749,4.523,4.155,4.135,3.918,3.979,3.849,3.793,3.78,3.452,3.358,3.192,3.228,3.152,2.18,1.879,1.848,2.015,2.293,2.212,2.01,1.979,2.319,2.301,,,,,1.99,
total-liabilities,27.337,25.387,25.368,27.381,20.548,18.184,21.252,23.14,24.961,14.971,12.947,10.211,11.341,12.927,15.18,14.1,9.856,9.492,21.669,21.714,6.761,6.561,6.631,4.578,6.505,5.26,7.252,0.0,,0.0,0.0,4.14,0.0
common-stock-net,,0.197,0.197,0.194,0.194,0.194,0.193,0.191,0.191,0.191,0.191,0.19,0.19,0.19,0.19,0.188,0.187,0.189,0.189,0.188,0.188,0.188,0.187,0.182,0.181,0.18,0.18,0.0,,0.0,0.0,0.01,0.0
retained-earnings-accumulated-deficit,,154.549,147.513,143.368,117.357,89.937,69.649,57.094,45.356,8.848,17.274,22.666,27.646,29.448,30.524,32.169,5.98,0.168,-2.25,-31.003,-73.012,-67.97,-118.023,-112.82,-107.45,-103.007,-98.869,,,,,-131.97,
comprehensive-income,,0.163,-0.012,-0.257,-0.398,-0.595,-0.794,-0.458,-0.112,-0.137,-0.108,-0.085,0.019,0.117,0.201,-0.189,0.033,-0.074,-0.017,-0.092,-0.1,-0.004,0.061,0.032,-0.002,-0.094,-0.007,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,-0.001,0.0
total-share-holder-equity,462.492,448.097,436.21,426.835,393.679,360.901,333.402,317.579,301.676,260.866,266.011,268.168,269.936,269.007,266.415,264.279,236.157,228.282,224.215,193.713,148.654,152.953,101.715,105.58,110.468,114.411,118.375,0.0,,0.0,0.0,21.95,0.0
total-liabilities-share-holders-equity,489.829,473.484,461.578,454.216,414.227,379.085,354.654,340.719,326.637,275.837,278.958,278.379,281.277,281.934,281.595,278.379,246.013,237.774,245.884,215.427,155.415,159.514,108.346,110.158,116.973,119.671,125.627,0.0,,0.0,0.0,26.09,0.0
