,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
cash-on-hand,,,,,,,,,,,,,
inventory,10.043,11.522,2.578,,,,,,,,,,
other-current-assets,,,,,,,,,,,,0.02,0.01
total-current-assets,95.184,115.826,139.084,94.339,106.092,44.623,50.111,72.824,,,,0.21,4.01
net-property-plant-equipment,,,,,,,,,,,,,
goodwill-intangible-assets-total,81.065,80.419,79.99,77.284,77.284,77.284,77.284,77.284,0.0,0.0,0.0,77.28,77.28
other-long-term-assets,5.433,6.246,1.855,0.221,,0.022,,2.125,,,,,
total-long-term-assets,87.482,86.955,81.845,77.505,77.285,77.311,77.284,79.409,,,,77.28,77.28
total-assets,182.666,202.781,220.929,171.844,183.377,121.934,127.395,152.233,0.0,0.0,0.0,77.49,81.3
total-current-liabilities,25.974,23.105,9.4,5.276,5.46,3.684,3.629,212.748,,,,63.31,48.1
long-term-debt,77.247,77.009,72.586,,,,,,,,,,
other-non-current-liabilities,62.246,61.181,63.053,67.104,67.891,65.27,56.749,,,,,,
total-long-term-liabilities,139.649,138.495,136.172,82.184,82.951,80.315,71.784,15.028,,,,21.28,21.19
total-liabilities,165.623,161.6,145.572,87.46,88.411,83.999,75.413,227.776,0.0,0.0,0.0,84.6,69.29
common-stock-net,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.0,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-198.551,-171.567,-134.0,-123.025,-110.583,-98.753,-82.32,-75.543,,,,-66.8,-46.74
comprehensive-income,,,,,,,,,0.0,0.0,0.0,0.0,0.0
total-share-holder-equity,17.043,41.181,75.357,84.384,94.966,37.935,51.982,-75.543,0.0,0.0,0.0,-7.1,12.0
total-liabilities-share-holders-equity,182.666,202.781,220.929,171.844,183.377,121.934,127.395,152.233,0.0,0.0,0.0,77.49,81.3
