,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,320.939,358.359,399.338,272.535,200.136,236.138,256.862,285.804,317.253,201.66,219.988,248.672,275.003,296.606,318.3,213.063,232.619,239.429,247.404,195.01,217.051,234.719,247.287,159.652,143.86,158.518,,,,,35.42
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,11.431,11.061,11.538,0.909,1.045,1.046,1.064,1.028,0.662,0.665,0.649,0.645,0.663,0.635,0.634,0.751,0.602,0.709,0.657,0.573,0.953,1.01,1.146,1.179,1.462,1.519,,,,,
total-long-term-assets,13.258,13.053,13.384,2.966,3.01,3.187,3.339,3.555,3.293,3.65,3.918,3.769,3.983,4.252,4.404,4.84,5.079,5.565,5.862,4.193,3.702,3.652,3.777,3.336,3.49,3.526,,,,,2.64
total-assets,334.197,371.412,412.722,275.501,203.146,239.325,260.201,289.359,320.546,205.31,223.906,252.441,278.986,300.858,322.704,217.903,237.698,244.994,253.266,199.203,220.753,238.371,251.064,162.988,147.35,162.044,0.0,0.0,0.0,0.0,37.36
total-current-liabilities,29.432,33.933,31.828,37.833,26.742,29.178,24.633,24.664,23.18,26.179,20.48,21.621,15.855,16.161,13.968,18.449,17.501,13.206,11.88,17.045,23.782,23.784,24.681,34.573,30.465,32.394,,,,,11.34
long-term-debt,7.183,7.95,8.682,,0.053,0.052,,,,,,0.11,0.27,0.427,0.58,0.73,0.875,1.017,1.156,,,,,,,,,,,,
other-non-current-liabilities,0.038,0.038,0.053,0.853,0.714,0.711,0.63,0.515,0.368,0.282,0.096,0.201,0.256,0.297,0.337,0.383,0.404,0.416,0.409,0.427,0.482,0.481,0.478,0.473,0.452,0.589,,,,,
total-long-term-liabilities,11.027,11.794,12.541,4.659,4.573,4.569,4.436,29.324,29.177,29.091,28.905,29.12,29.335,29.533,29.726,29.922,30.643,22.882,23.014,21.876,24.217,24.983,25.739,24.102,29.602,33.523,,,,,
total-liabilities,40.459,45.727,44.369,42.492,31.315,33.747,29.069,53.988,52.357,55.27,49.385,50.741,45.19,45.694,43.694,48.371,48.144,36.088,34.894,38.921,47.999,48.767,50.42,58.675,60.067,65.917,0.0,,0.0,0.0,88.0
common-stock-net,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.0,,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-700.617,-664.528,-616.063,-586.724,-563.779,-526.287,-497.159,-488.097,-451.931,-414.334,-386.31,-353.673,-318.657,-294.321,-266.34,-243.461,-221.235,-198.17,-172.411,-111.085,-96.05,-76.35,-62.964,-56.08,-72.01,-62.306,,,,,-51.89
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,293.738,325.685,368.353,233.009,171.831,205.578,231.132,235.371,268.189,150.04,174.521,201.7,233.796,255.164,279.01,169.532,189.554,208.906,218.372,160.282,172.754,189.604,200.644,104.313,87.283,96.127,0.0,,0.0,0.0,-50.64
total-liabilities-share-holders-equity,334.197,371.412,412.722,275.501,203.146,239.325,260.201,289.359,320.546,205.31,223.906,252.441,278.986,300.858,322.704,217.903,237.698,244.994,253.266,199.203,220.753,238.371,251.064,162.988,147.35,162.044,0.0,,0.0,0.0,0.0
