,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
cash-on-hand,202.024,135.488,223.783,383.038,264.165,251.643,233.68,300.831,292.213,134.26,161.233,213.32,164.46,134.92,138.135,159.874,211.502,223.764,30.755,,,,,68.39
notes-loans-receivable,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,1.365,1.187,1.282,2.102,3.705,3.008,4.092,,,,,,,,,,,,,,,,,1.38
total-current-assets,308.012,240.864,321.186,487.966,348.591,353.254,337.279,378.182,352.329,192.62,217.538,264.966,191.429,170.557,167.566,184.463,246.221,251.64,46.692,,,,,80.29
net-property-plant-equipment,83.164,80.217,77.379,73.628,68.692,64.63,60.43,50.922,46.93,40.194,35.459,31.179,21.123,18.468,15.537,12.796,10.755,8.463,24.102,,,,,15.62
long-term-investments,78.98,78.79,17.931,22.391,5.672,7.64,5.521,4.818,0.712,1.081,1.636,2.159,2.538,27.193,33.879,44.618,22.048,,,37.203,,,,2.35
goodwill-intangible-assets-total,1089.087,1098.75,1106.565,1103.16,865.894,872.101,878.109,869.447,877.833,883.113,881.37,885.4919,622.492,625.145,627.775,772.055,774.564,777.073,0.369,,0.0,0.0,0.0,1.57
other-long-term-assets,154.658,153.635,106.313,35.136,33.827,23.995,24.971,9.328,21.226,21.344,18.443,16.043,13.698,11.438,11.706,1.582,2.593,2.661,5.271,,,,,3.46
total-long-term-assets,1405.889,1411.392,1308.188,1234.315,974.0851,968.366,969.031,934.515,946.701,945.7321,936.908,934.8729,659.851,682.244,688.897,831.051,809.96,788.197,29.742,37.203,,,,23.0
total-assets,1713.901,1652.256,1629.374,1722.281,1322.676,1321.62,1306.31,1312.697,1299.03,1138.352,1154.446,1199.839,851.28,852.801,856.463,1015.514,1056.181,1039.837,76.434,37.203,0.0,0.0,0.0,101.97
total-current-liabilities,259.851,172.873,163.675,269.356,139.411,136.187,116.935,132.699,105.467,101.76,104.439,131.941,65.329,56.727,52.545,59.506,89.838,60.806,53.617,,,,,29.32
long-term-debt,298.556,296.438,280.517,221.041,122.082,121.853,121.623,121.394,121.164,120.935,120.706,120.283,,,,,,,,,,,,
other-non-current-liabilities,6.553,10.423,10.49,17.09,10.885,10.666,11.368,9.861,9.982,10.024,14.091,14.655,7.997,7.972,7.927,0.111,0.067,,,,,,,
total-long-term-liabilities,329.702,332.627,315.573,263.569,134.692,134.052,134.461,133.692,137.784,142.143,153.267,155.784,26.094,27.93,28.256,21.429,30.291,30.327,5.61,39.273,,,,3.35
total-liabilities,589.553,505.5,479.248,532.925,274.103,270.239,251.396,266.391,243.251,243.903,257.706,287.725,91.423,84.657,80.801,80.935,120.129,91.133,59.227,39.273,0.0,0.0,0.0,32.68
common-stock-net,0.845,0.845,0.825,0.823,0.792,0.784,0.779,0.774,0.774,0.685,0.679,0.659,0.601,0.601,0.601,0.59,0.59,0.59,,0.001,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-53.866,-28.345,3.27,50.009,66.696,79.125,89.041,85.952,99.111,111.699,128.605,146.617,164.024,175.232,183.876,306.688,310.807,322.787,,-25.806,,,,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,1124.348,1146.756,1150.126,1189.356,1048.573,1051.381,1054.914,1046.306,1055.779,894.449,896.74,912.114,759.857,768.144,775.662,934.579,936.052,948.704,17.207,-2.07,0.0,0.0,0.0,69.29
total-liabilities-share-holders-equity,1713.901,1652.256,1629.374,1722.281,1322.676,1321.62,1306.31,1312.697,1299.03,1138.352,1154.446,1199.839,851.28,852.801,856.463,1015.514,1056.181,1039.837,76.434,37.203,0.0,0.0,0.0,101.97
