,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,305.633,165.178,186.43,205.196,213.929,80.034,90.625,102.596,70.039,71.861,83.437,93.323,47.399,47.092,56.567,65.652,74.185,81.571,42.792,49.861,45.624,42.245,48.263,54.651,19.386,,,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,24.921,25.474,26.033,2.711,2.227,0.227,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.146,0.154,0.122,0.146,0.147,0.122,0.122,2.865,,,,,
total-long-term-assets,34.574,34.699,34.435,7.836,6.025,3.121,2.795,2.696,2.636,2.091,1.892,1.725,1.896,2.086,2.138,2.306,2.218,1.912,1.698,1.322,1.386,1.306,1.386,0.932,3.654,,,,,
total-assets,340.207,199.877,220.865,213.032,219.954,83.155,93.42,105.292,72.675,73.952,85.329,95.048,49.295,49.178,58.705,67.958,76.403,83.483,44.49,51.183,47.01,43.551,49.649,55.583,23.04,0.0,0.0,0.0,0.0,0.0
total-current-liabilities,40.595,29.418,29.14,27.263,22.672,16.273,12.588,11.049,9.716,8.052,16.897,15.187,14.678,14.327,13.886,13.441,12.596,11.315,6.413,4.57,3.912,3.812,4.354,4.6,9.491,,,,,
long-term-debt,25.67,35.567,37.475,12.446,11.601,12.835,14.069,14.808,14.789,6.676,1.081,2.501,4.61,6.676,8.7,10.688,12.635,14.539,16.414,18.073,9.389,,,,20.25,,,,,
other-non-current-liabilities,1.404,2.122,2.033,5.354,3.752,2.222,1.57,1.522,1.171,2.235,1.19,1.377,1.279,1.165,0.984,0.857,0.717,0.569,0.412,0.2,0.133,0.101,0.118,0.135,3.175,,,,,
total-long-term-liabilities,31.57,42.933,45.888,25.3,23.353,15.057,15.837,17.054,17.21,10.687,4.574,6.707,9.244,11.722,14.092,16.479,18.812,21.094,16.826,18.273,9.522,0.101,0.118,0.135,23.425,,,,,
total-liabilities,72.165,72.351,75.028,52.563,46.025,31.33,28.425,28.103,26.926,18.739,21.471,21.894,23.922,26.049,27.978,29.92,31.408,32.409,23.239,22.843,13.434,3.913,4.472,4.735,32.916,0.0,0.0,,0.0,0.0
common-stock-net,0.075,0.065,0.065,0.065,0.065,0.053,0.053,0.053,0.041,0.041,0.041,0.041,0.034,0.029,0.029,0.029,0.029,0.029,0.021,0.021,0.021,0.021,0.02,0.02,0.001,0.0,0.0,,0.0,0.0
retained-earnings-accumulated-deficit,-355.243,-328.634,-305.156,-285.396,-269.369,-252.587,-232.933,-218.798,-206.301,-195.617,-185.972,-175.846,-167.906,-159.169,-150.761,-142.384,-134.938,-128.052,-120.273,-112.392,-106.159,-99.556,-93.489,-86.509,-80.77,,,,,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,268.042,127.526,145.837,160.469,173.929,51.825,64.995,77.189,45.749,55.213,63.858,73.154,25.373,23.129,30.727,38.038,44.995,51.074,21.251,28.34,33.576,39.638,45.177,50.848,-9.876,0.0,0.0,,0.0,0.0
total-liabilities-share-holders-equity,340.207,199.877,220.865,213.032,219.954,83.155,93.42,105.292,72.675,73.952,85.329,95.048,49.295,49.178,58.705,67.958,76.403,83.483,44.49,51.183,47.01,43.551,49.649,55.583,23.04,0.0,0.0,,0.0,0.0
