,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,14.773,12.87,10.324,7.637,5.076,3.374,2.525,1.799,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,
total-current-assets,225.084,211.184,247.958,285.042,321.41,351.838,380.587,397.99,338.709,362.193,190.124,209.393,161.086,164.542,99.632,112.1027,133.0147,128.7951,134.2376,152.1105,67.2989,72.676,79.3576,16.6203,,,,29.87,
net-property-plant-equipment,10.651,9.753,10.329,10.71,10.285,10.69,10.964,11.189,11.481,11.863,11.841,11.664,11.223,11.286,9.083,7.4425,4.1534,2.8889,1.664,1.1094,0.6819,0.3877,0.3928,0.3752,,,,0.24,
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
other-long-term-assets,8.618,6.493,6.332,,,,0.6,0.6,0.6,0.6,0.6,0.48,0.11,0.17,0.35,0.2359,0.08,0.104,0.104,0.128,0.1445,0.1486,0.1528,0.1569,,,,0.07,
total-long-term-assets,19.269,21.296,16.661,10.71,10.285,10.69,16.502,43.327,12.081,12.463,14.169,16.869,13.336,11.456,12.439,15.0358,4.2334,2.9929,6.7842,1.2374,0.8264,0.5364,0.5455,2.1557,,,,0.31,
total-assets,244.353,232.48,264.619,295.752,331.695,362.528,397.089,441.317,350.79,374.656,204.293,226.262,174.422,175.998,112.071,127.1385,137.2481,131.7879,141.0218,153.3479,68.1252,73.2124,79.9031,18.7759,0.0,0.0,0.0,30.0,0.0
total-current-liabilities,37.79,27.07,39.214,36.617,36.212,27.279,24.447,30.572,26.203,19.805,17.992,17.54,12.387,8.199,8.259,8.059,6.5859,6.1148,4.1597,6.782,6.1953,4.4467,5.3834,5.0366,,,,2.72,
long-term-debt,199.139,163.688,152.578,148.519,148.832,149.19,149.595,150.043,150.535,151.068,19.908,21.399,23.664,13.52,14.688,15.002,14.9424,,,1.581,2.0817,2.57,3.0583,3.5467,,,,,
other-non-current-liabilities,0.251,0.251,0.251,0.537,0.546,0.552,0.44,0.428,0.399,0.404,0.294,0.291,0.339,0.253,0.222,0.0911,0.0135,0.0135,0.0282,0.043,0.0568,0.0686,0.0805,0.0904,,,,,
total-long-term-liabilities,199.39,163.939,152.829,149.056,149.378,149.742,150.035,150.471,150.934,151.472,20.202,21.69,24.003,13.773,14.91,15.0931,14.9559,0.0135,0.0282,1.624,2.1385,2.6386,3.1388,3.637,,,,,
total-liabilities,237.18,191.009,192.043,185.673,185.59,177.021,174.482,181.043,177.137,171.277,38.194,39.23,36.39,21.972,23.169,23.1521,21.5418,6.1283,4.1879,8.406,8.3338,7.0854,8.5222,8.6736,0.0,0.0,0.0,2.72,0.0
common-stock-net,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.032,0.032,0.032,0.032,0.028,0.028,0.022,0.0216,0.0215,0.0215,0.0215,0.0214,0.0156,0.0156,0.0156,0.0008,0.0,0.0,0.0,0.0008,0.0
retained-earnings-accumulated-deficit,-635.083,-596.851,-560.364,-518.826,-478.251,-434.611,-390.736,-349.167,-298.639,-264.45,-235.565,-211.686,-188.574,-170.792,-156.607,-139.7923,-126.2234,-115.0869,-102.6503,-93.4768,-85.6716,-78.636,-72.7054,-66.1632,,,,-47.97,
comprehensive-income,0.131,0.23,0.105,-0.077,-0.157,-0.31,-0.576,-0.407,-0.062,-0.077,-0.062,-0.071,-0.027,0.01,-0.008,-0.0967,0.0024,-0.0064,0.0152,-0.0052,0.0008,0.0032,0.0008,0.0,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0025,0.0
total-share-holder-equity,7.173,41.471,72.576,110.079,146.105,185.507,222.607,260.274,173.653,203.379,166.099,187.032,138.032,154.026,88.902,103.9864,115.7063,125.6596,136.8339,144.9419,59.7914,66.127,71.3809,10.1023,0.0,0.0,0.0,27.28,0.0
total-liabilities-share-holders-equity,244.353,232.48,264.619,295.752,331.695,362.528,397.089,441.317,350.79,374.656,204.293,226.262,174.422,175.998,112.071,127.1385,137.2481,131.7879,141.0218,153.3479,68.1252,73.2124,79.9031,18.7759,0.0,0.0,0.0,30.0,0.0
