,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,576.657,634.876,483.046,551.096,601.034,576.23,592.033,391.965,431.013,240.989,296.207,340.064,221.712,217.674,168.513,216.601,240.053,364.997,151.251,154.577,87.237,79.422,73.45,88.278,64.308,77.178,87.812,104.617,112.476,105.667,115.286,66.648,76.394,88.099,100.047,109.681,60.478,71.147,83.936,80.486,93.576,103.083,111.032,123.587,138.245,146.621,155.634,163.04,120.653,127.155,,,
net-property-plant-equipment,34.673,15.273,13.286,11.375,10.659,9.111,8.91,9.062,9.641,10.471,9.745,9.816,10.183,10.178,8.413,6.178,3.855,3.379,3.056,2.811,3.129,3.444,3.748,4.12,4.356,4.715,4.962,5.029,5.293,5.489,5.073,2.438,1.759,1.922,2.237,2.604,3.017,3.472,3.934,4.399,5.049,5.326,5.076,4.919,4.416,4.195,3.631,3.79,3.913,4.161,,,
long-term-investments,,,,,,13.836,42.673,,15.109,,,,,,,,15.428,,2.804,17.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,197.797,197.797,197.797,197.797,197.797,197.797,197.797,197.797,197.797,197.797,197.797,197.797,197.797,197.797,197.797,197.797,207.564,11.613,11.613,11.613,11.613,11.613,11.613,11.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-long-term-assets,73.165,70.087,70.573,29.683,29.099,28.915,28.592,28.2,27.219,489.709,489.632,489.168,488.488,488.357,488.184,487.808,519.792,23.924,23.892,23.502,23.508,23.515,23.546,23.552,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.709,0.714,0.267,0.267,0.267,0.267,0.267,0.267,0.485,0.267,0.267,0.267,0.267,0.504,0.267,0.267,0.267,0.267,0.267,,,
total-long-term-assets,305.635,283.157,281.656,238.855,237.555,249.659,277.972,235.059,249.766,697.977,697.174,696.781,696.468,696.332,694.394,691.783,746.639,38.916,41.365,55.39,38.25,38.572,38.907,39.285,4.798,5.157,5.404,5.471,5.735,5.931,5.515,3.147,2.473,2.189,2.504,2.871,3.284,3.739,4.201,4.884,5.316,5.593,5.343,5.186,4.92,4.462,3.898,4.057,4.18,4.428,,,
total-assets,882.292,918.033,764.702,789.951,838.589,825.889,870.005,627.024,680.779,938.966,993.381,1036.845,918.18,914.006,862.907,908.384,986.692,403.913,192.616,209.967,125.487,117.994,112.357,127.563,69.106,82.335,93.216,110.088,118.211,111.598,120.801,69.795,78.867,90.288,102.551,112.552,63.762,74.886,88.137,85.37,98.892,108.676,116.375,128.773,143.165,151.083,159.532,167.097,124.833,131.583,0.0,0.0,0.0
total-current-liabilities,93.081,89.547,65.869,86.125,65.88,52.963,140.705,70.04,68.159,100.683,109.596,110.959,85.612,80.459,64.427,73.616,35.865,16.901,21.022,20.185,13.824,11.171,9.366,10.461,8.598,9.967,7.995,9.243,9.93,17.812,17.765,19.256,18.625,16.878,16.636,16.223,8.148,7.147,8.838,11.193,17.082,15.237,12.554,13.378,14.937,15.298,14.81,15.793,9.571,6.965,,,
