,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31,2010-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,
total-current-assets,197.492,230.015,250.541,288.568,332.857,363.021,403.043,311.19,333.354,363.304,399.193,440.125,453.967,480.134,490.577,528.281,190.534,210.711,220.33,151.258,131.848,142.015,150.204,77.658,87.886,,,,,52.67,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0
other-long-term-assets,35.289,35.865,37.077,4.248,4.231,3.731,3.381,2.095,1.566,1.58,1.954,1.949,0.414,0.38,0.39,0.394,0.409,0.423,0.409,0.579,0.431,0.442,0.453,0.389,0.184,,,,,0.36,
total-long-term-assets,61.048,62.896,65.223,32.966,33.507,33.757,33.671,32.857,24.063,16.807,9.888,8.156,11.159,17.634,18.679,20.004,4.439,4.81,4.239,4.373,4.41,4.399,4.102,4.133,4.16,,,,,12.71,
total-assets,258.54,292.911,315.764,321.534,366.364,396.778,436.714,344.047,357.417,380.111,409.081,448.281,465.126,497.768,509.256,548.285,194.973,215.521,224.569,155.631,136.258,146.414,154.306,81.791,92.046,0.0,0.0,0.0,0.0,58.57,0.0
total-current-liabilities,28.509,33.502,24.072,27.487,39.519,30.223,41.166,50.981,45.723,35.569,36.345,38.741,39.137,44.131,49.787,79.368,22.74,21.111,19.306,19.815,18.3,20.157,16.874,13.823,15.91,,,,,12.72,
long-term-debt,46.574,47.597,48.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,,,,18.443,18.667,18.891,18.516,17.641,16.168,9.235,1.057,0.109,0.805,2.379,3.417,4.443,1.425,1.691,1.957,1.983,2.176,2.39,2.605,2.819,3.012,,,,,3.12,
total-long-term-liabilities,51.597,52.797,57.366,28.908,30.067,29.697,33.332,27.864,25.605,21.268,15.687,17.965,22.014,26.941,31.332,35.711,46.598,48.491,50.494,50.611,23.096,25.351,28.108,9.942,11.43,,,,,6.49,
total-liabilities,80.106,86.299,81.438,56.395,69.586,59.92,74.498,78.845,71.328,56.837,52.032,56.706,61.151,71.072,81.119,115.079,69.338,69.602,69.8,70.426,41.396,45.508,44.982,23.765,27.34,0.0,0.0,,0.0,19.22,0.0
common-stock-net,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.028,0.028,0.028,0.028,0.027,0.027,0.027,0.027,0.026,0.026,0.026,0.026,0.022,0.022,0.021,0.021,0.017,0.017,0.0,0.0,,0.0,0.001,0.0
retained-earnings-accumulated-deficit,-400.526,-364.457,-330.066,-294.681,-255.927,-208.683,-174.623,-155.607,-126.396,-83.114,-38.828,-5.048,15.058,34.472,47.609,60.649,-235.479,-211.508,-200.034,-188.998,-177.172,-170.084,-160.218,-151.574,-144.257,,,,,-95.1,
comprehensive-income,0.079,0.142,0.042,-0.106,-0.25,-0.378,-0.586,-0.476,-0.221,-0.304,-0.244,-0.039,0.138,0.219,0.11,-0.074,0.037,0.072,0.031,0.001,0.06,0.041,0.019,0.003,0.001,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.01,0.0
total-share-holder-equity,178.434,206.612,234.326,265.139,296.778,336.858,362.216,265.202,286.089,323.274,357.049,391.575,403.975,426.696,428.137,433.206,125.635,145.919,154.769,85.205,94.862,100.906,109.324,58.026,64.706,0.0,0.0,,0.0,39.35,0.0
total-liabilities-share-holders-equity,258.54,292.911,315.764,321.534,366.364,396.778,436.714,344.047,357.417,380.111,409.081,448.281,465.126,497.768,509.256,548.285,194.973,215.521,224.569,155.631,136.258,146.414,154.306,81.791,92.046,0.0,0.0,,0.0,58.57,0.0
