,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,5.648,,,,0.512,1.723,0.553,0.647,,0.607,1.412,1.437,0.389,,,,0.44
total-current-assets,615.803,666.759,465.489,485.78,392.179,469.535,553.85,324.312,229.77,234.852,248.32,149.769,221.266,234.1,136.538,149.724,160.727,42.406,47.994,53.593,,,,3.72
net-property-plant-equipment,14.337,12.345,13.09,14.981,16.749,17.097,17.414,16.571,13.169,5.2,2.373,2.42,2.626,2.562,2.293,2.114,2.168,2.182,2.343,2.023,,,,3.0
long-term-investments,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,17.208,16.552,16.67,2.601,2.614,1.119,1.12,1.23,1.046,1.046,1.046,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,0.08
total-long-term-assets,111.545,102.073,147.571,131.863,118.232,69.703,19.526,32.408,54.288,67.025,69.355,52.618,2.766,2.702,2.433,2.254,2.308,2.322,2.483,2.163,,,,3.08
total-assets,727.348,768.832,613.06,617.643,510.411,539.238,573.376,356.72,284.058,301.877,317.675,202.387,224.032,236.802,138.971,151.978,163.035,44.728,50.477,55.756,0.0,0.0,0.0,6.17
total-current-liabilities,41.193,39.713,32.091,33.773,26.927,21.287,23.96,26.264,16.357,17.148,14.747,15.515,13.157,13.163,11.495,9.627,6.573,5.233,4.36,2.537,,,,3.76
long-term-debt,23.691,24.048,24.401,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,4.367,0.881,0.03,11.071,11.283,11.398,11.652,11.652,9.434,3.019,0.437,0.563,0.775,1.232,1.354,1.556,1.645,1.616,0.371,0.384,,,,0.15
total-long-term-liabilities,28.058,24.929,24.431,11.071,11.283,11.398,11.652,11.652,9.434,3.019,0.437,0.563,0.775,1.232,1.354,1.556,1.645,1.616,0.371,0.384,,,,0.15
total-liabilities,69.251,64.642,56.522,44.844,38.21,32.685,35.612,37.916,25.791,20.167,15.184,16.078,13.932,14.395,12.849,11.183,8.218,6.849,4.731,2.921,0.0,0.0,0.0,3.92
common-stock-net,0.06,0.06,0.056,0.056,0.052,0.052,0.052,0.046,0.043,0.043,0.043,0.037,0.037,0.036,0.03,0.029,0.029,0.003,0.002,0.002,0.0,0.0,0.0,0.001
retained-earnings-accumulated-deficit,-642.941,-578.394,-521.073,-472.15,-422.948,-379.881,-339.513,-297.957,-256.705,-228.148,-204.265,-180.933,-153.726,-132.74,-115.065,-98.465,-82.88,-67.678,-57.652,-49.328,,,,-28.04
comprehensive-income,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,658.097,704.19,556.538,572.799,472.201,506.553,537.764,318.804,258.267,281.71,302.491,186.309,210.1,222.407,126.122,140.795,154.817,37.879,45.746,52.835,0.0,0.0,0.0,2.25
total-liabilities-share-holders-equity,727.348,768.832,613.06,617.643,510.411,539.238,573.376,356.72,284.058,301.877,317.675,202.387,224.032,236.802,138.971,151.978,163.035,44.728,50.477,55.756,0.0,0.0,0.0,6.17
