,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
cash-on-hand,,,,,,,,,,
inventory,,,,,,,,,,
total-current-assets,583.062,604.248,512.255,468.991,297.081,,,,,
net-property-plant-equipment,40.759,34.811,30.581,31.003,30.318,,,,,
long-term-investments,302.624,277.301,25.916,77.563,2.963,,,,,
goodwill-intangible-assets-total,18.816,19.235,7.557,7.8,8.044,0.0,0.0,,0.0,0.0
other-long-term-assets,3.073,3.159,2.862,2.046,1.936,,,,,
total-long-term-assets,365.272,335.741,66.916,118.412,47.518,,,,,
total-assets,948.334,939.989,579.171,587.403,344.599,0.0,0.0,0.0,0.0,0.0
total-current-liabilities,67.817,57.049,48.192,46.944,32.05,,,,,
long-term-debt,0.057,0.08,0.1,0.119,0.137,,,,,
other-non-current-liabilities,8.0,8.439,7.27,7.544,7.652,,,,,
total-long-term-liabilities,65.121,67.466,62.845,57.307,57.362,,,,,
total-liabilities,132.938,124.515,111.037,104.251,89.412,0.0,0.0,,0.0,0.0
common-stock-net,0.001,0.001,0.001,0.001,0.0,0.0,0.0,,0.0,0.0
retained-earnings-accumulated-deficit,-327.599,-314.809,-303.209,-280.799,-255.677,,,,,
comprehensive-income,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,815.396,815.474,468.134,483.152,255.187,0.0,0.0,,0.0,0.0
total-liabilities-share-holders-equity,948.334,939.989,579.171,587.403,344.599,0.0,0.0,,0.0,0.0
