,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,882.0,884.0,898.0,814.0,816.0,859.0,885.0,801.0,1144.0,1408.0,1474.0,1587.0,1900.0,1862.0,1880.0,1955.0,1988.0,2039.0,1908.0,1386.0,1909.584,2068.753,2140.228,1697.0,1946.048,1935.147,1799.618,1744.982,1617.369,1603.401,1418.033,1389.983,1337.751,1321.615,1304.457,1203.809,1273.389,1356.606,1223.945,1051.771,1017.827,969.971,936.727,927.868,897.623,856.287,661.093,599.966,565.692,573.34,522.41,564.145,373.266,318.713,224.372,216.903,174.04,166.06,135.506
other-current-assets,,,,,,,,,,,,,,,,,,553.0,761.0,,267.247,199.36,201.011,91.0,109.195,176.355,217.748,84.302,144.175,226.903,175.629,,115.643,85.018,96.081,116.244,111.651,243.55,139.88,66.891,59.714,78.127,164.929,126.066,140.791,115.194,105.439,35.242,31.602,40.118,32.121,22.863,62.138,56.771,40.769,34.925,15.43,,
total-current-assets,28361.0,33727.0,34024.0,35836.0,34918.0,32728.0,30258.0,31823.0,35317.0,28592.0,21424.0,19588.0,21425.0,18353.0,19267.0,24762.0,25910.0,18093.0,20062.0,17714.0,12562.03,15499.34,12970.63,6997.0,6968.061,7072.529,6663.097,6156.347,5880.379,5844.102,5826.532,13918.79,6147.267,6219.045,6851.132,5708.082,6031.947,5709.014,5124.228,4812.558,4297.61,4001.307,4615.915,4278.408,4326.683,3669.377,2948.257,3028.292,2545.043,2447.174,2440.559,2429.206,4032.4,2491.869,3375.405,3092.208,2297.715,2384.82,2070.244
net-property-plant-equipment,4377.0,4249.0,4116.0,4006.0,3791.0,3659.0,3415.0,3295.0,3100.0,3012.0,2922.0,2865.0,2714.0,2599.0,2431.0,2276.0,2143.0,1899.0,1765.0,1674.0,1509.796,1380.776,1303.029,1166.0,1133.032,1135.993,1125.794,1100.259,856.184,811.799,782.867,774.406,761.19,721.884,703.794,701.235,692.032,695.043,695.601,699.97,701.371,697.426,679.437,528.799,512.281,493.012,455.759,447.696,441.797,391.016,377.067,361.299,288.105,253.76,240.587,242.568,238.31,237.221,225.428
long-term-investments,2195.0,3051.0,2221.0,1423.0,2378.0,5739.0,8104.0,11184.0,12973.0,15480.0,19902.0,20485.0,19345.0,15864.0,13003.0,11601.0,9400.0,6056.0,3220.0,1598.0,1375.4,782.315,389.871,439.0,665.063,688.428,688.254,719.836,955.603,564.13,48.168,63.704,3224.981,3228.994,3344.999,3219.403,2744.15,2216.61,2967.727,2247.871,1936.818,1654.178,1548.595,1449.577,1336.968,1560.631,1674.809,1550.444,1451.286,1110.659,934.722,452.715,350.495,1812.083,,,,,
goodwill-intangible-assets-total,18981.0,19269.0,19555.0,19855.0,20431.0,20620.0,20962.0,21259.0,9514.0,9723.0,9933.0,10143.0,10558.0,10885.0,11095.0,11419.0,11626.0,11832.0,12039.0,12245.0,12478.11,12679.88,12879.39,13069.0,13222.61,13244.16,13265.71,12797.31,12814.27,12830.11,12845.95,2066.966,2111.003,2128.41,1629.971,1425.592,1576.573,1494.813,1509.794,1524.777,1555.602,1570.79,,123.008,,,,,129.898,130.188,131.409,,,,,,,,
other-long-term-assets,5232.0,2914.0,2921.0,2555.0,2787.0,2609.0,2642.0,2722.0,2611.0,2319.0,2312.0,3896.0,2086.0,1846.0,1677.0,1334.0,1267.0,1110.0,1030.0,1197.0,755.338,710.302,395.806,718.0,316.92,327.598,329.155,334.977,347.059,335.546,339.144,335.258,312.729,308.639,322.593,384.939,315.598,303.188,316.715,311.885,311.162,330.782,455.274,330.311,483.131,488.107,499.971,510.925,381.781,376.277,375.575,540.222,388.488,410.941,360.379,364.647,365.899,38.296,38.898
total-long-term-assets,30785.0,29483.0,28813.0,27839.0,29387.0,32627.0,35123.0,38460.0,29345.0,31671.0,36277.0,37389.0,35184.0,31627.0,28498.0,26954.0,24727.0,21074.0,18259.0,16950.0,16282.36,15706.83,15107.06,15582.0,15500.37,15551.84,15548.57,15083.49,15083.45,14657.85,14123.85,3384.349,6492.631,6475.095,6136.222,5884.548,5423.644,4787.694,5571.77,4886.001,4639.37,4385.785,2903.999,2658.423,2647.445,2848.04,2930.746,2806.424,2772.532,2378.606,2174.82,1656.775,1266.732,2687.779,661.129,674.108,620.97,303.294,299.239
total-assets,59146.0,63210.0,62837.0,63675.0,64305.0,65355.0,65381.0,70283.0,64662.0,60263.0,57701.0,56977.0,56609.0,49980.0,47765.0,51716.0,50637.0,39167.0,38321.0,34664.0,28844.39,31206.16,28077.69,22579.0,22468.43,22624.37,22211.67,21239.84,20963.83,20501.95,19950.39,17303.13,12639.9,12694.14,12987.35,11592.63,11455.59,10496.71,10696.0,9698.559,8936.98,8387.092,7519.914,6936.831,6974.128,6517.417,5879.003,5834.716,5317.575,4825.78,4615.379,4085.981,5299.132,5179.648,4036.534,3766.316,2918.685,2688.114,2369.483
