,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,12.57,9.912,9.391,10.244,11.254,8.828,10.452,10.949,7.109,7.105,9.019,6.633,4.216,2.614,2.441,3.054,2.714,1.966,2.148,2.137,1.532,1.151,1.768,2.102,1.965,3.425,3.175,1.993,2.131,1.879,2.094,2.168,1.96,1.2,0.87,0.89,0.74,0.33,,,,,
other-current-assets,,,1.26,,,,,,,,,,,,,,,,,,1.229,1.146,0.627,,0.682,0.772,0.382,0.226,0.183,0.192,0.135,0.322,0.42,0.49,0.38,2.19,0.49,0.86,,,,,
total-current-assets,58.276,60.113,69.637,68.429,65.668,73.133,85.486,95.831,103.797,122.215,42.11,58.449,64.676,46.846,46.485,55.957,62.098,69.115,78.316,78.107,84.718,93.827,102.647,111.102,117.512,45.128,52.817,58.002,60.431,67.576,27.085,33.908,39.11,45.85,19.07,22.09,25.9,31.24,,,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,1.58,1.727,1.875,2.023,2.17,2.327,2.475,2.624,2.772,2.923,2.546,2.67,2.795,2.188,2.282,2.376,2.47,1.741,1.806,1.87,1.934,1.998,1.14,1.197,3.048,2.59,2.566,1.832,1.868,1.672,1.722,1.362,1.38,1.4,0.06,0.07,0.08,0.1,,,,,
other-long-term-assets,6.333,6.407,5.221,1.459,1.32,1.28,1.265,1.263,0.952,0.937,0.937,0.937,0.933,0.935,0.936,0.938,0.942,0.94,0.873,0.941,0.876,0.864,0.864,0.864,0.106,1.104,1.108,1.108,1.128,0.102,0.102,0.08,0.08,0.08,0.05,0.05,0.05,0.05,,,,,
total-long-term-assets,26.776,27.061,27.023,24.552,25.363,24.766,25.621,26.468,25.31,23.638,21.965,21.875,21.063,15.777,14.923,14.71,14.969,14.502,14.033,13.863,13.0,12.809,11.594,10.652,11.102,11.745,11.021,10.014,8.211,5.959,5.241,4.278,1.46,1.48,0.11,0.12,0.13,0.15,,,,,
total-assets,85.052,87.174,96.66,92.981,91.031,97.899,111.107,122.299,129.107,145.853,64.075,80.324,85.739,62.623,61.408,70.667,77.067,83.617,92.349,91.97,97.718,106.636,114.241,121.754,128.614,56.873,63.838,68.016,68.642,73.535,32.326,38.186,43.7,50.53,21.95,24.92,28.36,33.17,0.0,0.0,0.0,0.0,0.0
total-current-liabilities,21.644,17.721,17.741,20.287,17.531,35.81,30.605,27.743,34.94,33.999,21.05,26.421,19.826,15.88,11.526,10.589,11.473,9.286,9.61,12.293,11.552,11.695,10.113,10.237,8.383,7.702,7.974,9.174,7.716,6.731,5.382,6.381,6.42,6.64,4.43,3.24,3.77,3.63,,,,,
long-term-debt,54.791,54.61,54.412,36.042,28.73,9.579,14.868,20.099,9.918,14.901,12.261,11.88,14.302,16.737,9.562,9.89,9.794,9.7,9.502,,,,,,0.049,0.054,0.059,0.063,0.067,0.155,0.41,0.583,0.83,1.08,2.0,,,,,,,,
other-non-current-liabilities,0.055,0.062,0.07,0.109,0.112,0.146,0.187,0.241,0.387,0.222,0.186,0.22,0.202,0.183,0.319,0.334,0.249,0.255,0.249,0.208,0.114,0.742,0.745,0.748,2.28,2.281,2.3,0.604,0.743,0.805,0.726,0.588,0.63,1.08,0.62,0.61,0.47,0.81,,,,,
total-long-term-liabilities,54.846,54.672,54.482,39.147,31.794,12.44,17.948,23.399,13.53,18.501,15.971,15.752,18.285,18.298,11.162,11.481,11.351,11.314,11.153,1.653,1.602,2.273,2.311,2.349,2.329,2.335,2.359,2.392,0.81,0.96,1.136,1.171,1.46,2.16,2.62,0.61,0.47,0.81,,,,,
total-liabilities,76.49,72.393,72.223,59.434,49.325,48.25,48.553,51.142,48.47,52.5,37.021,42.173,38.111,34.178,22.688,22.07,22.824,20.6,20.763,13.946,13.154,13.968,12.424,12.586,10.712,10.037,10.333,11.566,8.526,7.691,6.518,7.552,7.88,8.81,7.05,3.85,4.25,4.44,,,,,
common-stock-net,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.006,0.005,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,,,,,
