,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31
cash-on-hand,,,,,,,,,
other-current-assets,,,,,,,,0.13,
total-current-assets,452.374,489.586,497.788,231.953,,,,0.445,
net-property-plant-equipment,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,12.247,12.774,14.051,4.273,,,,,
total-long-term-assets,17.38,17.588,18.161,7.466,,,,,
total-assets,469.754,507.174,515.949,239.419,0.0,0.0,0.0,0.445,0.0
total-current-liabilities,33.169,27.511,25.152,20.403,,,,1.266,
long-term-debt,37.712,38.219,10.537,,,,,6.04,
other-non-current-liabilities,,,,0.718,,,,0.001,
total-long-term-liabilities,37.712,38.219,10.537,339.085,,,,6.041,
total-liabilities,70.881,65.73,35.689,359.488,,0.0,0.0,7.307,0.0
common-stock-net,0.007,0.007,0.007,0.002,,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-279.472,-230.972,-186.474,-153.863,,,,-6.894,
comprehensive-income,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,398.873,441.444,480.26,-120.069,,0.0,0.0,-6.862,0.0
total-liabilities-share-holders-equity,469.754,507.174,515.949,239.419,,0.0,0.0,0.445,0.0
