,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
cash-on-hand,,,,,,,,,,
other-current-assets,,,,,,,,,,0.88
total-current-assets,154.783,184.697,135.0,157.636,84.15,,,,,38.391
net-property-plant-equipment,24.376,18.966,15.652,29.494,27.012,,,,,8.315
long-term-investments,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,27.489,24.009,24.835,2.428,2.039,,,,,0.54
total-long-term-assets,53.868,43.483,40.487,31.922,29.051,,,,,8.855
total-assets,208.651,228.18,175.487,189.558,113.201,0.0,0.0,0.0,0.0,46.421
total-current-liabilities,22.893,18.065,14.112,15.108,13.722,,,,,2.494
long-term-debt,19.432,16.919,17.104,,,,,,,
other-non-current-liabilities,,,0.002,10.502,10.527,,,,,0.17
total-long-term-liabilities,29.363,27.737,29.153,25.328,26.788,,,,,2.23
total-liabilities,52.256,45.802,43.265,40.436,40.51,0.0,0.0,,0.0,4.732
common-stock-net,0.017,0.017,0.016,0.016,0.002,0.0,0.0,,0.0,0.001
retained-earnings-accumulated-deficit,-193.284,-165.736,-144.564,-126.402,-109.063,,,,,-20.25
comprehensive-income,0.031,0.076,0.067,-0.085,-0.005,,,,,
other-share-holders-equity,,,,,,0.0,0.0,,0.0,-0.003
total-share-holder-equity,156.395,182.378,132.222,149.122,72.691,0.0,0.0,,0.0,41.689
total-liabilities-share-holders-equity,208.651,228.18,175.487,189.558,113.201,0.0,0.0,,0.0,46.42
