,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31
cash-on-hand,,,,,,,,,,,,,,,
total-current-assets,302.98,328.277,348.884,370.133,392.013,189.889,195.183,104.661,119.035,133.768,,,,,
net-property-plant-equipment,,,,,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,10.588,1.861,1.448,,,,,,,,,,,,
total-long-term-assets,14.206,3.376,2.791,1.137,1.006,0.711,0.558,0.51,0.516,0.333,,,,,
total-assets,317.186,331.653,351.675,371.27,393.019,190.6,195.741,105.171,119.551,134.101,0.0,0.0,0.0,0.0,0.0
total-current-liabilities,21.222,17.893,11.549,12.362,13.674,13.997,12.507,11.704,10.421,10.41,,,,,
long-term-debt,9.845,1.09,1.185,,,,,,,,,,,,
other-non-current-liabilities,,,,0.088,0.09,0.079,0.079,0.079,,,,,,,
total-long-term-liabilities,9.845,1.09,1.185,0.088,0.09,0.079,0.079,0.079,,,,,,,
total-liabilities,31.067,18.983,12.734,12.45,13.764,14.076,12.586,11.783,10.421,10.41,0.0,,0.0,0.0,0.0
common-stock-net,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.0,,0.0,0.0,0.0
retained-earnings-accumulated-deficit,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,286.119,312.67,338.941,358.82,379.255,176.524,183.155,93.388,109.13,123.691,0.0,,0.0,0.0,0.0
total-liabilities-share-holders-equity,317.186,331.653,351.675,371.27,393.019,190.6,195.741,105.171,119.551,134.101,0.0,,0.0,0.0,0.0
