,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,1769.0,1826.0,1778.0,1732.0,1634.0,1636.0,1677.0,1573.0,1546.0,1544.0,1501.0,1503.0,1503.0,1481.0,1415.0,1439.0,1379.0,1348.0,1287.0,1279.0,1258.0,1211.0,1187.0,1179.0,1135.0,1152.0,1104.0,1086.0,1052.0,1055.0,1046.0,1054.0,891.0,887.0,881.0,897.0,815.0,805.0,794.0,802.0,745.0,730.0,717.0,737.0,716.0,715.0,705.0,710.0,689.0,689.0,676.0,669.0,659.0,646.0,624.0,616.0,584.0,580.0,577.0
other-current-assets,1310.0,1394.0,1379.0,1190.0,1266.0,1298.0,1296.0,1171.0,1204.0,1306.0,1119.0,1111.0,1160.0,1254.0,1054.0,1163.0,1015.0,1092.0,1025.0,1025.0,910.0,931.0,859.0,747.0,828.0,861.0,827.0,915.0,828.0,756.0,661.0,679.0,875.0,625.0,576.0,848.0,678.0,742.0,497.0,579.0,515.0,556.0,558.0,405.0,517.0,557.0,498.0,615.0,649.0,639.0,522.0,594.0,462.0,570.0,567.0,559.0,315.0,370.0,484.0
total-current-assets,10769.0,12869.0,11108.0,10213.0,10010.0,10394.0,10391.0,9977.0,9448.0,9337.0,9037.0,9086.0,8843.0,9095.0,9201.0,9232.0,9221.0,9293.0,9130.0,8930.0,8527.0,8772.0,8877.0,8037.0,7771.0,7791.0,7787.0,7763.0,7272.0,7137.0,7282.0,7233.0,6693.0,6891.0,6986.0,6919.0,6551.0,6792.0,6738.0,6577.0,6301.0,6448.0,6489.0,6301.0,6098.0,6289.0,6501.0,6205.0,6029.0,5946.0,5918.0,6078.0,5817.0,5918.0,5670.0,5215.0,5222.0,5091.0,4917.0
net-property-plant-equipment,22002.0,21467.0,21128.0,19757.0,19041.0,18544.0,18124.0,17895.0,17329.0,16768.0,16462.0,16352.0,15875.0,15624.0,15057.0,15014.0,14704.0,14560.0,14392.0,14355.0,13878.0,13721.0,13612.0,13619.0,13322.0,13229.0,13144.0,13185.0,12960.0,12846.0,12787.0,12834.0,11645.0,11584.0,11347.0,11352.0,11136.0,11152.0,11252.0,11427.0,11351.0,11433.0,11455.0,11529.0,11438.0,11436.0,11381.0,11442.0,11450.0,11544.0,11633.0,11669.0,11709.0,11578.0,11365.0,11379.0,11274.0,11184.0,11328.0
long-term-investments,600.0,589.0,584.0,594.0,605.0,648.0,648.0,617.0,569.0,549.0,543.0,542.0,570.0,542.0,599.0,610.0,595.0,586.0,616.0,659.0,608.0,576.0,595.0,569.0,527.0,525.0,530.0,619.0,576.0,597.0,644.0,649.0,1382.0,1358.0,1442.0,1511.0,1522.0,1516.0,1997.0,2019.0,2226.0,2176.0,2162.0,2264.0,2307.0,2359.0,2372.0,2357.0,2420.0,2365.0,2413.0,2565.0,2785.0,2799.0,2596.0,2761.0,2641.0,2553.0,2564.0
goodwill-intangible-assets-total,8160.0,8140.0,8159.0,7953.0,7759.0,7459.0,7471.0,7394.0,7357.0,6771.0,6754.0,6704.0,6691.0,6694.0,6713.0,6731.0,6540.0,6484.0,6415.0,6416.0,5899.0,5909.0,5910.0,5903.0,5832.0,5534.0,5541.0,5539.0,5460.0,5431.0,5398.0,5251.0,2701.0,2719.0,2705.0,2693.0,2610.0,2583.0,2561.0,2577.0,2596.0,2594.0,2579.0,2580.0,2601.0,2630.0,2633.0,2629.0,2652.0,2631.0,2633.0,2601.0,2663.0,2648.0,2622.0,2626.0,2645.0,2622.0,2579.0
other-long-term-assets,2381.0,2384.0,2400.0,690.0,629.0,697.0,665.0,710.0,1028.0,1141.0,999.0,1074.0,1148.0,1250.0,1206.0,1157.0,836.0,787.0,735.0,620.0,692.0,614.0,544.0,466.0,691.0,591.0,606.0,679.0,768.0,840.0,736.0,641.0,1038.0,993.0,975.0,1003.0,1063.0,986.0,1132.0,1113.0,1210.0,1146.0,1147.0,1148.0,871.0,858.0,1088.0,853.0,667.0,634.0,443.0,148.0,79.0,103.0,86.0,159.0,165.0,176.0,205.0
total-long-term-assets,33143.0,32580.0,32271.0,28994.0,28034.0,27348.0,26908.0,26616.0,26283.0,25229.0,24758.0,24672.0,24284.0,24110.0,23575.0,23512.0,22675.0,22417.0,22158.0,22050.0,21298.0,21050.0,20932.0,20794.0,20622.0,20143.0,20095.0,20312.0,20030.0,19995.0,19857.0,19665.0,17063.0,16986.0,16823.0,16933.0,16702.0,16628.0,17353.0,17554.0,17819.0,17793.0,17795.0,17979.0,17695.0,17781.0,17991.0,17820.0,17748.0,17758.0,17725.0,17597.0,17308.0,17202.0,16745.0,17010.0,16814.0,16627.0,16772.0
total-assets,43912.0,45449.0,43379.0,39207.0,38044.0,37742.0,37299.0,36593.0,35731.0,34566.0,33795.0,33758.0,33127.0,33205.0,32776.0,32744.0,31896.0,31710.0,31288.0,30980.0,29825.0,29822.0,29809.0,28831.0,28393.0,27934.0,27882.0,28075.0,27302.0,27132.0,27139.0,26898.0,23756.0,23877.0,23809.0,23852.0,23253.0,23420.0,24091.0,24131.0,24120.0,24241.0,24284.0,24280.0,23793.0,24070.0,24492.0,24025.0,23777.0,23704.0,23643.0,23675.0,23125.0,23120.0,22415.0,22225.0,22036.0,21718.0,21689.0
