,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2014-12-31,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,75.693,71.11,70.036,67.69,72.601,66.439,70.051,69.138,,,,,158.957,153.952,82.257,144.374,137.557,132.492,127.295,126.937,124.815,120.485,112.305,110.597,102.666,99.786,98.29,98.606,95.037,93.136,91.289,88.71,86.874,87.319,85.96,85.587,83.543,83.69,82.228,76.994,75.079,75.524,75.803,78.467,78.418,78.372,76.725,71.171,71.877,68.775
other-current-assets,14.615,14.888,17.058,18.731,20.742,21.415,20.004,20.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,285.633,274.22,245.23,325.9,288.547,272.114,250.802,250.959,,,,,420.712,451.168,335.831,373.928,366.297,355.292,358.652,369.822,351.024,329.919,331.69,302.458,280.938,268.872,288.492,327.563,308.143,292.169,309.85,293.984,290.82,267.712,274.026,254.69,233.226,219.359,235.101,218.642,219.075,210.068,215.112,211.321,214.853,203.135,201.487,200.033,201.122,195.439
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,244.333,242.502,243.047,214.22,212.98,214.488,216.314,218.283,,,,,778.173,763.822,738.868,736.853,737.452,737.077,739.055,682.962,670.464,665.105,664.378,657.253,652.575,651.91,647.078,502.327,499.055,492.004,491.938,481.328,481.42,481.145,475.483,472.157,467.905,467.427,464.161,462.741,449.145,449.348,449.306,449.37,449.347,449.536,449.744,449.548,449.507,449.752
other-long-term-assets,118.375,112.221,112.068,7.766,12.711,11.482,10.416,9.44,,,,,23.024,23.276,24.0,21.255,20.633,24.651,25.159,23.551,24.382,25.283,25.879,24.421,25.347,26.377,22.605,8.237,8.713,10.607,10.937,9.181,9.608,10.464,13.507,17.937,12.197,10.837,13.107,11.58,13.445,12.243,12.41,12.855,13.138,9.112,9.739,10.09,9.391,10.152
total-long-term-assets,515.779,506.615,506.804,377.11,387.082,392.245,393.481,389.464,,,,,943.847,918.517,879.157,874.071,873.327,873.629,878.675,817.431,804.157,796.528,795.0291,786.189,782.034,782.722,772.987,575.997,574.452,565.821,565.186,542.486,540.113,540.91,539.724,537.377,527.252,524.706,524.582,518.853,506.64,504.466,504.01,503.103,504.063,501.283,502.98,504.203,504.38,506.148
total-assets,801.412,780.835,752.034,703.01,675.629,664.359,644.283,640.423,0.0,0.0,0.0,0.0,1364.559,1369.685,1214.988,1247.999,1239.624,1228.921,1237.327,1187.253,1155.181,1126.447,1126.719,1088.647,1062.972,1051.594,1061.479,903.56,882.595,857.99,875.036,836.47,830.933,808.622,813.75,792.067,760.478,744.065,759.683,737.495,725.715,714.534,719.122,714.424,718.916,704.418,704.467,704.236,705.502,701.587
total-current-liabilities,190.428,181.924,168.064,171.274,148.872,146.037,142.945,172.293,,,,,106.892,112.531,147.305,116.166,99.757,89.612,107.187,93.041,85.17,79.003,91.042,85.536,79.362,74.73,102.693,88.452,77.431,68.927,93.186,74.959,66.793,57.542,73.778,61.807,57.102,49.198,69.307,56.474,53.653,49.322,57.904,57.764,64.481,50.255,65.936,61.844,67.359,48.19
