,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,364.147,380.835,406.205,447.248,460.062,502.624,176.563,228.063,112.59,136.353,183.615,62.143,93.974,81.13,108.201,134.751,154.995,173.421,56.501,73.732,89.242,105.53,59.737,72.925,23.36,35.209,46.149,54.09,60.403,12.999,13.75,18.24,21.32,21.83,1.503,2.501,3.629,6.4,8.222,8.313,2.313,3.98,7.746,10.816,16.894,22.161,28.386,35.796,40.767,45.837,10.009,16.206,18.891,22.354,26.612,7.648,9.839,11.579,13.523
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-long-term-assets,12.5,12.921,13.322,0.254,0.253,0.427,0.316,0.263,0.263,0.263,0.263,0.263,0.13,0.13,,0.045,0.174,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.153,0.148,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.028,0.053,0.053,0.053,0.053,0.128,0.128,0.128,0.128,0.103,0.103,0.103,0.103,0.075,0.075,0.075,0.075,0.07,0.087,0.105,0.122,0.139,0.157,0.174,0.177,0.209
total-long-term-assets,28.815,30.831,29.589,14.931,10.834,7.932,6.82,6.244,5.606,6.017,5.943,5.339,4.832,4.601,3.645,3.094,3.156,3.035,3.126,2.95,3.04,3.108,3.056,3.012,3.01,2.881,2.83,1.882,1.358,1.232,1.244,1.205,0.476,0.291,0.362,0.41,0.46,0.452,0.583,0.638,0.724,0.812,0.891,0.984,1.163,1.266,1.287,1.154,0.869,0.875,0.953,1.045,1.058,1.142,1.234,1.321,1.393,1.292,1.376
total-assets,392.962,411.666,435.794,462.179,470.896,510.556,183.383,234.307,118.196,142.37,189.558,67.482,98.806,85.731,111.846,137.845,158.151,176.456,59.627,76.682,92.282,108.638,62.793,75.937,26.37,38.09,48.979,55.972,61.761,14.231,14.994,19.445,21.796,22.121,1.865,2.911,4.089,6.852,8.805,8.951,3.037,4.792,8.637,11.8,18.057,23.427,29.673,36.95,41.636,46.712,10.962,17.251,19.949,23.496,27.846,8.969,11.232,12.871,14.899
total-current-liabilities,96.737,95.056,92.257,92.019,64.088,78.665,91.177,103.171,53.143,48.295,37.398,38.733,30.926,27.89,19.17,19.735,16.45,16.59,11.626,13.62,11.274,10.792,7.384,6.992,5.498,9.592,7.596,4.154,4.244,3.116,3.361,3.693,2.54,3.204,1.685,1.56,1.369,2.65,1.982,1.887,2.404,2.414,2.764,3.187,5.691,5.115,5.507,6.207,3.558,3.553,3.735,4.192,2.42,2.301,2.218,2.766,2.507,2.43,1.956
long-term-debt,10.783,11.251,11.723,,,,,,25.0,25.0,50.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,0.064,0.025,,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.072,0.131,0.218,0.269,,,1.0,,,,,,,,
