,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,3115.742,3108.714,3109.111,4175.22,4193.952,4061.94,4120.805,4086.02,3782.529,3463.777,3392.257,3342.78,3285.955,3277.591,3271.003,3231.1,3120.173,2905.337,2802.254,2913.166,2928.237,2912.003,2876.906,2834.665,2635.42,2573.266,2585.415,2704.377,2512.179,2331.144,2307.01,2272.508,2317.132,2349.01,2261.511,2169.302,2247.774,2212.545,2219.372,2203.533,2079.753,2089.29,1940.316,2066.066,2014.262,1931.123,1873.302,1848.799,1853.469,1648.858,1551.779,1644.848,1516.65,1522.74,1493.506,1584.409,1482.553,1419.864,1328.647
net-property-plant-equipment,311.123,315.422,315.393,314.221,374.051,368.604,377.002,375.001,361.708,351.381,336.465,333.906,324.108,320.098,324.283,318.476,311.891,310.333,292.044,311.496,303.157,292.972,285.528,275.888,265.273,256.775,262.825,273.458,258.683,255.715,259.76,262.088,262.502,270.021,271.75,252.573,254.004,248.233,249.72,259.576,257.602,254.008,242.175,247.835,247.345,254.11,255.765,247.671,236.309,223.227,221.234,225.038,218.154,209.876,194.258,190.746,180.878,184.287,175.315
long-term-investments,385.744,389.648,404.004,420.367,518.425,510.453,449.731,432.002,450.77,472.922,458.028,442.79,454.704,487.404,476.924,454.6,422.716,416.994,387.78,386.286,358.886,360.044,327.569,461.945,311.412,291.322,292.948,292.934,278.045,299.913,300.627,298.828,297.345,304.525,303.564,295.334,263.329,181.953,185.16,182.036,176.888,146.901,147.006,148.264,152.937,139.04,118.367,107.9,103.041,97.11,97.487,75.917,69.729,59.433,62.762,57.892,62.792,74.857,68.908
goodwill-intangible-assets-total,3044.347,3062.44,3068.234,2457.06,3303.882,2868.789,2967.338,2970.972,2891.654,2809.376,2657.87,2640.92,2568.826,2548.503,2528.36,2500.564,2516.778,2472.962,2457.186,2527.859,2540.351,2426.735,2390.107,2052.138,2065.984,2043.143,2064.498,2063.228,2062.625,1948.484,1892.236,1906.72,1921.317,1960.203,1958.169,1830.262,1839.352,1774.934,1608.379,1190.84,1189.096,1155.291,1103.047,1137.045,1092.03,1145.242,1141.035,1109.614,1090.674,927.457,944.892,935.343,913.087,858.004,816.418,750.073,755.399,760.88,767.272
other-long-term-assets,240.126,236.113,248.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-long-term-assets,3981.34,4003.623,4035.753,4325.307,4196.358,3747.846,3794.071,3777.975,3704.132,3633.679,3452.363,3417.616,3347.638,3356.005,3329.567,3273.64,3251.385,3200.289,3137.01,3225.641,3202.394,3079.751,3003.204,2789.971,2642.669,2591.24,2620.271,2629.62,2599.353,2504.112,2452.623,2467.636,2481.164,2534.749,2533.483,2378.169,2356.685,2205.12,2043.259,1632.452,1623.586,1556.2,1492.228,1533.144,1492.312,1538.392,1515.167,1465.185,1430.024,1247.794,1263.613,1236.298,1200.97,1127.313,1073.438,998.711,999.069,1020.024,1011.495
total-assets,7097.082,7112.337,7144.864,8500.527,8390.31,7809.786,7914.876,7863.995,7486.661,7097.456,6844.62,6760.396,6633.593,6633.596,6600.57,6504.74,6371.558,6105.626,5939.264,6138.807,6130.631,5991.754,5880.11,5624.636,5278.089,5164.506,5205.686,5333.997,5111.532,4835.256,4759.633,4740.144,4798.296,4883.759,4794.994,4547.471,4604.459,4417.665,4262.631,3835.985,3703.339,3645.49,3432.544,3599.21,3506.574,3469.515,3388.469,3313.984,3283.493,2896.652,2815.392,2881.146,2717.62,2650.053,2566.944,2583.12,2481.622,2439.888,2340.142
total-current-liabilities,1908.692,1825.277,1878.776,3218.827,3229.785,3152.922,2856.291,2828.975,2437.147,2229.945,2285.432,2320.646,2039.655,1910.912,1987.504,2146.997,1797.281,1636.742,1546.839,1780.111,1705.834,1543.901,1613.261,1550.663,1446.445,1314.335,1242.569,1472.709,1448.958,1283.454,1139.136,1271.64,1201.352,1236.945,1234.203,1168.087,1287.647,1026.197,1013.871,1076.254,1029.134,1057.612,1011.885,1183.665,1100.698,921.818,889.52,940.639,1013.891,733.505,698.172,810.088,724.246,672.084,649.075,724.114,635.002,623.471,572.066
