,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,3519.0,4487.0,3965.0,3564.0,4178.0,7877.0,4059.0,2949.0,3776.0,3884.0,3849.0,3438.0,4791.0,5337.0,5568.0,4712.0,5767.0,5555.0,6166.0,4950.0,3839.0,2854.0,2605.0,2122.0,2232.0,1960.0,1818.0,1670.0,1615.0,1422.0,1181.0,1027.0,706.493,721.537,669.288,632.0,479.417,535.708,514.549,505.96,936.217,1056.798,1163.283,1030.0,1476.439,1290.295,1233.91,1114.486,1612.467,1318.003,1135.298,1062.455,1066.731,778.821,517.877,333.004,247.083,236.43,226.339
total-current-assets,20324.0,20160.0,19673.0,16948.0,19077.0,26864.0,23932.0,17402.0,23185.0,22568.0,22317.0,16190.0,19654.0,17736.0,17844.0,15711.0,15773.0,16975.0,17402.0,15536.0,15636.0,14086.0,13975.0,12300.0,12573.0,12628.0,12678.0,11710.0,11678.0,14071.0,14056.0,11181.0,13632.34,11475.23,11096.77,10137.0,11384.61,10787.09,10259.99,9252.816,9240.828,8772.364,8882.756,8396.042,8199.987,8460.543,8610.275,8732.846,9201.824,10405.93,9870.592,7303.963,7153.005,7059.026,6019.326,4206.186,4283.136,3743.07,3638.451
net-property-plant-equipment,1864.0,1796.0,1754.0,1735.0,1685.0,1626.0,1595.0,1584.0,1560.0,1543.0,1525.0,1505.0,1478.0,1452.0,1420.0,1384.0,1343.0,1299.0,1258.0,1228.0,1349.0,1289.0,1244.0,1218.0,1180.0,1133.0,1119.0,1098.0,1034.0,976.0,939.0,912.0,850.888,822.611,819.729,815.0,670.277,660.223,665.909,679.142,679.01,691.414,701.376,711.492,677.882,655.431,636.935,637.241,570.798,569.412,571.405,545.004,518.93,505.721,498.267,484.412,457.078,437.393,428.89
long-term-investments,1465.0,1467.0,1470.0,1458.0,1453.0,379.0,2361.0,2745.0,2716.0,2670.0,2424.0,2203.0,2273.0,2051.0,1940.0,1843.0,1879.0,1839.0,1972.0,1949.0,1947.0,1895.0,1800.0,1710.0,1737.0,1770.0,1824.0,1846.0,1837.0,1783.0,1704.0,1710.0,1695.943,1592.919,1568.09,1500.0,1477.147,1405.734,1333.659,1307.088,1319.319,1240.197,1081.97,1011.904,930.45,989.253,963.106,1015.05,420.769,400.775,380.138,414.877,408.281,387.362,374.583,391.035,365.634,358.643,345.692
goodwill-intangible-assets-total,3922.0,3922.0,3897.0,3897.0,3895.0,3895.0,3760.0,3281.0,3281.0,3280.0,3279.0,3272.0,3272.0,3266.0,3265.0,3265.0,3266.0,3266.0,3231.0,3231.0,3695.0,3696.0,3699.0,3733.0,3716.0,3638.0,3641.0,3640.0,2962.0,2792.0,2785.0,2740.0,2579.916,2577.511,2576.208,2568.0,1997.277,1994.593,1992.924,1992.924,1992.924,1992.924,1991.22,1963.111,1823.28,1817.46,1683.604,1663.939,1330.585,1330.585,1331.418,1310.631,1307.231,1307.65,1265.176,1264.575,1220.461,1221.663,1244.37
other-long-term-assets,1605.0,1568.0,1555.0,1375.0,1380.0,1506.0,1805.0,2166.0,2214.0,2192.0,2167.0,2226.0,2789.0,2731.0,2465.0,2475.0,2035.0,2005.0,1761.0,1583.0,1704.0,2155.0,1848.0,1774.0,1697.0,1679.0,1712.0,1685.0,1286.0,1233.0,1216.0,1165.0,1140.644,1126.637,1099.259,1083.0,861.038,842.931,956.658,921.524,969.706,987.49,949.288,959.211,932.271,1017.296,868.108,829.998,548.53,628.267,552.572,524.011,569.718,576.841,540.668,523.406,506.112,517.138,492.19
total-long-term-assets,8856.0,8753.0,8676.0,8465.0,8413.0,7406.0,9521.0,9776.0,9771.0,9685.0,9395.0,9206.0,9812.0,9500.0,9090.0,8967.0,8523.0,8409.0,8222.0,7991.0,8695.0,9035.0,8591.0,8435.0,8330.0,8220.0,8296.0,8269.0,7119.0,6784.0,6644.0,6527.0,6267.391,6119.678,6063.286,5966.0,5005.739,4903.481,4949.15,4900.678,4960.959,4912.025,4723.854,4645.718,4363.883,4479.44,4151.753,4146.228,2870.682,2929.039,2835.533,2794.523,2804.16,2777.574,2678.694,2663.428,2549.285,2534.837,2511.142
total-assets,29180.0,28913.0,28349.0,25413.0,27490.0,34270.0,33453.0,27178.0,32956.0,32253.0,31712.0,25396.0,29466.0,27236.0,26934.0,24678.0,24296.0,25384.0,25624.0,23527.0,24331.0,23121.0,22566.0,20735.0,20903.0,20848.0,20974.0,19979.0,18797.0,20855.0,20700.0,17708.0,19899.73,17594.9,17160.06,16103.0,16390.35,15690.57,15209.14,14153.49,14201.79,13684.39,13606.61,13041.76,12563.87,12939.98,12762.03,12879.07,12072.51,13334.96,12706.13,10098.49,9957.165,9836.6,8698.02,6869.614,6832.421,6277.907,6149.593
total-current-liabilities,11106.0,11539.0,11927.0,10077.0,11324.0,18768.0,15455.0,9406.0,14418.0,13705.0,13504.0,7822.0,11816.0,9934.0,10105.0,8152.0,7742.0,8973.0,9177.0,7471.0,7769.0,7880.0,7714.0,6323.0,6551.0,6770.0,6944.0,6375.0,6369.0,8676.0,8823.0,6056.0,8516.501,6355.764,6364.734,5744.0,6261.125,5996.989,5905.861,5259.992,5507.238,5466.602,5489.729,5183.945,5322.938,5765.676,5734.439,5791.851,6395.858,8029.337,7527.771,5113.958,5436.823,5543.454,4787.538,3219.59,3538.924,2443.503,2404.65
long-term-debt,5365.0,4377.0,4376.0,4375.0,4774.0,4773.0,4772.0,4770.0,3977.0,4279.0,4780.0,3792.0,3792.0,3793.0,3793.0,3794.0,3822.0,3823.0,3824.0,3825.0,3826.0,2595.0,2598.0,2600.0,2603.0,2606.0,2608.0,2611.0,1616.0,1618.0,1621.0,1659.0,1661.552,1664.015,1666.447,1669.0,1671.222,1673.565,1675.88,1678.166,1680.424,1682.654,1934.856,1937.032,1668.233,1635.098,1601.335,1687.823,1292.858,1189.57,1329.334,1269.1,970.144,784.399,601.225,513.79,317.21,878.388,885.271
