,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,1.19,,
total-current-assets,769.084,819.189,402.801,482.425,528.918,577.74,363.845,448.307,521.515,578.56,634.986,707.865,794.581,505.267,574.947,641.693,702.538,740.956,410.3845,245.828,279.0887,306.6483,138.9015,147.5645,158.354,163.464,105.7925,111.7782,38.15,,,18.9,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0
other-long-term-assets,17.689,19.28,20.623,9.223,9.238,8.908,7.961,16.376,16.873,16.844,16.4,17.814,5.821,6.377,6.658,4.018,4.002,3.517,3.727,2.469,1.8007,1.957,1.0822,1.0817,0.3466,0.2688,0.2687,0.2515,0.25,,,0.25,,
total-long-term-assets,33.01,33.78,35.457,26.742,28.035,27.174,29.973,36.04,38.911,37.185,33.034,31.388,17.686,18.907,18.428,14.065,14.209,12.9,11.2582,8.321,6.932,4.1205,2.9927,2.754,0.5373,0.405,0.4036,0.4004,0.25,,,2.06,,
total-assets,802.094,852.969,438.258,509.167,556.953,604.914,393.818,484.347,560.426,615.745,668.02,739.253,812.267,524.174,593.375,655.758,716.747,753.856,421.6427,254.149,286.0208,310.7688,141.8941,150.3186,158.8913,163.869,106.1961,112.1786,38.57,0.0,0.0,19.47,0.0,0.0
total-current-liabilities,139.974,125.234,108.341,114.205,88.417,88.703,79.446,104.034,87.589,87.571,72.68,78.512,54.527,102.155,99.252,47.373,32.183,23.788,18.1527,15.241,16.496,11.9205,287.1244,8.8814,7.5111,7.1645,9.6334,12.9641,6.04,,,4.03,,
long-term-debt,525.339,545.009,375.351,371.25,367.233,363.3,359.449,355.677,351.984,348.367,344.825,341.356,337.898,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,6.046,7.523,9.162,3.771,4.278,4.713,5.171,5.578,6.068,6.54,6.268,,,,,,,,,,,,,50.1121,51.0935,30.7029,25.6272,22.7621,5.94,,,5.83,,
total-long-term-liabilities,531.385,552.532,384.918,375.832,372.727,369.635,366.647,363.927,361.17,358.47,355.102,345.809,342.797,5.345,5.79,6.236,6.681,7.126,7.5719,8.017,8.4627,8.9081,8.5135,59.0311,60.4178,40.4326,35.7623,33.3027,16.88,,,17.99,,
total-liabilities,671.359,677.766,493.259,490.037,461.144,458.338,446.093,467.961,448.759,446.041,427.782,424.321,397.324,107.5,105.042,53.609,38.864,30.914,25.7246,23.258,24.9587,20.8286,295.6379,67.9125,67.9289,47.5971,45.3957,46.2667,22.93,0.0,0.0,22.03,,0.0
common-stock-net,0.033,0.033,0.03,0.03,0.03,0.029,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.024,0.024,0.024,0.0227,0.021,0.0213,0.0212,0.0196,0.0194,0.0193,0.019,0.0166,0.0165,0.003,0.0,0.0,0.0033,,0.0
retained-earnings-accumulated-deficit,-2025.308,-1940.475,-1869.055,-1778.785,-1690.78,-1626.326,-1551.133,-1469.543,-1358.271,-1285.67,-1199.106,-1108.46,-988.418,-899.603,-822.305,-695.63,-607.377,-556.481,-508.5878,-469.202,-434.3776,-398.5344,-443.6416,-185.9758,-173.6075,-141.8704,-128.3935,-118.1833,-87.49,,,-74.54,,
comprehensive-income,-1.07,-0.836,-1.169,-2.259,-1.646,-2.082,-0.643,-0.786,-0.632,-1.529,-2.182,-2.801,-2.924,-1.16,-1.126,-2.253,-1.504,-0.788,-0.2309,-0.284,-0.2031,-0.0331,0.0435,0.0599,0.0311,-0.1093,-0.2455,-0.0215,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-0.18,,0.0
total-share-holder-equity,130.735,175.203,-55.001,19.13,95.809,146.576,-52.275,16.386,111.667,169.704,240.238,314.932,414.943,416.674,488.333,602.149,677.883,722.942,395.9182,230.891,261.0621,289.9402,-153.7438,82.4061,90.9624,116.2719,60.8004,65.9119,15.63,0.0,0.0,-2.55,,0.0
total-liabilities-share-holders-equity,802.094,852.969,438.258,509.167,556.953,604.914,393.818,484.347,560.426,615.745,668.02,739.253,812.267,524.174,593.375,655.758,716.747,753.856,421.6427,254.149,286.0208,310.7688,141.8941,150.3186,158.8913,163.869,106.1961,112.1786,38.57,0.0,0.0,19.47,,0.0
