,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,336.794,313.73,313.258,382.11,355.776,327.166,268.716,300.133,310.205,240.923,201.862,445.082,372.438,400.615,383.721,377.397,394.063,367.315,354.787,346.764,329.744,315.847,303.847,296.891,260.845,243.983,233.56,226.159,204.292,193.491,183.585,159.985,119.092,120.812,106.827,93.357,81.896,83.074,84.914,108.135,123.385,144.653,132.817,111.789,117.395,108.584,99.135,95.643,102.596,110.276,119.132,116.918,105.501,100.467,95.855,86.742,78.123,64.301,96.077
notes-loans-receivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.124,1.11,1.153,1.178,1.198,2.832,2.636
inventory,343.715,329.955,321.747,311.163,291.84,288.95,295.548,288.657,320.341,401.312,445.684,49.264,50.953,49.919,49.24,43.632,40.681,38.231,37.66,36.933,38.248,37.819,36.687,34.451,34.153,36.281,36.54,36.333,37.587,36.535,37.29,40.423,43.363,49.372,51.198,44.056,43.625,41.158,37.556,41.327,44.942,24.752,21.696,17.93,19.156,20.611,21.275,19.504,17.7,15.746,16.176,16.315,19.371,18.549,16.664,15.435,13.532,16.248,7.373
other-current-assets,,,,,,,,12.489,12.489,2.508,2.508,,4.249,4.209,4.304,4.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,944.489,929.616,920.507,927.036,913.312,899.542,868.53,864.662,906.701,904.433,886.543,569.097,503.049,535.394,515.434,505.007,513.697,471.052,454.01,432.529,424.503,412.645,400.733,394.296,363.818,346.185,334.127,325.503,312.608,293.438,275.991,260.408,237.27,238.875,222.952,205.251,195.366,184.325,181.846,207.938,210.685,206.178,193.186,179.388,180.662,169.809,156.729,153.257,158.347,170.599,169.778,171.438,166.609,156.931,147.213,137.762,125.332,117.165,126.194
net-property-plant-equipment,444.087,436.92,432.938,432.641,424.897,415.727,407.582,398.684,390.526,374.59,377.756,85.696,80.588,79.704,74.635,74.32,78.768,81.376,82.288,86.091,88.532,91.899,90.379,87.861,88.897,88.989,86.994,85.937,83.641,82.175,83.183,83.048,86.718,87.561,85.863,83.545,83.777,80.548,82.748,77.449,74.486,70.482,68.787,69.897,73.067,74.077,73.677,72.708,71.325,68.725,63.961,59.037,56.901,57.602,53.666,52.194,52.488,53.881,40.614
long-term-investments,,2.017,2.021,2.025,2.922,5.947,9.896,14.579,15.14,,,,57.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.05,11.35,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,142.663,145.235,142.294,144.616,145.01,148.16,148.959,156.11,159.025,166.998,165.718,27.96,28.409,29.428,29.939,30.399,7.843,7.893,8.135,8.541,8.872,9.146,9.491,9.968,10.321,10.75,11.125,11.43,11.901,12.227,12.543,12.897,13.19,15.258,15.763,16.284,16.734,17.294,17.765,18.26,18.741,16.346,16.987,10.78,10.987,11.331,11.6,11.884,12.115,12.306,9.666,9.781,10.174,10.272,10.761,10.963,11.188,11.454,2.794
other-long-term-assets,83.303,80.984,82.115,40.419,38.693,37.384,37.702,38.141,35.192,29.679,31.823,,,,,,,,,,,,,,,,,,,,,,1.743,,,,,,,,0.532,0.057,,6.014,0.465,0.465,0.465,0.465,0.465,0.465,1.119,1.114,0.47,0.473,0.473,0.473,0.382,0.361,0.397
total-long-term-assets,693.295,693.301,692.764,658.355,631.863,626.8019,624.212,632.289,616.2731,582.864,586.493,135.591,185.65,127.985,120.523,121.818,96.531,99.185,100.334,108.573,103.213,106.872,105.699,105.347,104.863,105.377,103.755,103.009,100.299,99.153,100.493,100.704,106.237,107.454,106.243,104.393,105.057,102.349,105.055,101.215,99.764,92.89,100.829,104.046,89.056,90.41,90.279,89.337,88.769,86.36,79.61,72.81,69.861,70.96,67.78,66.775,66.759,68.678,47.11
