,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,204.893,196.876,189.468,173.303,179.684,176.487,179.039,164.318,176.749,169.693,172.183,158.034,168.468,175.688,183.759,188.833,192.405,184.5,173.37,160.342,156.007,145.4,141.134,133.427,145.987,140.938,148.242,140.946,147.474,143.703,141.104,133.099,137.143,133.934,127.054,127.885,131.555,122.032,122.384,110.425,124.488,122.924,123.575,115.926,112.907,106.182,99.878,98.804,96.273,91.551,106.373,95.996,93.242,85.54,81.229,69.369,80.206,81.765,78.481
other-current-assets,126.174,118.423,110.403,108.22,113.073,123.774,103.574,101.14,83.71,85.805,80.711,91.206,63.457,62.991,62.605,62.069,63.771,67.559,81.642,86.451,60.154,48.829,43.905,48.957,35.553,37.46,33.082,38.567,35.055,37.514,33.458,40.321,29.934,24.034,21.387,29.508,19.488,19.974,16.24,18.89,15.993,16.177,21.745,28.121,19.624,13.019,12.13,14.509,11.259,11.793,10.53,11.328,10.793,9.544,10.524,11.679,10.047,9.689,9.572
total-current-assets,703.382,712.298,697.646,654.172,704.197,739.832,701.707,971.985,942.722,918.658,878.588,845.584,828.1,821.11,809.006,821.634,833.396,833.034,808.909,759.398,702.621,701.707,683.166,652.706,625.223,614.902,594.395,569.537,570.774,555.307,544.866,524.227,510.752,493.571,465.441,460.591,429.911,410.552,398.369,376.338,385.727,384.337,367.783,355.89,353.377,339.064,322.366,305.663,293.749,282.468,296.756,302.263,291.894,271.794,280.959,299.245,299.676,307.331,286.344
net-property-plant-equipment,496.584,469.982,449.103,437.27,409.98,394.021,384.246,379.096,367.513,364.779,361.233,357.422,349.664,347.161,343.01,333.026,320.337,326.041,309.827,303.587,291.701,286.712,282.226,281.214,274.158,266.494,253.742,245.177,231.639,220.58,216.927,216.777,213.868,210.163,202.748,201.725,200.61,196.714,197.063,199.946,196.542,189.66,186.708,189.646,178.655,166.604,151.094,141.852,126.865,117.806,108.796,99.628,91.165,88.795,67.273,65.697,64.936,63.721,62.744
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,51.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.052,7.583,12.037
goodwill-intangible-assets-total,247.833,253.146,254.016,256.314,258.466,235.01,242.915,243.719,244.772,242.759,226.287,224.383,228.518,230.386,235.198,234.843,239.042,237.222,236.843,249.572,235.747,237.169,237.747,239.365,242.375,229.506,233.495,237.827,237.977,235.556,243.531,241.819,200.625,207.235,207.213,204.864,206.151,201.125,207.838,212.612,214.974,207.682,200.748,207.095,231.379,242.137,244.781,236.414,235.881,230.562,227.369,157.669,132.723,133.033,119.255,118.746,125.966,115.373,120.81
other-long-term-assets,303.682,288.811,280.203,189.593,171.887,151.822,140.624,118.616,114.327,110.941,105.983,103.315,94.088,90.584,91.433,85.49,84.435,81.073,75.435,71.654,60.563,57.605,59.185,57.231,53.482,53.169,,51.061,52.961,55.874,55.781,47.991,43.954,39.606,34.076,29.964,25.625,25.344,21.014,19.631,17.646,16.831,15.265,12.806,15.282,17.084,18.616,18.25,17.738,15.333,13.573,,9.19,7.756,7.755,6.988,,6.242,5.983
total-long-term-assets,1048.099,1011.939,983.322,883.177,840.333,780.853,767.785,741.431,726.6121,718.4789,693.5031,685.12,672.27,668.131,669.641,653.359,643.814,644.336,622.105,624.813,588.011,581.486,579.158,577.81,570.015,549.169,538.243,534.065,522.577,512.01,516.239,506.587,458.447,457.004,444.037,436.553,432.386,423.183,425.915,432.189,429.162,414.173,402.721,409.547,425.316,425.825,414.491,396.516,380.484,363.701,349.738,257.297,233.078,229.584,194.283,191.431,192.954,192.919,201.574
total-assets,1751.481,1724.237,1680.968,1537.349,1544.53,1520.685,1469.492,1713.416,1669.334,1637.137,1572.091,1530.704,1500.37,1489.241,1478.647,1474.993,1477.21,1477.37,1431.014,1384.211,1290.632,1283.193,1262.324,1230.516,1195.238,1164.071,1132.638,1103.602,1093.351,1067.317,1061.105,1030.814,969.199,950.575,909.478,897.144,862.297,833.735,824.284,808.527,814.889,798.51,770.504,765.437,778.693,764.889,736.857,702.179,674.233,646.169,646.494,559.56,524.972,501.378,475.242,490.676,492.63,500.25,487.918
