,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,3.11,2.35,
total-current-assets,286.974,272.304,267.122,272.127,257.26,228.652,554.686,588.714,625.325,645.934,660.641,685.854,813.788,865.658,850.128,844.008,848.583,891.903,864.969,219.808,,,,151.87,173.26,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,1451.875,1464.991,1478.108,1491.372,1499.777,1519.371,270.407,274.258,278.108,281.586,284.333,288.106,189.999,195.934,197.761,199.588,199.904,68.913,69.174,69.716,0.0,0.0,0.0,74.08,77.68,0.0
other-long-term-assets,64.926,67.065,48.35,16.158,22.915,17.034,10.474,6.338,5.706,5.277,3.854,2.964,2.846,3.962,3.94,4.25,4.136,1.645,1.941,2.083,,,,0.73,0.54,
total-long-term-assets,1656.216,1668.648,1664.74,1649.288,1659.753,1676.031,420.87,406.364,385.233,373.761,367.013,367.49,263.224,268.352,266.979,268.869,264.797,124.375,123.462,122.761,,,,155.48,139.63,
total-assets,1943.19,1940.952,1931.862,1921.415,1917.013,1904.683,975.556,995.078,1010.558,1019.695,1027.654,1053.344,1077.012,1134.01,1117.107,1112.877,1113.38,1016.278,988.431,342.569,0.0,0.0,0.0,269.74,285.65,0.0
total-current-liabilities,125.868,134.145,141.0,141.31,124.389,117.291,123.788,122.086,111.199,99.754,93.97,84.134,68.608,72.601,68.911,67.531,87.565,54.455,47.3,51.591,,,,21.31,36.32,
long-term-debt,992.392,993.028,979.554,953.441,955.4579,954.978,195.134,203.359,202.636,213.905,225.187,236.465,243.992,251.52,259.059,266.546,270.251,274.022,277.645,281.418,,,,0.27,0.16,
other-non-current-liabilities,55.512,48.54,37.145,33.406,19.444,20.029,2.111,,11.932,15.007,7.403,13.158,,,,,,,,,,,,,,
total-long-term-liabilities,1143.379,1140.673,1120.573,1097.516,1090.606,1093.469,220.007,230.22,247.269,262.135,268.281,285.633,279.785,291.596,297.585,306.19,308.913,288.657,294.771,299.2,,,,16.69,12.49,
total-liabilities,1269.247,1274.818,1261.573,1238.826,1214.995,1210.76,343.795,352.306,358.468,361.889,362.251,369.767,348.393,364.197,366.496,373.721,396.478,343.112,342.071,350.791,0.0,0.0,0.0,38.01,48.82,0.0
common-stock-net,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0
retained-earnings-accumulated-deficit,273.528,266.686,262.148,270.471,281.491,282.335,292.801,308.905,291.456,283.215,277.729,274.087,273.963,266.156,249.905,247.54,231.492,221.372,195.236,181.477,,,,124.18,129.05,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
total-share-holder-equity,673.943,666.134,670.289,682.589,702.018,693.923,631.761,642.772,652.09,657.806,665.403,683.577,728.619,769.813,750.611,739.156,716.902,673.166,646.36,-8.222,0.0,0.0,0.0,231.73,236.82,0.0
total-liabilities-share-holders-equity,1943.19,1940.952,1931.862,1921.415,1917.013,1904.683,975.556,995.078,1010.558,1019.695,1027.654,1053.344,1077.012,1134.01,1117.107,1112.877,1113.38,1016.278,988.431,342.569,0.0,0.0,0.0,269.74,285.65,0.0
