,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,98.8125,110.509,134.903,87.8148,93.6028,101.8408,123.8362,138.3622,154.5878,106.8776,106.7792,124.5972,140.2299,147.9696,160.6015,171.8509,184.0734,162.1415,87.3296,98.9471,104.6366,112.9436,121.6843,58.6836,57.8541,25.5367,30.3161,15.9679,16.9337,21.3172,26.9364,31.9071,32.7337,38.6067,42.483,22.8772,24.2722,27.3159,43.1225,44.5668,48.4307,24.2581,12.4248,15.2638,7.8998,9.2286,12.3691,29.0042,29.621,32.9854,20.4298,24.4719,9.1018,12.1386,15.2895,18.3209,6.1883,10.3266,12.9889
net-property-plant-equipment,13.5164,14.266,15.186,15.949,16.2282,16.869,17.4861,18.3202,18.4712,15.018,9.8035,9.0254,8.9907,8.7006,8.3933,7.3067,6.4589,5.4972,4.947,4.5832,4.6341,4.5495,3.0212,2.8865,2.2906,0.3481,0.3629,0.363,0.3915,0.4215,0.3553,0.2958,0.2889,0.3061,0.3043,0.2768,0.3408,0.3833,0.34,0.3435,0.382,0.4659,0.3089,0.3538,0.4036,0.4031,0.3781,0.4017,0.371,0.3859,0.4143,0.3908,0.4594,0.4711,0.5065,0.3756,0.4107,0.4053,0.4229
long-term-investments,7.9968,8.4826,8.6558,9.4059,12.6997,11.6823,13.7749,11.3945,11.4967,17.9521,17.4708,19.8296,25.2964,27.0262,27.4492,19.9932,25.4103,19.0362,10.2475,12.8908,9.5894,8.8114,10.7985,10.4829,11.4297,8.2013,10.2342,11.0709,8.8746,8.1276,8.9041,9.2716,10.149,8.3837,10.9909,11.3609,12.6515,10.0472,13.375,12.3308,17.771,14.2067,13.451,13.451,12.0578,12.4879,12.7207,,,,,,,,,,,,
goodwill-intangible-assets-total,14.4738,14.7404,15.007,15.2735,15.5401,15.8066,16.119,16.5231,16.9272,17.3312,17.7355,18.1418,18.5503,18.9627,13.8097,14.0192,14.2314,14.4468,14.666,14.8894,15.12,15.3547,15.5923,15.8322,16.27,16.7097,17.1548,17.6027,18.0531,18.5065,18.9632,19.4239,19.8866,20.3528,20.8219,21.2934,21.7683,22.2468,22.6009,23.0823,23.5668,24.0555,9.6321,9.7513,9.8383,9.8631,9.967,10.0871,10.5913,10.9817,11.0749,10.8049,10.3411,10.4155,10.1823,10.2824,9.3169,9.4174,9.4692
other-long-term-assets,16.7339,17.0753,17.4138,2.67,2.6257,2.7244,2.4486,2.6394,2.1972,1.6743,1.5252,2.1131,1.4821,1.3263,1.0348,0.6708,0.5976,0.5813,0.6652,0.4746,0.5525,0.4934,0.5613,0.4021,0.171,0.1971,0.1335,0.1342,0.2231,0.2231,0.1919,0.2083,0.2083,0.2083,0.2544,0.2591,0.2841,0.2841,0.2835,0.3055,0.2871,0.2871,0.1673,0.1673,0.282,0.282,0.282,0.282,0.282,,,0.282,,,,,,,
total-long-term-assets,52.7209,54.5643,56.2625,43.2984,47.0936,47.0823,49.8287,48.8771,49.0922,51.9756,46.5349,49.1099,54.3194,56.0158,50.6869,41.9899,46.6981,39.5615,30.5256,32.838,29.8959,29.209,29.9734,29.6036,30.1613,25.4562,27.8853,29.1708,27.5423,27.2787,28.4146,29.1995,30.5326,29.2508,32.3714,33.1902,35.0448,32.9615,36.5994,36.0621,42.0069,39.0152,23.5592,23.7233,22.5817,23.0361,23.3479,10.7709,11.2443,11.3676,11.4892,11.4777,10.8006,10.8866,10.6888,10.6581,9.7276,9.8228,9.8921
total-assets,151.5334,165.0733,191.1655,131.1133,140.6964,148.9231,173.6648,187.2393,203.68,158.8532,153.314,173.7072,194.5493,203.9854,211.2884,213.8409,230.7715,201.703,117.8552,131.7851,134.5325,142.1526,151.6576,88.2872,88.0154,50.9929,58.2014,45.1388,44.4761,48.5959,55.351,61.1066,63.2663,67.8576,74.8544,56.0674,59.317,60.2773,79.7219,80.6289,90.4376,63.2734,35.984,38.987,30.4815,32.2647,35.717,39.775,40.8653,44.353,31.9189,35.9496,19.9024,23.0252,25.9783,28.979,15.9159,20.1494,22.8809
total-current-liabilities,19.5469,24.0793,27.4151,35.2998,27.998,28.4063,51.3753,35.4054,33.3636,27.382,40.0026,43.823,41.3745,35.4947,33.3988,31.4664,18.2779,14.5198,8.1589,14.0853,8.9276,11.6037,15.6411,28.9665,20.4379,19.0713,15.9782,8.3766,11.2763,10.2308,13.015,11.043,9.7036,9.9413,14.184,6.4367,5.2248,5.672,17.6878,19.35,21.2463,20.0341,15.074,14.7096,4.4552,3.5467,2.8549,3.3545,3.1059,2.9729,2.7051,6.8597,2.7347,2.8576,3.2351,3.7164,3.7488,4.8489,5.3097
long-term-debt,91.0278,84.2409,82.5534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
