,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,19.375,18.505,11.057,8.582,8.378,9.067,9.06,9.982,8.451,6.504,6.801,7.489,9.319,7.668,6.52,6.899,6.583,6.782,6.839,6.29,7.085,7.776,7.537,8.033,7.385,8.309,5.809,6.121,6.737,7.108,4.873,4.139,2.915,2.249,2.606,2.484,1.996,2.794,2.601,2.768,2.817,2.779,2.591,2.718,5.511,4.699,3.7,1.762,1.93,1.51,1.093,0.861,0.632,0.886,0.749,0.951,0.917,1.071,2.722
other-current-assets,118.809,102.071,98.686,102.473,97.125,76.994,62.064,73.082,48.93,51.531,25.933,17.177,15.236,17.25,17.403,14.773,29.066,29.868,13.154,15.691,8.353,8.567,9.814,7.518,7.372,5.786,8.074,8.727,7.8,5.724,7.417,5.415,7.553,7.613,7.376,7.058,6.309,7.023,6.791,8.147,8.004,6.439,6.514,5.085,6.988,7.113,6.378,9.532,4.229,4.238,7.363,9.614,6.461,6.83,7.918,6.6,7.459,7.26,8.574
total-current-assets,2408.091,2414.222,2373.949,2207.886,2079.224,2083.272,1143.283,1168.734,1111.113,964.359,962.372,797.932,730.329,697.971,763.91,837.003,868.261,855.452,835.427,836.597,681.163,705.797,722.053,735.51,763.304,669.061,431.829,423.438,361.586,350.419,347.613,360.139,377.089,410.72,437.395,483.137,507.55,536.885,530.415,596.126,619.247,647.512,663.692,518.384,529.543,555.18,352.851,209.874,161.387,210.777,296.067,206.203,136.923,148.274,90.731,105.858,114.242,72.367,96.991
net-property-plant-equipment,148.717,135.349,133.519,132.16,132.003,127.94,123.188,121.907,116.624,99.677,95.439,92.845,90.97,90.602,90.365,90.233,89.243,89.692,89.047,88.958,88.068,86.321,86.641,86.198,87.273,88.312,89.694,91.084,92.598,94.008,95.132,96.615,98.019,88.01,37.68,35.703,35.549,36.071,36.171,27.338,26.911,26.636,24.183,17.371,14.019,10.494,8.274,5.96,6.583,6.89,7.042,7.157,7.227,7.563,8.208,9.13,10.181,22.837,26.665
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.125,2.125,6.754,,5.099,3.296,3.304
goodwill-intangible-assets-total,26.985,26.056,25.22,24.032,24.027,23.452,22.914,22.004,21.908,21.362,21.175,20.365,20.929,21.152,20.144,19.316,20.774,20.813,20.136,17.186,20.039,20.36,20.484,20.089,25.858,25.677,25.614,25.225,25.371,25.507,25.492,25.295,27.556,27.573,27.469,28.109,29.101,29.606,29.926,30.451,30.979,31.423,32.892,33.121,35.573,36.496,36.906,35.53,37.289,37.643,37.888,38.271,39.06,41.29,42.061,42.543,44.501,44.806,45.266
other-long-term-assets,26.199,25.778,25.954,12.91,12.659,12.651,10.175,10.129,2.916,5.433,5.01,1.325,1.358,1.384,1.4,1.348,9.727,10.301,10.823,13.068,4.533,5.299,5.438,5.359,5.481,5.601,5.824,5.939,6.126,2.46,2.57,2.845,3.121,3.269,3.398,3.528,3.658,3.789,3.211,3.269,3.441,3.59,3.739,3.9,5.557,7.229,7.393,7.494,7.744,7.945,8.907,4.276,2.433,2.667,2.883,8.842,3.359,3.22,3.422
total-long-term-assets,486.898,463.543,461.94,459.898,168.689,164.043,156.277,154.04,141.448,126.472,121.624,114.535,113.257,113.138,111.909,110.897,119.744,120.806,120.006,119.212,112.64,111.98,112.563,111.646,118.612,119.59,121.132,122.248,124.095,121.975,123.194,124.755,128.696,118.852,68.547,67.34,68.308,69.466,69.308,61.058,61.331,61.649,60.814,54.392,55.149,54.219,52.573,48.984,51.616,52.478,53.837,49.704,50.845,53.645,59.906,60.515,63.14,74.159,78.657
total-assets,2894.989,2877.765,2835.889,2667.784,2247.913,2247.315,1299.56,1322.774,1252.561,1090.831,1083.996,912.467,843.586,811.109,875.819,947.9,988.005,976.258,955.433,955.809,793.803,817.777,834.616,847.156,881.916,788.651,552.961,545.686,485.681,472.394,470.807,484.894,505.785,529.572,505.942,550.477,575.858,606.351,599.723,657.184,680.578,709.161,724.506,572.776,584.692,609.399,405.424,258.858,213.003,263.255,349.904,255.907,187.768,201.919,150.637,166.373,177.382,146.526,175.648
total-current-liabilities,231.777,241.213,252.473,280.294,260.238,248.619,212.643,243.612,177.647,191.76,170.58,133.784,106.892,111.081,124.495,148.876,122.198,102.132,100.288,115.332,107.325,100.816,100.836,97.812,103.278,86.995,70.295,74.322,51.601,55.063,61.707,76.112,83.542,91.98,94.399,105.89,100.916,105.214,92.095,111.444,114.719,127.861,136.46,124.699,117.683,127.111,80.26,62.205,29.966,25.178,101.941,25.139,19.436,20.281,20.845,23.793,23.905,26.053,36.062
long-term-debt,656.251,662.766,653.58,628.057,624.147,624.674,614.37,605.856,597.59,531.634,523.454,515.561,422.902,404.093,397.827,523.676,399.202,393.71,388.363,383.169,159.476,158.21,157.528,156.876,155.089,154.481,152.031,151.392,150.904,155.534,147.32,145.573,143.963,142.538,139.902,138.615,135.186,134.527,131.46,136.578,135.797,132.107,131.083,127.931,167.978,167.915,162.891,162.862,164.722,166.553,168.389,132.822,134.736,136.173,137.942,139.915,141.845,244.432,243.358
other-non-current-liabilities,16.016,,,4.914,,,,,,51.023,72.397,72.359,72.322,72.286,72.251,72.217,72.091,71.968,71.848,71.731,71.616,71.504,71.395,71.288,71.097,70.91,70.728,70.55,75.938,75.768,75.439,74.301,72.04,61.481,11.873,11.017,15.147,14.217,10.274,,,,,,,,,,,,,,,,,,7.5,,
total-long-term-liabilities,1165.246,1179.35,1195.996,1200.33,1147.531,1181.26,699.816,713.882,677.246,683.5,711.61,679.118,597.0551,588.815,593.162,598.234,620.393,573.806,579.294,582.697,341.706,350.101,359.678,370.954,377.192,300.575,281.575,288.598,263.803,263.017,258.228,237.348,235.418,225.375,183.84,200.045,221.233,238.908,223.191,243.675,261.034,275.483,285.376,300.697,398.931,423.265,270.543,195.781,182.805,190.793,191.065,162.205,166.755,174.925,137.942,139.915,149.437,244.662,243.736
