,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,
inventory,2.774,2.504,2.062,2.32,2.168,1.857,1.683,1.314,1.231,1.156,1.39,1.672,1.456,,,,,0.81
other-current-assets,,,,,,,,,,,,,,,,,,0.24
total-current-assets,94.974,93.308,106.482,106.731,109.656,111.542,119.581,122.788,123.817,106.597,118.608,17.845,20.575,,,,,15.53
net-property-plant-equipment,12.618,10.208,9.158,8.25,7.56,6.86,6.221,6.207,6.166,5.529,4.653,3.363,2.669,,,,,1.99
long-term-investments,,,,,,,2.994,,,16.429,10.981,,,,,,,
goodwill-intangible-assets-total,0.862,0.862,0.862,0.862,0.862,0.862,0.862,0.862,0.862,0.862,0.862,0.862,0.862,0.0,,0.0,0.0,0.86
other-long-term-assets,98.841,12.806,3.208,3.146,2.84,3.057,3.465,3.798,3.531,3.384,3.052,5.31,4.621,,,,,1.36
total-long-term-assets,112.321,23.876,13.228,12.258,11.262,10.779,13.542,10.867,10.559,26.204,19.548,9.535,8.152,,,,,4.21
total-assets,207.295,117.184,119.71,118.989,120.918,122.321,133.123,133.655,134.376,132.801,138.156,27.38,28.727,0.0,0.0,0.0,0.0,18.5
total-current-liabilities,35.654,28.549,30.236,22.263,19.655,16.938,20.918,16.044,15.196,10.677,13.215,9.325,8.032,,,,,4.86
long-term-debt,123.033,38.912,34.899,32.554,32.574,32.533,32.491,32.053,31.614,32.652,32.227,31.796,31.375,,,,,6.25
other-non-current-liabilities,,,,,,,,,,0.134,0.126,0.119,0.111,,,,,0.13
total-long-term-liabilities,123.033,38.912,35.052,32.768,32.796,32.76,32.652,32.222,31.754,32.812,32.379,35.887,34.86,,,,,9.17
total-liabilities,158.687,67.461,65.288,55.031,52.451,49.698,53.57,48.266,46.95,43.489,45.594,45.212,42.892,0.0,,0.0,0.0,14.03
common-stock-net,0.023,0.024,0.023,0.023,0.023,0.023,0.023,0.028,0.027,0.027,0.022,0.001,0.002,0.0,,0.0,0.0,0.001
retained-earnings-accumulated-deficit,-223.001,-211.534,-203.515,-188.801,-178.557,-166.352,-156.589,-145.44,-138.916,-132.472,-127.169,-120.903,-116.828,,,,,-83.46
comprehensive-income,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,48.608,49.723,54.422,63.958,68.467,72.623,79.553,85.389,87.426,89.312,92.562,-17.832,-14.165,0.0,,0.0,0.0,4.47
total-liabilities-share-holders-equity,207.295,117.184,119.71,118.989,120.918,122.321,133.123,133.655,134.376,132.801,138.156,27.38,28.727,0.0,,0.0,0.0,18.5
