,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,2.298,1.735,0.593,,0.076,1.099,1.705,0.735,0.479,,1.513,1.081,,,,,,,4.95,4.954,13.045,12.989,23.413,22.145,20.561,20.379,19.704,6.699,0.965,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,11.19,
total-current-assets,257.638,220.985,201.832,266.435,248.548,279.542,275.727,311.596,314.053,341.487,357.853,380.181,382.804,386.142,495.701,500.205,505.779,526.959,263.876,288.307,304.081,325.76,371.305,229.128,275.826,335.78,275.634,184.44,202.347,166.083,206.265,167.567,178.766,208.382,229.052,259.075,263.282,282.159,306.398,131.448,117.796,,,105.73,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,0.785,0.785,0.785,0.785,0.785,153.738,157.214,160.69,164.166,166.063,166.484,166.904,183.371,186.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,32.141,87.286,141.904,47.535,151.158,168.603,121.31,116.114,129.692,179.675,158.349,142.224,146.961,109.543,88.178,97.841,84.464,101.965,14.175,11.189,11.672,11.744,12.042,12.458,12.786,13.238,13.359,7.93,7.701,7.721,7.771,7.785,7.839,7.861,7.898,7.921,7.964,10.808,8.192,8.153,8.448,,,8.04,
total-long-term-assets,76.705,94.736,161.706,65.615,168.104,338.676,295.368,294.078,311.033,363.592,343.466,329.64,349.174,314.066,107.624,118.916,107.647,126.982,41.652,41.015,42.087,45.304,47.566,49.834,50.017,48.251,49.459,45.467,44.171,42.58,42.911,41.41,40.714,41.345,42.972,42.29,41.25,39.925,31.732,31.003,31.851,,,43.03,
total-assets,334.343,315.721,363.538,332.05,416.652,618.218,571.095,605.674,625.086,705.079,701.319,709.821,731.978,700.208,603.325,619.121,613.426,653.941,305.528,329.322,346.168,371.064,418.871,278.962,325.843,384.031,325.093,229.907,246.518,208.663,249.176,208.977,219.48,249.727,272.024,301.365,304.532,322.084,338.13,162.451,149.647,0.0,0.0,138.37,0.0
total-current-liabilities,52.795,110.861,118.569,119.524,112.582,94.984,62.336,66.027,64.489,79.973,78.893,91.131,95.305,90.999,78.113,76.465,67.78,62.099,59.813,60.541,54.057,41.626,38.5,41.04,39.701,43.966,62.682,54.938,35.577,49.121,52.283,65.134,70.848,70.844,60.532,64.426,55.849,57.201,54.984,56.437,51.139,,,36.8,
long-term-debt,425.335,371.41,440.037,366.296,369.944,379.82,388.373,396.091,391.929,387.86,383.909,366.574,362.802,339.409,348.833,353.89,360.257,364.044,160.427,160.718,168.26,171.297,173.154,177.806,178.077,174.826,174.855,0.308,0.361,0.364,0.435,0.422,0.481,0.54,0.598,0.393,0.429,1.715,1.603,0.939,2.072,,,1.05,
other-non-current-liabilities,9.26,52.817,42.111,36.293,125.308,181.307,132.578,128.259,181.763,228.861,206.326,184.843,211.923,184.01,78.313,85.448,73.621,73.301,,,,,,1.653,1.653,1.653,0.909,0.992,,,,,,0.703,,,,,,,,,,48.2,
total-long-term-liabilities,434.595,424.227,482.148,408.897,501.365,567.185,526.811,529.799,578.176,620.236,592.789,551.974,577.215,527.828,434.277,447.531,445.188,451.559,177.553,180.229,183.961,187.607,191.428,199.697,201.933,200.649,203.888,30.917,28.833,30.761,32.747,33.987,35.702,48.766,66.907,77.388,80.616,91.333,94.344,404.354,374.35,,,331.96,
total-liabilities,487.39,535.088,600.717,528.421,613.947,662.169,589.147,595.826,642.665,700.209,671.682,643.105,672.52,618.827,512.39,523.996,512.968,513.658,237.366,240.77,238.018,229.233,229.928,240.737,241.634,244.615,266.57,85.855,64.41,79.882,85.03,99.121,106.55,119.61,127.439,141.814,136.465,148.534,149.328,460.791,425.489,0.0,0.0,368.78,0.0
common-stock-net,0.157,0.156,0.156,0.154,0.154,0.153,0.152,0.151,0.149,0.15,0.149,0.148,0.146,0.145,0.144,0.143,0.143,0.142,0.142,0.141,0.14,0.138,0.138,0.121,0.121,0.121,0.109,0.108,0.108,0.108,0.107,0.101,0.101,0.1,0.1,0.099,0.099,0.098,0.098,0.008,0.008,0.0,0.0,0.007,0.0
retained-earnings-accumulated-deficit,-1620.09,-1640.738,-1650.412,-1591.128,-1575.635,-1401.284,-1351.904,-1308.76,-1320.845,-1288.548,-1244.324,-1191.823,-1178.318,-1145.114,-1123.412,-1110.115,-1096.078,-1048.688,-1000.668,-967.446,-929.799,-887.811,-827.454,-777.828,-725.842,-664.067,-598.918,-505.016,-461.161,-508.796,-467.993,-432.392,-425.418,-404.785,-385.941,-367.54,-355.889,-347.619,-330.483,-314.559,-290.629,,,-243.37,
comprehensive-income,,,,,-0.009,-0.044,-0.091,-0.079,-0.006,-0.024,-0.041,-0.007,0.061,0.039,0.029,-0.086,0.048,0.022,0.003,-0.019,0.025,0.003,-0.012,0.002,0.019,-0.001,0.012,0.005,0.007,-0.009,0.003,0.006,0.006,0.053,0.052,0.001,0.048,0.044,-0.099,,0.002,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.36,0.0
total-share-holder-equity,-153.047,-219.367,-237.179,-196.371,-197.295,-43.951,-18.052,9.848,-17.579,4.87,29.637,66.716,59.458,81.381,90.935,95.125,100.458,140.283,68.162,88.552,108.15,141.831,188.943,38.225,84.209,139.416,58.523,144.052,182.108,128.781,164.146,109.856,112.93,130.117,144.585,159.551,168.067,173.55,188.802,-298.34,-275.842,0.0,0.0,-230.41,0.0
total-liabilities-share-holders-equity,334.343,315.721,363.538,332.05,416.652,618.218,571.095,605.674,625.086,705.079,701.319,709.821,731.978,700.208,603.325,619.121,613.426,653.941,305.528,329.322,346.168,371.064,418.871,278.962,325.843,384.031,325.093,229.907,246.518,208.663,249.176,208.977,219.48,249.727,272.024,301.365,304.532,322.084,338.13,162.451,149.647,0.0,0.0,140.72,0.0
