,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,122.501,123.721,130.437,128.123,141.764,136.606,132.038,121.933,143.775,153.418,144.758,135.644,146.707,147.515,143.814,126.403,147.059,153.773,150.975,155.561,162.733,165.013,165.343,155.637,167.368,174.607,187.697,183.246,221.619,217.278,214.155,168.72,201.857,188.812,183.254,174.375,182.597,170.955,173.897,172.222,183.426,180.135,181.498,178.737,208.439,213.14,208.586,195.604,204.626,197.144,206.555,201.756,200.394,189.494,181.007,176.925,194.579,183.504,183.585
other-current-assets,33.178,34.05,35.56,31.063,32.324,32.841,33.966,31.504,31.345,31.31,34.835,31.519,31.597,34.671,37.06,46.081,31.128,50.159,39.567,54.186,37.261,38.601,39.036,41.172,33.83,36.645,40.56,144.933,45.54,45.944,46.096,106.444,41.303,49.534,43.137,41.581,48.308,43.707,48.594,51.772,47.398,45.617,59.219,52.004,59.1,66.229,65.575,62.348,59.916,70.478,76.493,89.394,66.525,65.39,45.976,63.329,50.822,42.634,47.382
total-current-assets,356.777,367.977,376.613,397.41,409.143,417.21,445.273,456.914,459.356,471.015,380.688,409.072,443.611,457.12,468.211,362.299,357.361,386.903,377.894,405.987,405.025,418.415,416.862,419.539,426.847,441.022,455.008,567.949,555.205,546.187,553.858,528.77,556.254,557.258,521.592,526.159,522.316,500.433,500.916,528.464,524.314,546.64,538.689,551.058,606.2,633.819,600.797,591.085,621.327,591.102,610.289,655.758,591.653,573.499,562.308,594.466,558.122,540.449,551.895
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,396.418,403.112,410.564,407.779,419.523,422.871,440.678,431.527,432.173,410.331,389.232,389.625,409.153,410.75,402.228,392.68,415.355,409.353,420.746,459.032,493.924,522.33,529.378,524.81,515.832,526.466,531.462,533.852,546.064,540.165,575.672,556.851,660.991,625.775,605.674,577.994,567.259,548.228,591.44,641.398,620.391,611.054,553.72,559.452,631.627,675.504,664.775,647.919,609.893,607.379,593.702,593.305,867.29,868.607,829.731,828.99,851.433,836.518,826.878
other-long-term-assets,50.614,52.242,72.709,34.682,57.941,113.139,101.964,97.576,87.099,60.279,23.38,29.687,20.813,27.371,33.663,4.659,6.3,6.544,6.435,19.053,32.001,39.489,46.03,45.936,40.327,42.467,42.653,42.262,41.824,42.507,42.834,67.093,43.957,45.173,45.343,45.484,42.925,43.702,46.492,48.006,57.521,58.485,58.929,60.451,67.126,72.894,86.521,91.662,84.364,84.888,85.871,67.443,67.209,59.196,47.879,47.11,46.626,48.986,46.455
total-long-term-assets,490.628,499.606,528.533,488.445,553.715,612.7,622.009,609.119,596.0179,547.217,488.062,494.671,507.012,515.422,513.5161,475.844,507.988,504.127,507.608,557.744,619.406,661.405,679.153,676.895,664.55,681.375,690.181,694.345,710.521,705.392,746.691,752.2841,839.6641,804.985,782.349,754.241,740.2209,722.119,772.84,831.037,817.485,810.732,749.187,763.415,857.625,917.912,922.526,908.957,860.875,859.758,848.4081,834.693,1108.623,1103.357,1050.286,1052.306,1078.805,1066.521,1065.305
total-assets,847.405,867.583,905.146,885.855,962.858,1029.91,1067.282,1066.033,1055.374,1018.232,868.75,903.743,950.623,972.542,981.727,838.143,865.349,891.03,885.502,963.731,1024.431,1079.82,1096.015,1096.434,1091.397,1122.397,1145.189,1262.294,1265.726,1251.579,1300.549,1281.054,1395.918,1362.243,1303.941,1280.4,1262.537,1222.552,1273.756,1359.501,1341.799,1357.372,1287.876,1314.473,1463.825,1551.731,1523.323,1500.042,1482.202,1450.86,1458.697,1490.451,1700.276,1676.856,1612.594,1646.772,1636.927,1606.97,1617.2
total-current-liabilities,202.199,193.854,190.921,198.208,199.623,198.76,212.34,218.064,201.354,207.581,209.477,220.861,224.596,233.162,235.294,247.644,248.218,263.659,273.317,290.232,289.857,267.839,269.821,276.165,256.658,258.744,262.739,299.735,279.621,280.54,293.486,287.939,297.798,304.746,278.839,290.308,286.623,280.291,264.496,290.327,268.545,268.136,289.597,284.998,295.399,355.021,337.439,326.611,303.217,279.605,275.795,447.976,398.05,358.858,328.963,356.707,344.342,237.807,225.005
long-term-debt,262.284,274.592,272.501,253.535,250.414,247.326,244.366,241.405,238.912,235.742,147.288,146.088,158.074,156.485,155.099,45.092,45.786,45.96,22.066,19.372,23.907,53.66,47.194,31.184,54.775,113.274,113.324,229.375,250.449,258.365,260.276,260.44,294.79,247.297,242.016,238.09,246.368,261.469,261.784,272.234,320.696,376.993,379.441,407.707,504.178,486.3,498.721,513.342,565.004,565.721,596.741,448.883,392.909,423.897,440.832,457.753,449.016,552.76,552.99
other-non-current-liabilities,67.443,67.211,91.182,74.965,142.889,198.644,187.904,183.27,179.083,149.288,104.825,114.407,102.947,110.369,116.51,82.589,80.484,88.501,83.196,88.805,103.14,114.939,119.089,118.276,114.773,112.916,112.058,112.195,120.514,116.726,109.706,106.15,108.01,107.255,105.114,99.591,94.994,93.834,94.076,95.703,95.076,94.201,89.45,88.826,104.784,107.617,107.469,106.046,109.803,116.528,114.461,107.223,89.78,88.461,83.153,79.624,76.377,75.257,74.285
total-long-term-liabilities,329.727,341.803,363.683,328.5,393.303,445.97,432.27,424.675,417.995,385.03,252.113,260.495,261.021,266.854,271.609,127.681,126.27,134.461,105.262,108.177,127.047,168.599,166.283,149.46,169.548,226.19,225.382,341.57,370.963,375.091,369.982,366.59,402.8,354.552,347.13,337.681,341.362,355.303,355.86,367.937,415.772,471.194,468.891,496.533,608.962,593.917,606.19,619.388,674.807,682.249,711.202,556.106,482.689,512.358,523.985,537.377,525.393,628.017,627.275
total-liabilities,531.926,535.657,554.604,526.708,592.926,644.73,644.61,642.739,619.349,592.611,461.59,481.356,485.617,500.016,506.903,375.325,374.488,398.12,378.579,398.409,416.904,436.438,436.104,425.625,426.206,484.934,488.121,641.305,650.584,655.631,663.468,654.529,700.598,659.298,625.969,627.989,627.985,635.594,620.356,658.264,684.317,739.33,758.488,781.531,904.361,948.938,943.629,945.999,978.024,961.854,986.997,1004.082,880.739,871.216,852.948,894.084,869.735,865.824,852.28
common-stock-net,9.59,9.59,9.59,9.421,9.42,9.419,9.397,9.306,9.283,9.275,9.247,9.157,9.151,9.15,9.149,8.999,8.99,8.967,8.924,8.863,8.856,8.85,8.848,8.811,8.803,8.803,8.803,8.775,8.772,8.743,8.743,8.743,8.742,8.717,8.695,8.673,8.647,8.623,8.622,8.551,8.509,8.398,8.397,8.397,8.374,8.374,8.373,8.312,8.291,8.291,8.291,8.291,8.267,8.266,8.259,8.203,8.195,8.184,8.135
retained-earnings-accumulated-deficit,106.569,115.025,128.153,142.447,144.102,156.54,173.488,187.999,206.065,225.063,248.967,266.144,284.179,289.597,301.567,310.583,313.911,322.097,330.712,338.362,348.143,363.636,377.644,396.016,402.181,386.475,399.33,364.546,372.237,369.77,372.136,364.3,399.725,387.322,377.055,370.001,363.104,347.909,348.925,346.272,329.031,315.956,308.695,306.698,296.156,284.895,279.038,276.344,269.743,258.502,258.845,276.75,616.686,607.39,602.835,598.025,591.338,576.419,563.905
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-share-holder-equity,315.479,331.926,350.542,359.147,369.932,385.18,422.672,423.294,436.025,425.621,407.16,422.387,465.006,472.526,474.824,462.818,490.861,492.91,506.923,565.322,607.527,643.382,659.911,670.809,665.191,637.463,657.068,620.989,615.142,595.948,637.081,626.525,695.32,702.945,677.972,652.411,634.552,586.958,653.4,701.237,657.482,618.042,529.388,532.942,559.464,602.793,579.694,554.043,504.178,489.006,471.7,486.369,819.537,805.64,759.646,752.688,767.192,741.146,764.92
