,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,9173.0,9263.0,9086.0,8599.0,8678.0,8810.0,9014.0,8765.0,9521.0,9699.0,8878.0,8144.0,8488.0,8523.0,8170.0,8053.0,8206.0,8298.0,8085.0,8184.0,8419.0,8155.0,8009.0,7878.0,8124.0,7822.0,7691.0,7495.0,7809.0,7697.0,6800.0,6285.0,6428.0,6413.0,6200.0,5378.0,5409.0,5071.0,5308.0,5180.0,5568.0,5472.0,5359.0,5052.0,5473.0,5700.0,5575.0,5110.0,5414.0,5155.0,5047.0,4889.0,4449.0,4313.0,4240.0,3959.0,4015.0,3963.0,3814.0
other-current-assets,194.0,194.0,851.0,950.0,2208.0,1809.0,1743.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,44333.0,41799.0,41987.0,46033.0,47194.0,45438.0,42768.0,43088.0,41829.0,38789.0,63347.0,65032.0,63319.0,66291.0,62738.0,60210.0,63494.0,61001.0,58192.0,55744.0,59973.0,60119.0,57369.0,56407.0,52176.0,51273.0,47228.0,46116.0,44791.0,41615.0,57007.0,54316.0,53443.0,52673.0,49221.0,47307.0,42717.0,39023.0,38861.0,39541.0,35602.0,35494.0,34839.0,34377.0,36590.0,35817.0,33818.0,29945.0,28941.0,25804.0,24673.0,22975.0,31286.0,31514.0,33752.0,31480.0,30576.0,28720.0,28766.0
net-property-plant-equipment,17048.0,17248.0,17000.0,17035.0,16629.0,16632.0,17040.0,17005.0,16628.0,16458.0,16191.0,15912.0,16095.0,15972.0,15964.0,15905.0,15551.0,15583.0,15364.0,16126.0,15804.0,16155.0,15996.0,16710.0,16127.0,15794.0,15721.0,16097.0,15845.0,15622.0,14824.0,14739.0,14635.0,14974.0,15084.0,14553.0,14360.0,13881.0,14277.0,14759.0,14815.0,14502.0,14253.0,14365.0,14355.0,14627.0,14486.0,14185.0,13613.0,13385.0,13180.0,13044.0,11462.0,11287.0,10951.0,10830.0,10227.0,10091.0,10237.0
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,18.0,17.0,,2.0,3.0,3.0,2.0,8.0,17.0,14.0,16.0,16.0,21.0,20.0,20.0,44.0,49.0,48.0
goodwill-intangible-assets-total,81137.0,82993.0,78348.0,78064.0,79339.0,80402.0,83514.0,85134.0,85877.0,86176.0,54310.0,49681.0,50813.0,47798.0,47688.0,47393.0,47267.0,48510.0,48370.0,49054.0,47940.0,49111.0,49821.0,50745.0,51319.0,50041.0,50358.0,51176.0,50567.0,50611.0,34496.0,34276.0,34274.0,34621.0,34813.0,32010.0,32443.0,31087.0,31776.0,31185.0,31653.0,28872.0,28923.0,27695.0,28571.0,29201.0,29433.0,28763.0,29508.0,29166.0,29231.0,28688.0,13331.0,13274.0,12898.0,12175.0,12086.0,12195.0,11818.0
other-long-term-assets,5307.0,5430.0,5159.0,4182.0,4465.0,4421.0,4518.0,4971.0,5021.0,5273.0,4690.0,4435.0,4245.0,3977.0,4163.0,4413.0,3804.0,3855.0,3605.0,3232.0,5033.0,6435.0,6459.0,4949.0,2715.0,2477.0,3723.0,3417.0,3521.0,3891.0,3956.0,3773.0,3905.0,4193.0,3705.0,3942.0,3552.0,3200.0,3622.0,3690.0,3581.0,2682.0,2589.0,2634.0,3015.0,3043.0,3126.0,3170.0,2787.0,2736.0,2695.0,2623.0,3278.0,3211.0,3243.0,3221.0,2983.0,3135.0,3222.0
total-long-term-assets,111188.0,113318.0,108040.0,106921.0,108509.0,109927.0,113857.0,114215.0,113829.0,114018.0,81571.0,76176.0,77050.0,73523.0,73493.0,73201.0,69772.0,71035.0,70398.0,74614.0,72124.0,75081.0,75961.0,76276.0,74757.0,73052.0,74308.0,75231.0,74160.0,74135.0,59187.0,59328.0,58378.0,59441.0,58929.0,55601.0,55530.0,53277.0,54580.0,55141.0,55956.0,51944.0,51261.0,50535.0,51134.0,52296.0,52177.0,51009.0,49724.0,48879.0,48393.0,47581.0,29952.0,29476.0,28381.0,27384.0,25998.0,25833.0,25680.0
total-assets,155521.0,155117.0,150027.0,152954.0,155703.0,155365.0,156625.0,157303.0,155658.0,152807.0,144918.0,141208.0,140369.0,139814.0,136231.0,133411.0,133266.0,132036.0,128590.0,130358.0,132097.0,135200.0,133330.0,132683.0,126933.0,124325.0,121536.0,121347.0,118951.0,115750.0,116194.0,113644.0,111821.0,112114.0,108150.0,102908.0,98247.0,92300.0,93441.0,94682.0,91558.0,87438.0,86100.0,84912.0,87724.0,88113.0,85995.0,80954.0,78665.0,74683.0,73066.0,70556.0,61238.0,60990.0,62133.0,58864.0,56574.0,54553.0,54446.0
total-current-liabilities,35162.0,31353.0,29111.0,31230.0,27437.0,27488.0,27081.0,30537.0,31806.0,28872.0,25119.0,26287.0,23230.0,21536.0,22134.0,27747.0,25260.0,24512.0,23836.0,25031.0,22982.0,24359.0,23840.0,25675.0,25835.0,23767.0,22524.0,24262.0,23935.0,23848.0,21198.0,22811.0,21686.0,20985.0,24011.0,23072.0,17414.0,17164.0,18499.0,21731.0,19245.0,19886.0,21325.0,20852.0,22730.0,21780.0,22071.0,19837.0,19328.0,18983.0,19663.0,19161.0,12063.0,12189.0,13192.0,12635.0,12047.0,11640.0,12981.0
long-term-debt,26919.0,27699.0,27660.0,27684.0,29480.0,29405.0,29837.0,30675.0,26675.0,27363.0,27015.0,22442.0,23546.0,24535.0,20233.0,12857.0,14073.0,14085.0,14938.0,15122.0,13152.0,13303.0,13343.0,13328.0,9748.0,9643.0,11363.0,11489.0,11428.0,11525.0,13010.0,12969.0,13031.0,13680.0,9255.0,9156.0,9182.0,7937.0,8059.0,8223.0,8259.0,8179.0,8052.0,8120.0,8395.0,8770.0,7166.0,7074.0,4633.0,2013.0,2012.0,2014.0,2007.0,1981.0,1980.0,2017.0,2139.0,2329.0,2459.0
other-non-current-liabilities,18874.0,17645.0,17002.0,16831.0,17075.0,17928.0,18329.0,17489.0,9102.0,10117.0,9526.0,9536.0,9414.0,10062.0,9749.0,10241.0,9303.0,8973.0,8604.0,8034.0,7758.0,7373.0,7271.0,7854.0,8895.0,8569.0,8197.0,8552.0,9207.0,9487.0,10538.0,10631.0,7473.0,7227.0,7001.0,6567.0,6226.0,6359.0,6043.0,5947.0,5054.0,4275.0,4148.0,4206.0,3948.0,4102.0,4134.0,3829.0,3663.0,3550.0,3428.0,3160.0,2673.0,2300.0,2260.0,2226.0,2077.0,2061.0,2061.0
total-long-term-liabilities,62149.0,62979.0,61961.0,61972.0,63640.0,64988.0,66289.0,66606.0,49873.0,52013.0,49458.0,44503.0,44370.0,45805.0,41450.0,34514.0,36452.0,36393.0,36876.0,35575.0,32524.0,32793.0,32908.0,32955.0,31294.0,30893.0,32157.0,32259.0,31255.0,31468.0,33630.0,33753.0,28608.0,28997.0,24276.0,23257.0,23542.0,22285.0,22028.0,22363.0,21929.0,21305.0,20984.0,21549.0,19260.0,19898.0,18299.0,17798.0,15764.0,12578.0,12475.0,12077.0,8602.0,8059.0,7818.0,7519.0,7680.0,7744.0,7811.0
total-liabilities,97311.0,94332.0,91072.0,93202.0,91077.0,92476.0,93370.0,97143.0,81679.0,80885.0,74577.0,70790.0,67600.0,67341.0,63584.0,62261.0,61712.0,60905.0,60712.0,60606.0,55506.0,57152.0,56748.0,58630.0,57129.0,54660.0,54681.0,56521.0,55190.0,55316.0,54828.0,56564.0,50294.0,49982.0,48287.0,46329.0,40956.0,39449.0,40527.0,44094.0,41174.0,41191.0,42309.0,42401.0,41990.0,41678.0,40370.0,37635.0,35092.0,31561.0,32138.0,31238.0,20665.0,20248.0,21010.0,20154.0,19727.0,19384.0,20792.0
common-stock-net,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0
retained-earnings-accumulated-deficit,109242.0,109809.0,106650.0,106216.0,107617.0,106123.0,104339.0,101793.0,114805.0,113208.0,111643.0,110551.0,108860.0,106738.0,104990.0,103879.0,102748.0,101352.0,98656.0,97245.0,96560.0,93745.0,91387.0,89493.0,87703.0,89449.0,87242.0,85992.0,84880.0,83530.0,83103.0,81251.0,82634.0,80836.0,79515.0,77773.0,77272.0,75252.0,73184.0,70306.0,69471.0,67408.0,65398.0,63379.0,61878.0,59960.0,57811.0,55280.0,54197.0,52819.0,50850.0,49290.0,48210.0,46530.0,44713.0,42310.0,40422.0,38853.0,37300.0
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-share-holder-equity,58210.0,60785.0,58955.0,59752.0,64626.0,62889.0,63255.0,60160.0,73979.0,71922.0,70341.0,70418.0,72769.0,72473.0,72647.0,71150.0,71554.0,71131.0,67878.0,69752.0,76591.0,78048.0,76582.0,74053.0,69804.0,69665.0,66855.0,64826.0,63761.0,60434.0,61366.0,57080.0,61527.0,62132.0,59863.0,56579.0,57291.0,52851.0,52914.0,50588.0,50384.0,46247.0,43791.0,42511.0,45734.0,46435.0,45625.0,43319.0,43573.0,43122.0,40928.0,39318.0,40573.0,40742.0,41123.0,38710.0,36847.0,35169.0,33654.0
total-liabilities-share-holders-equity,155521.0,155117.0,150027.0,152954.0,155703.0,155365.0,156625.0,157303.0,155658.0,152807.0,144918.0,141208.0,140369.0,139814.0,136231.0,133411.0,133266.0,132036.0,128590.0,130358.0,132097.0,135200.0,133330.0,132683.0,126933.0,124325.0,121536.0,121347.0,118951.0,115750.0,116194.0,113644.0,111821.0,112114.0,108150.0,102908.0,98247.0,92300.0,93441.0,94682.0,91558.0,87438.0,86100.0,84912.0,87724.0,88113.0,85995.0,80954.0,78665.0,74683.0,73066.0,70556.0,61238.0,60990.0,62133.0,58864.0,56574.0,54553.0,54446.0
