,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-09-30,2016-07-31,2016-06-30,2016-04-30,2016-03-31,2016-01-31,2015-12-31,2015-09-30,2015-06-30,2015-04-30,2015-03-31,2015-01-31,2014-12-31,2014-10-31,2014-09-30,2014-07-31,2014-06-30,2014-04-30,2014-03-31,2014-01-31,2013-01-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,0.12,
total-current-assets,115.719,115.546,124.063,130.07,55.185,59.38,65.71,34.139,30.192,34.198,37.953,,35.813,,37.957,24.671,49.465,,54.945,61.449,66.995,,4.308,0.69,4.587,4.587,,,,,,9.91,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
other-long-term-assets,1.91,0.173,0.173,0.173,0.173,0.173,0.173,,,0.05,,,0.05,,0.05,,0.05,,1.041,0.268,0.229,,0.229,,0.229,,,,,,,0.12,
total-long-term-assets,4.165,2.586,2.462,2.489,2.433,2.009,0.947,0.602,0.592,0.147,0.097,,0.05,,0.05,0.074,0.21,,1.846,0.63,0.603,,3.404,,2.057,0.675,,,,,,0.63,
total-assets,119.884,118.132,126.525,132.559,57.618,61.389,66.657,34.741,30.784,34.345,38.05,0.0,35.863,0.0,38.007,24.745,49.675,0.0,56.791,62.079,67.598,0.0,7.712,0.69,6.644,6.644,0.0,0.0,0.0,0.0,0.0,10.1,0.0
total-current-liabilities,13.967,18.052,18.826,20.938,22.903,23.216,24.083,3.513,3.837,3.018,3.201,,1.891,,1.929,3.249,3.854,,4.271,3.793,4.167,,11.005,0.02,7.093,7.093,,,,,,3.95,
long-term-debt,1.177,,,,,0.058,0.117,0.149,0.213,,,,,,,,2.701,,3.154,3.601,4.036,,3.404,,2.131,,,,,,,,
other-non-current-liabilities,,,,,,,,,,,,,,,,,,,,,,,2.287,,1.495,,,,,,,,
total-long-term-liabilities,4.05,3.342,3.666,4.67,8.465,10.92,14.006,0.149,0.213,,,,0.035,,0.042,,2.75,,3.21,3.665,4.107,,6.12,0.349,4.176,0.463,,,,,,0.3,
total-liabilities,18.017,21.394,22.492,25.608,31.368,34.136,38.089,3.662,4.05,3.018,3.201,,1.926,,1.971,3.249,6.604,,7.481,7.458,8.274,,17.125,0.369,11.269,11.269,,,,0.0,,4.25,0.0
common-stock-net,0.018,0.017,0.017,0.017,0.011,0.011,0.011,0.011,0.01,0.01,0.01,,0.027,,0.027,0.003,0.027,,0.027,0.027,0.027,,0.001,,0.001,0.0,,,,0.0,,0.0,0.0
retained-earnings-accumulated-deficit,-99.814,-92.476,-83.95,-79.994,-76.69,-71.66,-71.003,-65.769,-60.784,-55.855,-51.653,,-88.963,,-86.577,-37.252,-79.228,,-72.621,-66.962,-61.971,,-52.959,,-47.775,-47.775,,,,,,-34.41,
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
total-share-holder-equity,101.867,96.738,104.033,106.951,26.25,27.253,28.568,31.079,26.734,31.327,34.849,,33.937,,36.036,21.496,43.071,,49.31,54.621,59.324,,-9.413,39.556,-4.625,-4.625,,,,0.0,,5.84,0.0
total-liabilities-share-holders-equity,119.884,118.132,126.525,132.559,57.618,61.389,66.657,34.741,30.784,34.345,38.05,,35.863,,38.007,24.745,49.675,,56.791,62.079,67.598,,7.712,39.925,6.644,0.0,,,,0.0,,10.1,0.0
