,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
cash-on-hand,19.669,21.858,52.774,60.691,24.463,26.506,34.591,42.582,2.238,,,,,
notes-loans-receivable,0.545,0.515,0.508,0.502,,,,,,,,,,
inventory,34.533,32.855,28.081,25.708,26.646,24.816,22.004,19.498,18.434,,,,,
other-current-assets,38.168,35.364,,,0.234,0.595,1.402,1.047,0.579,,,,,
total-current-assets,108.72,106.843,93.111,97.156,61.844,62.735,65.949,69.561,28.891,,,,,
net-property-plant-equipment,,,,,,,,,,,,,,
goodwill-intangible-assets-total,23.172,23.599,2.106,2.181,2.26,2.34,2.414,2.349,2.443,0.0,0.0,,0.0,0.0
other-long-term-assets,,0.075,,,,,,,,,,,,
total-long-term-assets,44.704,44.589,18.895,14.949,15.034,15.11,14.694,12.74,12.192,,,,,
total-assets,153.424,151.432,112.006,112.105,76.878,77.845,80.643,82.301,41.083,0.0,0.0,0.0,0.0,0.0
total-current-liabilities,46.184,42.187,10.823,9.217,10.916,10.49,10.57,9.467,10.416,,,,,
long-term-debt,21.09,21.163,21.134,21.156,25.277,25.298,25.319,25.339,27.486,,,,,
other-non-current-liabilities,0.045,,,,,,,,,,,,,
total-long-term-liabilities,21.135,21.163,21.134,21.156,25.277,25.298,25.319,25.339,27.486,,,,,
total-liabilities,67.319,63.35,31.957,30.373,36.193,35.788,35.889,34.806,37.902,0.0,0.0,,0.0,0.0
common-stock-net,0.004,0.004,0.004,0.004,0.002,0.002,0.002,0.002,0.001,0.0,0.0,,0.0,0.0
retained-earnings-accumulated-deficit,-123.393,-120.729,-118.111,-115.091,-112.623,-110.758,-108.066,-103.066,-82.221,,,,,
comprehensive-income,,,,,,,,,,0.0,0.0,,0.0,0.0
total-share-holder-equity,86.105,88.082,80.049,81.732,40.685,42.057,44.754,47.495,3.181,0.0,0.0,,0.0,0.0
total-liabilities-share-holders-equity,153.424,151.432,112.006,112.105,76.878,77.845,80.643,82.301,41.083,0.0,0.0,,0.0,0.0
