,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,0.0025,0.0035,0.0025
total-current-assets,252.948,263.904,167.586,181.197,190.392,128.535,140.361,94.641,101.923,54.735,60.628,68.81,75.715,81.421,80.075,86.869,42.306,47.189,54.627,,0.0091,0.0083,0.0067
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
other-long-term-assets,1.654,1.781,2.031,1.182,1.108,1.091,1.092,1.2,1.175,1.088,1.259,0.971,0.542,0.268,0.245,0.319,0.443,0.284,0.155,,,,
total-long-term-assets,1.654,1.781,2.031,1.182,1.108,1.092,1.097,1.21,1.192,1.112,1.291,1.011,0.589,0.323,0.307,0.39,0.521,0.343,0.189,,,,
total-assets,254.602,265.685,169.617,182.379,191.5,129.627,141.458,95.851,103.115,55.847,61.919,69.821,76.304,81.744,80.382,87.259,42.827,47.532,54.816,0.0,0.0091,0.0083,0.0067
total-current-liabilities,13.112,11.232,12.143,13.615,12.905,12.58,11.351,10.031,7.562,5.076,4.116,5.451,5.272,4.384,4.31,5.055,4.711,3.604,5.531,,0.13,0.1,0.07
long-term-debt,7.5,7.5,7.5,7.5,3.432,4.15,4.861,5.567,6.018,6.855,7.339,7.324,7.308,7.292,,,,,,,,,
other-non-current-liabilities,0.406,0.372,0.409,0.279,0.556,0.5,0.446,0.388,0.336,0.279,0.223,0.17,0.058,0.027,0.006,0.101,0.332,0.604,0.391,,,,
total-long-term-liabilities,7.906,7.872,7.909,7.779,3.988,4.65,5.307,5.955,6.354,7.134,7.562,7.494,7.366,7.319,0.006,0.101,0.332,0.604,0.391,,,,
total-liabilities,21.018,19.104,20.052,21.394,16.893,17.23,16.658,15.986,13.916,12.21,11.678,12.945,12.638,11.703,4.316,5.156,5.043,4.208,5.922,,0.13,0.1,0.07
common-stock-net,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,,0.0005,0.0005,0.0005
retained-earnings-accumulated-deficit,-195.012,-178.62,-163.677,-149.737,-133.64,-118.633,-103.894,-89.29,-78.542,-69.209,-61.389,-53.856,-46.509,-39.583,-32.922,-26.296,-19.822,-13.732,-8.147,,-0.17,-0.14,-0.11
comprehensive-income,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
total-share-holder-equity,233.584,246.581,149.565,160.985,174.607,112.397,124.8,79.865,89.199,43.637,50.241,56.876,63.666,70.041,76.066,82.103,37.784,43.324,48.894,,-0.12,-0.09,-0.06
total-liabilities-share-holders-equity,254.602,265.685,169.617,182.379,191.5,129.627,141.458,95.851,103.115,55.847,61.919,69.821,76.304,81.744,80.382,87.259,42.827,47.532,54.816,,0.0091,0.0083,0.0067
