,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,1149.541,1392.425,1501.429,773.829,1155.517,1016.723,291.888,201.661,202.259,172.627,159.374,141.048,124.115,106.953,113.201,200.219,187.898,182.209,177.225,167.336,186.588,22.027,25.252,15.979,3.271,5.923,5.037,12.381,7.046,10.385,11.294,17.041,12.251,13.441,16.52,22.697,24.069,32.195,39.056,53.232,44.193,55.51,52.604,80.671,71.112,84.996,90.228,94.408,98.392,115.4,410.23,210.662,31.891,60.783,67.705,86.93,73.79,68.274,89.405
notes-loans-receivable,,,,,,,3.877,3.877,3.007,3.207,,3.207,3.207,3.207,4.767,4.782,,5.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,6.565,9.638,11.905,7.124,8.136,9.52,10.531,4.373,5.007,6.809,7.629,1.923,4.027,3.835,1.75,1.633,1.221,0.802,2.821,0.269,1.071,0.817,1.949,1.392,1.838,2.265,2.838,1.697,2.548,2.698,1.345,1.301,1.96,2.594,4.212,,,,,,,,,,,,,,,,,3.856,5.039,8.467,8.232,9.333,6.868,6.328,6.896
other-current-assets,5.039,19.985,27.946,33.737,534.596,412.226,5.647,1.514,1.112,1.072,0.641,2.175,2.756,2.602,1.562,1.908,8.171,2.635,4.156,4.919,4.526,2.217,1.529,0.959,1.512,1.211,0.986,0.829,1.015,2.025,2.778,1.344,1.663,1.868,1.151,0.72,1.342,1.43,1.317,4.534,1.667,1.392,1.179,2.3,4.029,2.434,3.02,5.068,2.629,2.771,4.567,9.518,20.52,25.986,16.357,15.75,12.672,12.924,17.076
total-current-assets,1183.103,1442.307,1567.895,870.54,1745.225,1480.47,349.051,237.021,224.201,197.177,174.701,163.053,140.691,126.563,133.059,214.712,210.324,196.725,191.713,185.158,198.52,28.585,33.403,24.881,16.635,14.57,17.74,23.823,17.434,21.096,23.544,32.23,26.817,28.139,31.296,37.019,35.287,43.402,50.387,68.166,59.895,69.47,67.695,93.929,85.965,96.112,101.899,109.943,115.775,132.183,427.947,235.557,64.527,113.903,112.34,132.967,117.708,108.542,131.701
net-property-plant-equipment,6.411,6.268,5.575,5.372,4.407,4.187,4.119,4.212,3.526,1.875,1.898,1.819,1.826,1.181,0.567,0.372,0.355,0.405,0.44,0.486,0.551,0.619,0.69,0.867,0.834,0.804,0.758,0.788,0.853,0.644,0.375,0.455,0.678,0.679,0.795,0.559,0.968,7.073,7.772,8.522,9.893,10.459,11.195,12.903,1.687,2.024,2.091,2.865,3.434,3.783,4.022,5.551,21.453,21.561,21.758,22.483,22.638,22.927,23.275
long-term-investments,,,,,,,,6.438,5.137,6.014,7.262,8.345,17.339,18.733,28.118,29.728,31.826,33.996,,,,,1.341,,,,,,,,,1.341,,,,,1.341,1.341,1.341,,1.341,1.341,1.341,1.341,1.411,1.411,1.411,1.411,1.411,1.561,1.826,1.826,1.826,1.826,1.826,1.826,1.826,1.826,1.656
goodwill-intangible-assets-total,345.194,340.617,334.122,337.899,323.171,328.399,331.236,334.069,292.506,294.453,299.827,302.733,305.779,308.643,294.366,69.139,69.777,70.371,66.935,67.529,68.123,68.716,69.314,69.908,70.501,71.054,67.557,68.15,68.818,69.4,69.982,70.564,72.237,75.157,76.757,12.951,15.833,15.833,14.458,2.515,0.482,1.659,2.185,5.375,,,,,,,,,,,,,,,
other-long-term-assets,12.768,12.644,6.396,0.471,0.499,0.642,0.894,4.859,2.028,1.668,1.821,1.744,1.744,0.603,0.07,0.027,2.995,3.265,4.135,4.856,5.089,1.514,0.275,1.64,5.312,4.556,4.384,3.284,1.757,1.865,1.904,0.738,2.118,2.114,2.224,2.179,5.453,5.494,5.537,6.543,0.101,0.101,10.365,10.376,10.217,10.178,10.138,10.07,9.969,9.939,10.0,83.119,144.061,143.431,147.279,151.474,155.868,159.701,150.601
total-long-term-assets,364.373,359.529,346.093,390.263,360.517,377.814,405.617,434.0,438.136,442.847,455.0221,438.532,460.174,462.755,452.898,288.349,311.376,108.037,71.51,72.871,73.763,71.262,72.068,79.832,85.034,84.993,80.615,80.437,80.072,81.731,86.487,88.353,95.649,99.296,102.857,38.54,77.281,84.195,83.233,73.641,57.191,59.706,71.892,77.519,61.226,63.911,64.366,63.335,95.749,96.293,96.863,90.496,167.34,172.029,176.349,181.652,188.339,193.181,181.552
