,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-10-31,2015-09-30,2015-07-31,2015-06-30,2015-04-30,2015-03-31,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,167.756,168.669,161.267,153.535,153.056,157.831,154.326,144.47,214.593,204.68,192.388,133.017,197.649,192.73,210.762,212.448,25.9355,,24.7376,,23.9633,,21.1776,19.1106,18.6857,17.6301,18.0833,18.0883,17.6844,17.7185,17.4279,17.2344,14.3348,14.3859,13.9467,13.6683,13.751,15.2709,15.7268,15.7896,15.0558,14.2078,13.759,13.8302,13.5488,12.8411,12.2262,12.5807,12.3927,12.8297,14.6411,15.4444,15.9276,17.5808,18.8703,19.1702,18.669,17.3048,16.807,14.8637,11.3008,8.5454,7.1125
other-current-assets,,,,,,,13.652,13.628,14.117,13.859,17.622,4.477,,,,,9.7461,,6.7459,,7.7829,,6.6656,5.5994,5.9419,6.5906,6.5322,4.2476,3.7553,4.1832,3.1137,2.0885,2.7567,3.8017,3.9396,2.2629,3.7262,4.6981,4.0711,1.8923,2.5335,2.495,2.7991,1.8574,2.4197,2.2069,2.3929,1.9917,2.4153,2.1082,2.7382,2.6454,3.2266,3.1273,3.181,2.1873,3.3764,5.2741,4.8964,2.0003,2.549,3.3558,3.1787
total-current-assets,546.846,568.444,540.602,533.297,573.238,554.691,848.071,869.858,722.054,671.381,660.677,812.69,647.33,662.338,683.669,673.414,282.406,,263.6149,,240.721,,225.0202,221.7737,215.0979,220.4312,197.7166,198.7726,203.6688,207.3583,193.7519,179.892,163.6219,161.1029,134.9937,129.521,142.1286,151.6002,143.3097,127.0423,107.5175,115.2446,105.9095,108.0932,98.1905,104.5339,98.1357,105.069,135.1399,127.0364,126.8731,121.2257,123.3745,125.4273,126.1341,136.4338,138.2391,137.2759,141.2469,156.0626,75.1218,89.8531,82.2541
net-property-plant-equipment,179.507,185.098,185.947,191.4,188.46,186.156,191.701,192.359,213.769,211.164,205.121,203.708,245.12,245.006,253.75,244.587,40.5744,,40.7351,,40.2867,,40.8602,40.5945,40.0881,39.5349,38.3764,35.6126,33.0933,28.5557,25.8783,24.3443,22.3877,22.1607,22.0466,21.8438,9.7396,8.2034,8.2822,8.2913,7.8125,7.5109,6.5854,6.1658,5.8539,5.6128,4.7923,4.8887,5.0633,5.5031,5.9407,6.8177,7.4272,8.028,8.6763,9.2098,9.9829,10.3223,10.6053,10.1848,9.117,8.8541,7.7555
long-term-investments,24.942,25.095,24.762,24.823,24.113,21.13,22.084,34.492,46.38,41.013,58.728,56.226,67.435,72.216,77.682,77.486,15.0626,,15.0626,,17.1269,,17.1269,15.9444,15.9444,15.9444,15.9444,10.5882,10.5882,10.5882,8.0382,8.0382,5.45,9.5088,9.434,9.3592,5.2844,5.2096,5.1348,5.06,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,1645.037,1682.748,1710.645,1727.254,1753.541,1764.131,1567.558,1319.639,1498.716,1476.701,1304.056,1133.32,1381.51,1390.459,1439.277,1404.298,10.4019,,9.9115,,10.1682,,10.8535,11.0931,11.33,11.6547,11.95,12.092,10.1238,9.22,6.3764,6.5938,6.8111,4.5096,4.6809,5.3526,5.5418,5.2379,4.811,4.717,4.5014,1.9483,,,,,,,,,,,,,,,,,,,,,
other-long-term-assets,60.032,62.652,62.712,4.781,5.52,5.489,6.561,75.984,117.855,121.445,132.664,130.67,149.555,146.546,5.521,5.445,2.0798,,2.008,,1.5635,,1.4162,1.2329,1.2442,0.8556,0.6387,0.5941,0.4756,0.4957,0.4073,0.3952,0.292,0.3607,0.5278,0.7372,0.9162,1.0807,1.0727,1.0659,1.0634,1.4358,1.6295,1.9308,1.5845,1.4906,2.2598,2.5118,3.5284,3.6915,3.418,3.7753,3.9809,4.1896,4.2038,4.418,4.6384,4.7021,5.1417,4.7321,0.2433,0.1482,0.1449
total-long-term-assets,1963.095,2053.215,2058.942,2016.404,2037.442,2042.445,1856.805,1634.033,1881.076,1862.304,1709.97,1529.941,1849.63,1862.527,1934.041,1885.325,75.2411,,74.6125,,75.2232,,76.3669,74.974,74.8253,73.7602,71.4654,66.91,62.13,56.685,56.6584,53.637,49.2065,50.8053,62.8208,68.1703,57.7732,59.869,64.1565,65.1282,43.7458,40.5194,40.3039,43.0643,7.4383,7.5097,7.0521,7.4005,8.5917,9.1947,9.3587,10.593,11.4081,12.2176,12.8802,13.6278,14.6213,15.0243,15.747,14.9169,9.3603,9.0023,7.9004
total-assets,2509.941,2621.659,2599.544,2549.701,2610.68,2597.136,2704.876,2503.891,2603.13,2533.685,2370.647,2342.631,2496.96,2524.865,2617.71,2558.739,357.6471,0.0,338.2274,0.0,315.9442,0.0,301.3871,296.7477,289.9232,294.1914,269.182,265.6826,265.7988,264.0433,250.4103,233.529,212.8284,211.9082,197.8144,197.6913,199.9019,211.4692,207.4662,192.1705,151.2633,155.764,146.2133,151.1575,105.6288,112.0436,105.1877,112.4694,143.7316,136.2311,136.2318,131.8187,134.7826,137.6449,139.0143,150.0616,152.8604,152.3003,156.9939,170.9795,84.4821,98.8554,90.1544
total-current-liabilities,469.191,595.909,622.31,496.746,347.067,368.02,459.475,406.016,356.357,342.448,323.828,349.89,316.895,343.913,381.548,359.121,71.0125,,36.3027,,31.4492,,26.2854,25.2494,24.1505,29.8977,23.9891,25.087,26.8988,29.0255,21.6582,24.0518,18.9829,23.0366,18.8058,26.2944,23.3602,29.1341,26.9663,20.3015,17.507,23.3253,18.49,17.5771,16.7539,17.6452,16.6627,15.7181,16.5695,17.288,141.5058,149.336,151.7018,153.4119,155.2086,153.9903,148.5731,146.522,26.0287,28.122,25.0253,23.0496,19.558
