,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,109.689,98.785,93.259,94.732,92.952,90.848,91.062,92.259,99.078,88.458,80.262,72.542,67.047,62.312,62.505,62.038,73.311,71.588,69.572,69.718,62.834,58.284,55.538,56.813,59.46,55.717,48.462,47.358,48.981,45.735,47.879,45.944,45.523,44.954,42.163,45.028,43.401,37.11,33.699,31.559,31.254,29.812,29.788,27.4,29.261,29.256,25.984,23.11,23.025,22.591,,,
other-current-assets,60.769,55.894,46.355,29.227,48.283,35.085,34.663,33.602,46.844,41.929,27.816,26.067,37.213,22.995,19.763,21.423,21.71,20.463,23.56,21.471,5.429,4.135,3.986,19.384,2.928,3.251,3.105,3.896,3.554,4.17,3.649,2.008,1.703,1.806,2.94,2.136,1.729,1.445,1.55,1.357,0.793,0.525,0.522,0.551,0.873,1.156,1.689,1.543,4.639,4.351,,,
total-current-assets,934.216,864.043,850.297,786.078,735.747,653.87,596.316,559.695,546.48,565.994,556.268,507.227,324.622,295.97,317.459,299.142,297.549,309.639,315.506,297.076,299.62,272.033,286.681,271.798,261.933,236.0,228.535,219.347,260.198,264.678,266.469,262.935,276.63,254.279,231.787,217.605,247.919,225.866,221.069,289.388,275.167,253.925,243.211,232.242,215.955,195.679,174.141,183.64,177.101,124.236,,,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,49.429,50.017,50.206,51.221,51.916,47.893,49.93,47.74,48.165,48.487,48.686,49.156,50.068,48.648,49.52,47.95,48.335,48.403,47.581,48.75,49.939,50.617,51.016,50.897,50.991,50.462,50.556,50.187,50.033,18.509,18.228,11.841,10.992,10.472,10.462,10.945,10.294,10.129,9.78,10.277,7.825,7.702,7.524,7.858,7.289,7.241,6.459,6.037,5.415,5.354,,,
other-long-term-assets,76.82,68.503,65.522,4.232,3.859,4.281,4.093,4.668,11.354,10.516,9.416,9.223,9.144,12.256,9.324,11.013,11.318,12.668,12.392,7.485,7.552,7.012,8.517,6.822,7.19,7.473,7.659,8.022,7.511,7.337,8.083,7.644,7.336,6.9,5.996,5.99,8.117,7.653,6.577,5.335,4.462,3.776,4.409,3.057,2.809,3.057,3.065,3.089,2.394,4.186,,,
total-long-term-assets,379.997,365.803,329.079,368.74,360.112,353.446,353.243,345.741,359.591,329.674,321.398,313.298,314.831,306.713,303.803,302.593,280.237,273.977,259.714,267.93,232.848,226.725,171.972,166.864,165.836,161.229,159.292,155.314,149.419,116.329,113.92,103.169,97.474,97.463,96.201,92.63,78.947,74.785,70.205,66.957,60.822,61.612,61.69,61.106,55.277,55.231,53.011,51.871,47.617,49.849,,,
total-assets,1314.213,1229.846,1179.376,1154.818,1095.859,1007.316,949.559,905.436,906.071,895.668,877.666,820.525,639.453,602.683,621.262,601.735,577.786,583.616,575.22,565.006,532.468,498.758,458.653,438.662,427.769,397.229,387.827,374.661,409.617,381.007,380.389,366.104,374.104,351.742,327.988,310.235,326.866,300.651,291.274,356.345,335.989,315.537,304.901,293.348,271.232,250.91,227.152,235.511,224.718,174.085,0.0,0.0,0.0
total-current-liabilities,150.008,136.074,121.157,146.555,143.627,129.384,130.93,129.654,172.469,145.344,202.683,220.366,144.335,120.448,119.69,132.633,111.773,114.297,117.164,123.894,240.181,171.362,96.935,103.79,103.391,92.789,96.264,89.539,84.494,74.651,89.584,75.953,66.038,62.282,63.143,70.197,69.883,63.781,73.444,59.441,56.455,53.44,60.54,65.647,53.173,57.78,54.781,61.809,64.047,69.814,,,
long-term-debt,,,,,,,,,,,,,152.5,175.001,225.003,185.071,190.1,177.604,125.108,125.145,0.148,0.15,0.156,0.225,0.233,0.226,0.239,0.06,0.074,0.051,0.062,0.074,0.087,0.099,0.11,0.122,0.134,0.145,0.155,0.171,0.187,0.201,0.14,0.157,0.202,0.285,0.532,19.502,22.229,25.007,,,
other-non-current-liabilities,55.846,53.898,53.143,39.198,39.834,52.742,52.118,51.757,16.059,16.268,15.723,14.587,9.431,11.866,8.328,8.021,7.342,7.273,7.839,7.773,7.544,7.326,7.55,7.68,9.683,10.328,10.303,8.818,10.07,10.305,12.117,9.427,9.488,9.003,8.669,8.323,7.49,7.839,7.076,6.775,8.667,8.354,8.125,7.833,4.048,3.837,3.794,3.768,1.137,1.263,,,
total-long-term-liabilities,55.846,53.898,53.143,39.198,39.834,52.742,52.118,51.757,16.32,40.92,41.029,39.923,161.931,187.086,233.589,193.39,197.779,185.253,133.364,133.371,8.184,8.006,8.275,8.471,10.479,10.954,10.996,9.454,10.853,11.198,13.028,10.485,10.695,10.364,10.169,9.999,9.603,10.013,9.31,7.216,8.854,8.555,8.265,8.203,4.25,4.458,4.665,23.636,23.991,27.014,,,
total-liabilities,205.854,189.972,174.3,185.753,183.461,182.126,183.048,181.411,188.789,186.264,243.712,260.289,306.266,307.534,353.279,326.023,309.552,299.55,250.528,257.265,248.365,179.368,105.21,112.261,113.87,103.743,107.26,98.993,95.347,85.849,102.612,86.438,76.733,72.646,73.312,80.196,79.486,73.794,82.754,66.657,65.309,61.995,68.805,73.85,57.423,62.238,59.446,85.445,88.038,96.828,,,
