,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,1.098,0.864,0.866,3.689,4.757,5.559,67.169,71.417,71.707,28.486,70.654,74.124,68.454,64.584,114.265,127.779,127.425,78.971,75.174,86.309,86.001,87.105,91.499,86.75,84.266,76.355,62.337,47.202,49.973,45.145,30.426,29.161,32.365,25.343,29.624,28.423,24.897,25.836,19.44,25.578,24.225,28.229,25.498,29.567,33.087,35.468,29.116,33.438,37.632,41.628,35.2339,40.2827,45.4341,47.985,42.6354,40.2384,33.9248
other-current-assets,,,,,0.32,,,391.202,,,,50.586,,,,322.837,,,,2.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,326.729,381.627,258.099,294.803,187.249,219.046,283.071,563.304,297.838,436.028,546.316,653.953,717.371,789.325,560.821,832.917,687.289,660.446,881.743,623.894,584.913,603.093,595.688,591.441,683.67,502.64,459.643,756.375,712.576,652.452,435.122,481.723,418.82,389.601,363.101,324.621,299.436,275.23,247.914,242.722,252.757,260.369,241.177,295.83,288.789,304.736,290.216,292.188,283.484,289.664,286.483,274.326,240.8169,217.381,190.487,204.578,219.8556,222.8067,218.0309
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,200.571,200.571,200.571,200.571,200.571,200.571,200.571,200.571,541.594,356.08,610.761,457.756,877.319,883.788,919.376,672.041,1333.598,1352.667,1355.874,825.75,1193.384,1185.547,1087.424,1093.967,809.095,598.113,602.793,134.247,135.373,136.506,137.638,102.0,100.818,96.411,97.003,97.596,98.034,98.473,98.911,99.612,41.506,42.898,43.21,16.349,16.495,14.641,14.785,14.929,14.929,,,,,,,,,,
other-long-term-assets,362.549,366.201,368.811,337.44,335.826,360.402,360.999,91.854,149.526,338.102,403.081,562.541,149.493,145.838,80.156,255.778,14.258,14.954,15.556,364.651,10.402,16.519,16.193,16.606,18.873,19.117,19.419,18.835,16.514,17.45,10.447,12.504,4.915,6.079,6.06,6.048,6.033,7.306,7.316,7.37,83.994,82.228,80.532,10.237,10.239,5.181,5.18,5.136,0.135,0.139,0.139,0.139,0.1391,0.1427,0.1427,0.139,0.1391,0.1391,0.1391
total-long-term-assets,570.541,574.646,577.754,546.883,546.488,576.791,578.103,309.679,709.142,715.0809,1044.636,1051.258,1059.262,1063.11,1033.948,962.5991,1385.802,1406.185,1410.231,1261.811,1244.471,1244.017,1145.007,1149.841,861.894,647.283,644.878,215.807,240.958,245.419,243.928,210.924,217.843,149.074,148.121,149.503,125.454,127.945,129.36,132.054,156.668,161.95,163.707,91.574,78.446,63.309,66.386,69.328,58.719,43.945,44.164,44.242,3.4857,3.5238,3.8189,4.129,4.0196,4.0331,2.5049
total-assets,897.27,956.273,835.853,841.686,733.737,795.837,861.174,872.983,1006.98,1151.109,1590.952,1705.211,1776.633,1852.435,1594.769,1795.516,2073.091,2066.631,2291.974,1885.705,1829.384,1847.11,1740.695,1741.282,1545.564,1149.923,1104.521,972.182,953.534,897.871,679.05,692.647,636.663,538.675,511.222,474.124,424.89,403.175,377.274,374.776,409.425,422.319,404.884,387.404,367.235,368.045,356.602,361.516,342.203,333.609,330.647,318.568,244.3027,220.9048,194.3059,208.707,223.8752,226.8398,220.5358
total-current-liabilities,423.141,63.964,63.145,58.411,77.757,84.417,110.453,175.492,128.913,515.291,526.873,244.625,207.258,220.114,429.243,534.247,530.048,208.703,351.445,403.823,146.694,179.093,156.76,174.253,170.346,120.621,115.771,135.206,142.572,116.365,125.28,154.635,125.27,103.841,92.855,85.37,77.767,80.13,74.975,86.619,70.697,84.846,77.214,83.608,71.387,68.454,67.497,83.62,71.24,41.598,43.674,45.803,41.5434,36.0241,29.8544,34.666,44.7612,43.4367,39.8525
long-term-debt,464.991,817.774,808.701,792.752,669.724,662.729,655.943,649.198,642.655,305.517,302.414,623.584,617.49,611.489,315.08,312.107,318.464,568.044,562.725,246.676,243.976,241.304,238.683,236.088,233.544,231.025,228.555,226.109,223.711,221.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,68.678,36.406,39.396,12.787,12.82,27.462,27.122,23.379,47.357,120.345,155.857,95.027,102.13,103.981,116.37,127.392,163.46,154.143,161.294,209.943,375.035,367.201,311.971,310.103,194.417,106.339,111.574,24.645,28.709,27.596,26.977,26.37,34.1,33.27,32.461,31.156,31.761,30.929,30.13,29.373,28.408,28.351,27.627,5.771,,,,,,,,,,,,,,,
total-long-term-liabilities,533.669,854.18,848.097,805.539,682.544,690.191,683.065,672.577,690.012,492.865,548.263,808.603,807.97,803.859,520.6,529.495,620.731,886.136,939.152,561.791,772.118,757.755,679.284,674.868,506.33,371.868,376.376,250.754,252.42,248.918,26.977,26.37,34.1,33.27,32.461,31.156,50.866,50.181,48.851,47.768,28.408,28.351,27.627,5.771,,,,,,2.65,2.732,2.814,2.8963,2.9783,3.0602,3.142,3.3038,3.3997,3.4956
total-liabilities,956.81,918.144,911.242,863.95,760.301,774.608,793.518,848.069,818.925,1008.156,1075.136,1053.228,1015.228,1023.973,949.843,1063.742,1150.779,1094.839,1290.597,965.614,918.812,936.848,836.044,849.121,676.676,492.489,492.147,385.96,394.992,365.283,152.257,181.005,159.37,137.111,125.316,116.526,128.633,130.311,123.826,134.387,99.105,113.197,104.841,89.379,71.387,68.454,67.497,83.62,71.24,44.248,46.406,48.617,44.4397,39.0023,32.9146,37.808,48.065,46.8365,43.3481
common-stock-net,0.083,0.082,0.077,0.077,0.076,0.076,0.076,0.076,0.076,0.076,0.074,0.073,0.073,0.073,0.072,0.072,0.072,0.068,0.068,0.068,0.068,0.067,0.067,0.066,0.066,0.058,0.057,0.056,0.056,0.055,0.055,0.054,0.054,0.054,0.054,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.051,0.0507,0.0504,0.0498,0.05,0.0497,0.0495,0.0494
retained-earnings-accumulated-deficit,-1574.638,-1500.644,-1440.589,-1380.724,-1338.248,-1282.614,-1228.417,-1257.356,-1079.096,-1048.921,-651.653,-548.983,-426.132,-339.874,-522.313,-429.865,-223.801,-118.667,-72.077,-77.109,-71.788,-55.052,-49.895,-44.899,-46.097,-53.89,-71.984,-60.411,-81.074,-90.339,-104.094,-111.665,-131.247,-203.861,-215.301,-239.542,-298.114,-319.319,-334.745,-344.177,-270.684,-267.486,-271.296,-267.948,-263.751,-250.534,-254.591,-259.444,-260.951,-237.307,-238.123,-241.172,-295.426,-306.0984,-317.0126,-304.898,-299.7886,-293.5567,-294.8076
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-share-holder-equity,-59.54,38.129,-75.389,-22.264,-26.564,21.229,67.656,24.914,188.055,142.953,515.816,651.983,761.405,828.462,644.926,731.774,922.312,971.792,1001.377,920.091,910.572,910.262,904.651,892.161,868.888,657.434,612.374,586.222,558.542,532.588,526.793,511.642,477.293,401.564,385.906,357.598,296.257,272.864,253.448,240.389,310.32,309.122,300.043,298.025,295.848,299.591,289.105,277.896,270.963,289.361,284.241,269.951,199.863,181.9025,161.3913,170.899,175.8102,180.0034,177.1877
total-liabilities-share-holders-equity,897.27,956.273,835.853,841.686,733.737,795.837,861.174,872.983,1006.98,1151.109,1590.952,1705.211,1776.633,1852.435,1594.769,1795.516,2073.091,2066.631,2291.974,1885.705,1829.384,1847.11,1740.695,1741.282,1545.564,1149.923,1104.521,972.182,953.534,897.871,679.05,692.647,636.663,538.675,511.222,474.124,424.89,403.175,377.274,374.776,409.425,422.319,404.884,387.404,367.235,368.045,356.602,361.516,342.203,333.609,330.647,318.568,244.3027,220.9048,194.3059,208.707,223.8752,226.8398,220.5358
