,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-05-31,2010-03-31,2010-02-28,2009-12-31,2009-11-30,2009-09-30,2009-08-31,2009-05-31,2009-02-28,2008-11-30,2008-09-30,2008-08-31,2008-06-30,2008-05-31,2008-03-31,2008-02-29,2007-12-31,2007-11-30,2007-09-30,2007-06-30,2007-05-31,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.722,1.262,2.693,,2.02,3.193,2.575,3.816,4.303,,3.184,,3.606,3.898,3.722,,2.324,2.583,6.079,6.049,5.193,,5.373,1.918,6.3,,4.178,,4.37,4.012,,4.257,3.247,3.609,5.124,4.063,2.174,1.935,1.929,2.169
other-current-assets,65.515,75.351,95.077,66.451,71.745,64.419,45.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,773.661,804.051,834.333,858.965,843.743,855.664,911.064,857.11,667.997,622.793,627.161,604.333,589.768,594.094,539.334,538.346,550.197,540.142,557.388,487.19,548.711,542.508,541.855,539.819,555.691,594.011,619.301,572.575,631.816,655.391,718.406,657.781,593.308,608.453,598.623,575.456,550.16,,408.154,,347.818,293.071,290.556,,275.487,260.977,285.125,267.114,200.783,,176.438,61.295,178.448,,169.124,,187.258,182.727,,169.375,153.897,120.776,109.341,110.619,153.044,128.78,111.249,89.189
net-property-plant-equipment,96.813,105.923,115.564,121.913,160.225,160.585,164.878,135.417,165.434,160.47,153.197,148.81,144.804,143.731,117.679,125.617,127.739,135.542,140.116,145.83,152.213,163.128,168.026,174.013,166.579,170.95,162.318,155.494,143.823,139.233,134.364,122.563,102.877,99.089,117.913,114.294,101.623,,24.637,,19.534,18.494,18.366,,17.477,17.343,19.036,18.817,20.297,,21.147,6.082,21.209,,18.238,,16.662,17.111,,15.129,14.094,13.56,12.821,12.182,2.753,2.597,2.482,2.423
long-term-investments,,,,,,,,,,63.45,74.4,149.1,197.25,187.5,,,,,,1.305,1.321,1.318,1.313,1.329,1.373,1.341,1.7,1.706,1.718,1.64,1.667,1.675,1.681,1.703,1.716,1.733,1.778,,1.925,,1.876,1.896,1.926,,2.072,2.267,2.559,2.735,2.845,,3.307,,7.464,,13.459,,14.673,19.734,,25.142,26.024,24.51,18.626,17.812,30.75,41.447,53.286,71.066
goodwill-intangible-assets-total,1785.038,1785.027,1789.433,1804.825,3081.602,2946.991,2878.496,1728.32,2689.183,2628.233,2648.775,2665.455,2613.019,2562.645,1558.005,1570.247,1583.752,1597.139,1587.337,1604.108,1622.843,1616.774,1632.656,1645.556,1661.343,1677.769,1693.887,1466.35,1481.745,1497.089,1513.15,1529.212,1545.292,1561.262,1575.388,1591.673,1609.955,,620.032,,625.286,628.788,630.54,,640.348,646.197,650.922,676.387,344.539,,350.446,91.043,344.615,,347.955,,256.114,257.051,,259.612,266.311,263.413,266.442,268.011,22.911,23.332,23.753,24.151
other-long-term-assets,332.829,309.826,279.085,181.085,187.585,160.728,170.096,146.851,149.485,112.738,117.083,97.791,122.297,121.993,320.777,359.665,328.668,346.689,135.72,137.76,153.394,180.069,197.85,163.341,156.673,133.824,45.169,50.304,38.03,73.92,75.139,88.998,86.35,87.7,73.133,68.635,69.119,,10.042,,11.511,12.009,12.123,,12.459,12.357,14.627,13.977,3.982,,3.635,12.594,4.498,,5.252,,4.552,4.308,,4.889,4.999,5.168,5.356,5.779,5.097,5.307,5.349,5.169
total-long-term-assets,2456.28,2431.422,2408.075,2322.519,3674.337,3498.012,3459.148,3373.04,3215.391,3161.262,3171.857,3227.826,3220.369,3116.003,2084.988,2143.602,2123.116,2163.746,1947.366,1977.14,2022.15,2050.023,2092.383,2079.844,2082.723,2081.934,2003.512,1776.962,1775.812,1825.688,1833.216,1845.843,1833.201,1837.154,1847.318,1843.131,1827.483,,686.5359,,681.998,682.751,683.106,,688.737,691.679,694.806,714.2219,394.614,,404.368,117.973,403.295,,409.019,,311.721,316.744,,320.643,323.713,344.943,339.726,338.793,67.92,79.106,91.051,108.964
total-assets,3229.941,3235.473,3242.408,3181.484,4518.08,4353.676,4370.212,4230.15,3883.388,3784.055,3799.018,3832.159,3810.137,3710.097,2624.322,2681.948,2673.313,2703.888,2504.754,2464.33,2570.861,2592.531,2634.238,2619.663,2638.414,2675.945,2622.813,2349.537,2407.628,2481.079,2551.622,2503.624,2426.509,2445.607,2445.941,2418.587,2377.643,0.0,1094.69,0.0,1029.816,975.822,973.662,0.0,964.224,952.656,979.931,981.336,595.397,0.0,580.806,179.268,581.743,0.0,578.143,0.0,498.979,499.471,0.0,490.018,477.61,465.719,449.067,449.412,220.964,207.886,202.3,198.153
