,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,2013-01-31,2012-10-31,2012-07-31,2012-04-30,2012-01-31,2011-10-31,2011-07-31,2011-04-30,2011-01-31,2010-10-31,2010-07-31,2010-04-30,2010-01-31,2009-10-31,2009-07-31,2009-04-30,2009-01-31,2008-10-31,2008-07-31,2008-04-30,2008-01-31,2007-10-31,2007-07-31,2007-04-30,2007-01-31,2006-10-31,2006-07-31,2006-04-30,2006-01-31,2005-10-31,2005-07-31,2005-04-30,2005-01-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,4042.0,3932.0,3753.0,3866.0,3763.0,3681.0,3579.0,3751.0,3638.0,3538.0,3338.0,3720.0,3717.0,3580.0,3473.0,3536.0,3516.0,3404.0,3463.0,1875.0,1873.0,1836.0,1725.0,1782.0,1825.0,1778.0,1712.0,1889.0,1877.0,1854.0,1800.0,1819.0,1840.0,1808.0,1619.0,1682.0,1635.0,1577.0,1481.0,1468.0,1474.0,1492.0,1426.0,1429.0,1348.0,1356.0,1280.0,1307.0,1248.0,1243.0,1215.0,1319.0,1318.0,1280.0,1177.0,1177.2,1126.6,1046.4,981.4,1014.5
other-current-assets,2095.0,2196.0,2144.0,2015.0,2014.0,2101.0,2187.0,2645.0,2246.0,2369.0,2236.0,1792.0,1891.0,1751.0,,,,,,,,,,,,,,,,,,250.0,,,258.0,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,22653.0,22705.0,21967.0,20877.0,21653.0,22460.0,22980.0,26607.0,25162.0,24779.0,24873.0,22423.0,22526.0,23498.0,23600.0,27569.0,28723.0,29147.0,30844.0,38161.0,21597.0,20770.0,21210.0,20386.0,19483.0,18090.0,17852.0,9161.0,9435.0,9183.0,16336.0,9308.0,9014.0,9285.0,9150.0,9986.0,9894.0,9997.0,9839.0,7979.0,7312.0,7284.0,7452.0,7206.0,6502.0,7398.0,7322.0,6681.0,10541.0,7668.0,7918.0,8210.0,8423.0,10431.0,10377.0,8925.5,8119.0,7134.1,7421.5,6728.2
net-property-plant-equipment,4756.0,4711.0,4675.0,4593.0,4536.0,4524.0,4604.0,4517.0,4441.0,4387.0,4361.0,4947.0,4891.0,4814.0,4841.0,4636.0,4678.0,4672.0,4699.0,2326.0,2361.0,2376.0,2392.0,2408.0,2448.0,2444.0,2490.0,2502.0,2447.0,2451.0,2473.0,2480.0,2535.0,2521.0,2488.0,2507.0,2458.0,2420.0,2421.0,2377.0,2370.0,2333.0,2279.0,2256.0,2234.0,2241.0,2221.0,2228.0,2161.0,2092.0,2062.0,1989.0,1948.0,1904.0,1881.0,1875.9,1882.2,1849.8,1859.3,1804.6
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,9321.0,8816.0,8259.0,,7096.0,7013.0,6655.0,6116.0,5578.0,5448.0,5057.0,4632.0,4020.0,3751.0,3037.0,2769.0,2641.0,2803.0,2817.0,2322.0,2252.0,1481.0,3486.0,3203.0,2970.0,2056.0,1394.0,957.0,1122.2,1346.0,1481.1,1565.7,1466.9
goodwill-intangible-assets-total,59727.0,60316.0,60519.0,60838.0,59424.0,60225.0,61266.0,61973.0,61702.0,62202.0,61922.0,67433.0,68446.0,67746.0,68399.0,67692.0,69005.0,68356.0,68631.0,13289.0,13461.0,13037.0,12879.0,12965.0,13072.0,12953.0,13002.0,13099.0,12444.0,12492.0,12581.0,12628.0,12819.0,12236.0,12245.0,12286.0,11197.0,10905.0,10950.0,10519.0,10596.0,10634.0,10672.0,9930.0,9713.0,9676.0,9712.0,9787.0,5724.0,5750.0,5760.0,5918.0,5969.0,5920.0,5938.0,5976.6,5963.9,5976.8,5299.2,5320.4
other-long-term-assets,2113.0,1991.0,1014.0,926.0,1123.0,1099.0,1078.0,1166.0,1404.0,7284.0,7151.0,1291.0,1293.0,1311.0,1421.0,1749.0,1714.0,1679.0,1737.0,1250.0,1178.0,1172.0,1162.0,1235.0,1237.0,1297.0,1324.0,382.0,350.0,358.0,1252.0,399.0,372.0,394.0,362.0,240.0,314.0,281.0,248.0,273.0,255.0,286.0,416.0,677.0,781.0,519.0,518.0,464.0,356.0,352.0,365.0,477.0,488.0,507.0,512.0,438.8,456.4,475.5,471.7,375.3
total-long-term-assets,68400.0,68563.0,67727.0,67853.0,66497.0,67261.0,68413.0,69193.0,69296.0,75471.0,74984.0,75155.0,75880.0,75103.0,76044.0,75137.0,76222.0,75479.0,75841.0,17072.0,17183.0,16784.0,16733.0,16845.0,16985.0,16882.0,17048.0,25788.0,24525.0,24069.0,16482.0,22603.0,22739.0,21806.0,21525.0,20611.0,19417.0,18663.0,18251.0,17189.0,16972.0,16290.0,16136.0,15558.0,15531.0,15335.0,14876.0,14731.0,10045.0,11992.0,11594.0,11362.0,10473.0,9750.0,9288.0,9413.5,9648.501,9783.199,9195.9,8967.2
total-assets,91053.0,91268.0,89694.0,88730.0,88150.0,89721.0,91393.0,95800.0,94458.0,100250.0,99857.0,97578.0,98406.0,98601.0,99644.0,102706.0,104945.0,104626.0,106685.0,55233.0,38780.0,37554.0,37943.0,37231.0,36468.0,34972.0,34900.0,34949.0,33960.0,33252.0,32818.0,31911.0,31753.0,31091.0,30675.0,30597.0,29311.0,28660.0,28090.0,25168.0,24284.0,23574.0,23588.0,22764.0,22033.0,22733.0,22198.0,21412.0,20586.0,19660.0,19512.0,19572.0,18896.0,20181.0,19665.0,18339.0,17767.5,16917.3,16617.4,15695.4
