,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,12.68,
total-current-assets,250.397,194.344,182.375,178.114,153.085,158.479,153.754,129.971,117.029,123.123,128.325,133.248,120.527,,,,,133.32,
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,719.772,722.767,725.715,730.16,737.55,744.94,752.33,759.721,769.215,778.657,787.604,797.052,809.72,0.0,0.0,,0.0,920.17,0.0
other-long-term-assets,58.152,59.688,60.458,6.691,6.732,6.43,5.891,5.943,5.614,5.086,5.034,4.903,4.763,,,,,5.19,
total-long-term-assets,821.932,822.517,824.142,789.819,796.7581,809.702,819.27,820.746,831.847,840.5231,837.768,845.857,855.96,,,,,968.09,
total-assets,1072.329,1016.861,1006.517,967.933,949.843,968.181,973.024,950.717,948.876,963.646,966.093,979.105,976.487,0.0,0.0,0.0,0.0,1096.91,0.0
total-current-liabilities,314.392,296.073,264.541,257.026,232.127,233.162,232.492,192.706,172.363,155.262,150.045,168.603,156.595,,,,,133.64,
long-term-debt,46.022,43.731,102.019,104.205,138.724,172.592,207.158,231.713,196.256,170.782,175.293,179.794,183.597,,,,,523.37,
other-non-current-liabilities,14.33,14.403,14.625,16.56,11.014,10.683,10.44,10.74,8.538,8.343,8.092,7.968,5.249,,,,,4.16,
total-long-term-liabilities,65.93,62.733,120.079,121.204,156.327,194.938,229.459,254.481,226.263,201.026,195.068,199.792,209.352,,,,,561.29,
total-liabilities,380.322,358.806,384.62,378.23,388.454,428.1,461.951,447.187,398.626,356.288,345.113,368.395,365.947,0.0,0.0,,0.0,694.94,0.0
common-stock-net,0.36,0.359,0.357,0.356,0.356,0.356,0.355,0.355,0.375,0.398,0.407,0.407,0.407,0.0,0.0,,0.0,0.31,0.0
retained-earnings-accumulated-deficit,38.296,14.319,-13.136,-41.487,-67.294,-86.599,-115.521,-120.402,-77.42,-18.419,-1.577,-9.584,-9.563,,,,,-14.33,
comprehensive-income,-3.663,-2.377,-2.791,-2.517,-2.179,-2.115,-0.105,-0.734,-1.263,-2.028,-3.146,-3.742,-2.375,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,0.0,0.0,,0.0,-1.56,0.0
total-share-holder-equity,692.007,658.055,621.897,589.703,561.389,540.081,511.073,503.53,550.25,607.358,620.98,610.71,610.54,0.0,0.0,,0.0,401.97,0.0
total-liabilities-share-holders-equity,1072.329,1016.861,1006.517,967.933,949.843,968.181,973.024,950.717,948.876,963.646,966.093,979.105,976.487,0.0,0.0,,0.0,1096.91,0.0
