,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,0.295,0.232,0.218,0.272,0.214,0.151,0.349,0.383,0.364,0.455,0.793,0.704,0.844,0.663,0.603,0.305,,,,,,,,,,,,,,,0.04
total-current-assets,276.233,287.597,335.033,269.124,285.642,322.054,271.039,322.298,209.466,250.114,251.007,283.947,316.286,348.444,309.266,342.384,370.495,242.427,268.47,164.737,186.959,198.759,202.4041,119.457,36.9539,38.0047,,,,,58.66
net-property-plant-equipment,49.966,52.295,54.818,56.712,58.649,57.491,53.443,49.983,30.838,23.179,17.376,17.961,18.473,18.294,14.347,14.841,11.53,9.412,7.236,6.785,5.633,5.442,5.0843,5.035,4.4699,3.6263,,,,,16.66
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
other-long-term-assets,25.252,43.785,24.787,6.294,11.065,7.346,1.596,1.602,1.541,1.553,1.36,1.369,2.104,2.112,2.044,2.044,2.064,2.364,2.364,2.364,1.033,1.519,2.6844,1.29,0.5521,0.5521,,,,,0.73
total-long-term-assets,75.218,96.08,79.605,63.006,69.714,64.837,55.039,51.585,32.379,24.732,23.714,27.316,23.578,20.406,16.391,16.885,13.594,11.776,9.6,9.149,6.666,6.961,7.7687,6.325,5.022,4.1784,,,,,17.39
total-assets,351.451,383.677,414.638,332.13,355.356,386.891,326.078,373.883,241.845,274.846,274.721,311.263,339.864,368.85,325.657,359.269,384.089,254.203,278.07,173.886,193.625,205.72,210.1727,125.782,41.9759,42.1832,0.0,0.0,0.0,0.0,62.68
total-current-liabilities,57.634,49.535,51.771,59.94,48.025,48.027,49.956,49.755,32.438,29.889,26.552,27.302,22.052,19.529,17.807,24.202,22.387,23.847,24.128,27.094,25.988,29.872,29.3847,28.822,25.2658,28.0751,,,,,44.28
long-term-debt,28.582,24.278,25.043,,,,,,,,,0.298,0.715,1.12,2.142,2.693,3.215,3.725,5.914,6.364,6.789,7.204,7.6095,8.006,8.3782,8.7418,,,,,10.07
other-non-current-liabilities,,,,,,,,,,,,,0.727,0.727,0.727,,,,,,,,,,,,,,,,
total-long-term-liabilities,38.619,39.691,42.25,29.313,24.687,26.828,28.846,24.89,19.942,13.609,13.531,15.21,17.71,19.345,21.595,21.73,22.376,18.667,22.949,25.506,28.549,33.869,27.5688,18.046,20.7585,25.0383,,,,,35.86
total-liabilities,96.253,89.226,94.021,89.253,72.712,74.855,78.802,74.645,52.38,43.498,40.083,42.512,39.762,38.874,39.402,45.932,44.763,42.514,47.077,52.6,54.537,63.741,56.9535,46.868,46.0243,53.1134,0.0,,0.0,0.0,80.16
common-stock-net,0.489,0.489,0.488,0.424,0.422,0.422,0.37,0.369,0.368,0.367,0.35,0.349,0.348,0.347,0.345,0.343,0.342,0.301,0.3,0.28,0.278,0.277,0.275,0.252,0.0212,0.0196,0.0,,0.0,0.0,0.01
retained-earnings-accumulated-deficit,-611.686,-567.055,-535.288,-490.271,-445.627,-411.599,-368.355,-312.34,-418.067,-371.024,-330.37,-292.714,-257.931,-224.085,-264.549,-234.186,-205.735,-190.293,-168.917,-214.046,-195.028,-191.1,-178.8416,-175.733,-172.5283,-179.1322,,,,,-183.83
comprehensive-income,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
total-share-holder-equity,255.198,294.451,320.617,242.877,282.644,312.036,247.276,299.238,189.465,231.348,234.638,268.751,300.102,329.976,286.255,313.337,339.326,211.689,230.993,121.286,139.088,141.979,153.2192,78.914,-4.0484,-10.9303,0.0,,0.0,0.0,-17.48
total-liabilities-share-holders-equity,351.451,383.677,414.638,332.13,355.356,386.891,326.078,373.883,241.845,274.846,274.721,311.263,339.864,368.85,325.657,359.269,384.089,254.203,278.07,173.886,193.625,205.72,210.1727,125.782,41.9759,42.1832,0.0,,0.0,0.0,62.68
