,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,6.848,6.971,6.772,7.606,8.336,8.632,9.228,10.454,12.913,13.376,13.873,14.578,14.4,14.119,14.017,14.716,13.363,12.871,12.42,12.596,10.634,9.95,7.771,7.155,6.089,6.09,5.576,5.281,5.63,5.575,4.438,4.857,4.992,5.377,5.714,6.059,6.121,5.936,4.82,4.789,4.595,4.749,4.499,4.498,4.575,4.498,4.02,4.31,3.943,3.737,3.297,3.43,3.27,3.06,2.37,2.35,2.26,2.06,1.94
other-current-assets,,,,,,1.934,1.934,1.934,1.934,1.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,0.016,,,,0.034,,,,0.01,0.32,0.31,0.24,0.42,0.34,0.23,0.17,0.32
total-current-assets,270.728,33.824,33.623,32.561,33.591,32.832,31.988,34.089,41.316,33.751,35.785,34.964,34.335,32.548,37.186,34.247,34.994,29.288,29.622,29.308,30.754,28.091,26.566,20.6,18.601,17.774,19.455,16.558,16.758,18.284,19.161,17.464,17.448,18.834,17.318,14.243,15.28,14.072,20.474,18.778,19.956,19.478,18.593,17.318,16.091,14.903,14.411,12.84,12.086,11.364,10.842,9.37,9.25,9.87,10.95,10.11,10.72,11.34,11.12
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,98.614,101.178,99.596,102.484,103.342,105.207,108.393,109.732,108.857,109.411,109.946,111.216,109.789,109.978,106.934,105.184,106.186,76.861,78.1,77.629,73.168,74.291,63.283,64.274,39.414,38.446,39.058,39.731,40.409,41.116,24.269,25.416,25.783,26.065,25.934,25.968,20.454,21.11,8.926,9.229,6.945,7.039,6.986,7.112,7.577,7.702,7.489,7.614,7.74,7.865,7.991,8.15,8.02,8.24,4.2,4.2,4.2,0.0,4.2
other-long-term-assets,1.173,1.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145,,,,,,,,,,,4.2,
total-long-term-assets,121.737,125.847,123.144,125.599,126.697,128.626,132.113,133.688,132.617,135.232,135.948,135.489,131.918,129.517,123.562,120.869,120.899,87.901,87.698,86.87,81.346,82.193,70.963,71.955,47.186,46.068,46.464,47.059,47.683,48.427,31.535,32.758,33.083,33.368,33.242,33.377,27.874,28.572,13.165,13.472,10.972,10.865,11.021,10.903,11.054,11.189,11.122,11.235,11.224,11.323,11.512,8.15,8.02,8.24,4.2,4.2,4.2,4.2,4.2
total-assets,392.465,159.671,156.767,158.16,160.288,161.458,164.101,167.777,173.933,168.983,171.733,170.453,166.253,162.065,160.748,155.116,155.893,117.189,117.32,116.178,112.1,110.284,97.529,92.555,65.787,63.842,65.919,63.617,64.441,66.711,50.696,50.222,50.531,52.202,50.56,47.62,43.154,42.644,33.639,32.25,30.928,30.343,29.614,28.221,27.145,26.092,25.533,24.075,23.31,22.687,22.354,20.98,20.74,20.14,16.45,15.6,16.21,16.83,16.59
total-current-liabilities,16.741,21.323,23.661,20.783,19.532,15.639,17.29,14.397,14.45,14.927,16.567,22.018,21.794,22.535,23.971,20.902,23.854,13.011,14.657,12.679,13.27,12.405,10.215,10.783,4.687,3.371,4.662,3.859,3.387,4.954,4.262,4.63,6.409,9.58,9.931,8.512,5.098,5.303,1.944,1.649,1.065,1.473,1.484,1.374,1.301,1.332,1.587,1.09,0.965,1.278,1.469,0.99,0.93,1.02,1.2,0.74,0.91,0.94,0.98
long-term-debt,137.682,17.512,20.613,27.213,31.188,37.662,44.635,54.608,50.455,49.303,53.675,50.0,49.75,43.0,42.25,44.0,43.75,22.0,23.25,25.0,22.75,25.0,16.5,16.0,,1.5,4.0,5.0,8.0,11.0,,0.75,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,0.485,0.696,0.105,0.114,0.133,0.184,0.194,0.21,0.092,0.118,0.116,0.108,0.117,4.523,4.43,4.327,4.48,0.612,0.812,1.92,1.62,1.62,1.62,2.676,2.164,2.152,2.14,2.14,2.14,2.24,,,1.0,1.25,,1.75,1.75,2.0,,,,,,,,,,,,,,,,,,,,,
total-long-term-liabilities,146.567,19.301,21.795,29.784,33.853,40.368,47.45,58.933,54.245,53.065,57.345,54.71,54.189,51.866,52.099,53.57,53.091,27.788,29.184,31.781,29.231,31.481,22.981,23.267,4.528,6.016,8.504,9.659,12.659,15.759,2.519,3.886,4.136,4.386,4.212,4.662,4.662,5.103,0.498,0.528,0.528,0.528,0.528,0.207,0.207,0.207,0.207,0.162,0.161,0.161,0.162,0.32,0.32,0.32,0.32,0.23,0.23,0.23,0.23
total-liabilities,163.308,40.624,45.456,50.567,53.385,56.007,64.74,73.33,68.695,67.992,73.912,76.728,75.983,74.401,76.07,74.472,76.945,40.799,43.841,44.46,42.501,43.886,33.196,34.05,9.215,9.387,13.166,13.518,16.046,20.713,6.781,8.516,10.545,13.966,14.143,13.174,9.76,10.406,2.442,2.177,1.593,2.001,2.012,1.581,1.508,1.539,1.794,1.252,1.126,1.439,1.631,1.32,1.26,1.35,1.53,0.97,1.15,1.17,1.21
