,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,10.798,12.018,13.01,10.864,6.054,,,1.024,0.242,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,22.954,21.455,24.15,18.594,18.9,16.291,8.613,6.839,7.407,5.529,3.871,3.092,4.849,4.568,4.377,4.883,5.94,4.696,4.916,4.394,4.194,,,2.723,2.232,2.119,2.153,2.162,2.688,2.179,2.079,1.47,2.098,1.966,1.664,1.716,1.402,1.093,2.133,1.923,1.06,1.014,0.819,0.911,1.698,1.726,2.446,3.536,3.329,3.263,3.248,3.863,4.571,5.902,4.303,5.384,5.252,5.425,5.899
total-current-assets,819.232,748.808,633.192,737.777,714.394,567.677,513.716,554.919,548.485,536.751,239.451,310.442,357.891,391.966,400.984,384.074,382.785,389.416,404.953,198.203,183.868,197.575,221.735,148.462,159.218,155.853,160.395,189.264,178.018,181.258,184.974,132.476,136.126,120.038,126.584,133.051,131.592,143.761,68.332,55.387,58.19,53.784,67.204,81.423,98.81,113.629,152.203,182.948,128.18,150.595,170.313,193.658,204.78,240.627,274.722,279.31,297.628,271.525,281.034
net-property-plant-equipment,40.302,39.623,36.661,33.869,28.618,18.775,11.825,10.811,9.14,6.954,7.144,6.271,6.18,5.811,3.897,3.432,2.874,2.802,2.543,2.507,2.292,2.239,1.798,1.771,1.739,1.876,1.784,1.9,2.034,1.861,1.837,1.586,1.687,1.263,1.309,1.532,1.827,2.085,2.236,2.695,3.395,4.183,5.075,6.191,77.309,79.434,80.672,82.598,84.631,86.524,88.882,91.378,93.868,96.693,97.363,99.307,98.937,99.811,101.238
long-term-investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-long-term-assets,66.693,54.562,54.781,5.477,5.477,5.477,4.5,4.5,4.613,4.613,5.083,4.883,4.883,4.883,4.991,4.791,4.791,4.815,4.831,4.831,4.443,4.443,4.443,4.443,4.335,4.335,4.335,4.335,4.334,4.334,4.306,4.306,6.128,6.104,6.104,6.102,6.333,6.329,6.327,6.325,7.721,7.66,9.14,9.511,10.359,11.014,11.009,11.108,104.687,104.745,104.52,104.641,105.483,105.223,105.318,104.506,104.404,104.176,104.096
total-long-term-assets,360.703,318.053,324.531,255.374,219.352,273.64,292.644,262.672,224.011,217.335,49.913,54.644,41.27,37.872,58.348,90.711,109.651,121.789,122.826,44.83,73.883,71.964,57.561,6.214,6.749,18.96,23.529,6.715,15.233,20.829,25.167,5.892,12.902,7.367,7.413,11.373,18.341,11.283,11.551,15.431,17.718,33.085,33.824,36.759,108.923,112.041,91.681,93.706,189.318,191.269,193.402,196.019,199.351,201.916,202.681,203.813,203.341,203.987,205.334
total-assets,1179.935,1066.861,957.723,993.151,933.746,841.317,806.36,817.591,772.496,754.086,289.364,365.086,399.161,429.838,459.332,474.785,492.436,511.205,527.779,243.033,257.751,269.539,279.296,154.676,165.967,174.813,183.924,195.979,193.251,202.087,210.141,138.368,149.028,127.405,133.997,144.424,149.933,155.044,79.883,70.818,75.908,86.869,101.028,118.182,207.733,225.67,243.884,276.654,317.498,341.864,363.715,389.677,404.131,442.543,477.403,483.123,500.969,475.512,486.368
total-current-liabilities,115.652,100.589,72.003,88.233,456.4,61.762,46.466,54.426,38.141,27.721,23.563,30.414,26.666,26.899,23.276,25.715,19.822,17.553,15.187,15.664,14.045,12.053,10.608,11.699,13.321,14.573,13.878,15.646,23.113,29.152,36.631,47.11,48.444,49.99,49.028,52.777,53.184,52.123,18.63,19.961,24.044,33.017,32.536,26.094,18.975,19.494,17.972,29.907,20.021,18.943,17.823,20.116,21.267,23.932,32.757,33.693,35.039,40.294,47.182
long-term-debt,478.071,464.651,460.582,388.496,,378.885,374.209,369.618,365.11,360.681,0.544,0.617,0.649,0.713,0.809,1.555,1.67,1.77,2.086,2.211,2.334,2.451,2.566,2.68,2.789,2.893,2.996,3.097,2.269,2.19,2.259,2.328,5.335,5.704,6.15,6.58,4.487,5.093,6.163,7.241,8.378,2.75,3.016,7.527,108.745,108.745,108.745,108.745,47.438,47.933,48.526,49.152,50.129,51.205,52.403,53.59,54.941,56.4,57.95
other-non-current-liabilities,11.697,17.915,15.863,28.345,12.107,5.326,3.107,3.135,3.276,1.806,1.418,1.575,1.703,1.817,2.038,1.932,2.009,2.097,2.077,2.137,2.176,2.202,2.248,2.242,2.107,2.068,2.03,1.992,2.175,2.11,2.004,1.925,1.822,1.729,1.613,1.514,1.425,1.252,1.079,0.906,2.204,2.102,3.268,3.244,3.961,4.455,4.636,4.71,5.085,5.939,5.663,5.693,6.259,5.634,8.413,5.736,5.249,4.799,4.516
total-long-term-liabilities,489.768,482.566,476.445,424.153,29.833,402.119,395.407,391.027,386.843,381.127,18.66,19.795,20.844,21.901,23.097,24.616,25.671,26.712,27.862,18.67,19.669,20.641,21.631,22.567,23.354,24.224,25.093,25.961,26.833,28.202,29.676,31.177,42.835,51.857,61.975,72.302,80.102,90.509,44.532,46.903,50.789,46.504,49.381,55.314,125.111,126.335,127.246,128.05,52.523,53.872,54.189,54.845,56.388,56.839,60.816,59.326,62.19,63.199,64.466
total-liabilities,605.42,583.155,548.448,512.386,486.233,463.881,441.873,445.453,424.984,408.848,42.223,50.209,47.51,48.8,46.373,50.331,45.493,44.265,43.049,34.334,33.714,32.694,32.239,34.266,36.675,38.797,38.971,41.607,49.946,57.354,66.307,78.287,91.279,101.847,111.003,125.079,133.286,142.632,63.162,66.864,74.833,79.521,81.917,81.408,144.086,145.829,145.218,157.957,72.544,72.815,72.012,74.961,77.655,80.771,93.573,93.019,97.229,103.493,111.648
common-stock-net,0.092,0.092,0.091,0.091,0.091,0.09,0.09,0.089,0.088,0.088,0.088,0.087,0.087,0.087,0.087,0.086,0.086,0.086,0.085,0.076,0.076,0.076,0.076,0.067,0.067,0.067,0.067,0.066,0.066,0.066,0.066,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.044,0.039,0.039,0.039,0.039,0.039,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.037,0.037,0.037,0.037
retained-earnings-accumulated-deficit,-1166.7,-1220.489,-1271.827,-1177.755,-1195.833,-1246.597,-1240.684,-1198.866,-1205.76,-1194.635,-1134.65,-1056.324,-1011.665,-974.778,-934.498,-915.234,-885.919,-851.484,-827.497,-826.305,-806.861,-790.986,-777.605,-765.763,-755.121,-743.99,-731.748,-719.673,-729.163,-726.085,-725.584,-724.698,-726.029,-757.411,-759.387,-762.269,-764.756,-768.089,-762.937,-754.301,-746.385,-738.208,-722.928,-703.263,-674.409,-656.698,-635.727,-614.65,-486.675,-459.435,-433.071,-407.351,-392.639,-353.496,-326.047,-300.146,-276.238,-302.389,-296.785
comprehensive-income,1.606,0.645,-0.233,-1.932,-2.056,-2.809,-3.697,-1.85,-0.534,-0.713,-0.235,-0.318,-0.187,-0.039,-0.188,-0.977,-0.609,-0.404,-0.179,-0.277,-0.207,-0.126,-0.194,0.005,-0.009,-0.044,-0.044,-0.002,0.019,-0.143,-0.127,-0.087,-0.159,-0.019,-0.05,-0.048,0.696,0.691,0.694,1.209,1.243,1.038,-1.438,-1.57,-1.744,-1.51,-1.376,-0.233,0.272,0.634,0.324,0.099,-0.328,-1.31,-1.184,-1.504,-2.329,-2.147,-3.19
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.933,,,,,,,,-0.069,-0.069,-0.069
total-share-holder-equity,574.515,483.706,409.275,480.765,447.513,377.436,364.487,372.138,347.512,345.238,247.141,314.877,351.651,381.038,412.959,424.454,446.943,466.94,484.73,208.699,224.037,236.845,247.057,120.41,129.292,136.016,144.953,154.372,143.305,144.733,143.834,60.081,57.749,25.558,22.994,19.345,16.647,12.412,16.721,3.954,1.075,7.348,19.111,36.774,63.647,79.841,98.666,118.697,244.954,269.049,291.703,314.716,326.476,361.772,383.83,390.104,403.74,372.019,374.72
total-liabilities-share-holders-equity,1179.935,1066.861,957.723,993.151,933.746,841.317,806.36,817.591,772.496,754.086,289.364,365.086,399.161,429.838,459.332,474.785,492.436,511.205,527.779,243.033,257.751,269.539,279.296,154.676,165.967,174.813,183.924,195.979,193.251,202.087,210.141,138.368,149.028,127.405,133.997,144.424,149.933,155.044,79.883,70.818,75.908,86.869,101.028,118.182,207.733,225.67,243.884,276.654,317.498,341.864,363.715,389.677,404.131,442.543,477.403,483.123,500.969,475.512,486.368
