,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,0.348,0.448,0.521,0.224,0.278,0.125,0.096,0.035,0.065,0.023,0.011,0.035,0.081,0.126,0.045,0.034,1.628,0.305,0.234,0.994,0.318,0.347,0.309,0.429,0.417,0.342,0.379,0.504,,,,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,26.57,22.888,22.873,28.41,28.77,23.633,52.278,52.259,53.822,50.983,52.383,47.065,45.917,42.741,44.814,55.061,56.067,55.771,53.171,53.188,53.202,47.475,42.275,36.566,34.908,29.665,27.869,23.815,32.451,28.224,25.259,22.137,21.627,20.845,20.181,17.341,16.393,19.363,17.226,11.664,13.296,11.019,12.7074,10.439,11.9538,12.2818,13.5831,12.6003,15.1169,14.3855,13.9315,12.9969,11.6717,12.8144,17.8699,18.2176,23.0874,26.2906,26.406
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,59.718,59.837,59.885,59.933,60.215,60.341,60.552,60.785,60.968,60.772,60.858,60.985,61.184,61.364,61.536,61.57,61.836,63.268,63.474,63.945,61.684,62.018,62.129,62.433,62.748,62.912,63.264,63.593,63.902,64.05,64.483,64.803,65.153,65.437,63.409,63.771,62.606,46.234,46.605,46.807,46.153,46.198,46.2896,47.332,36.1545,36.4467,36.3331,36.6671,36.8476,36.7943,36.5058,36.488,36.7388,36.9344,14.4565,14.5274,14.2058,10.0325,10.0792
other-long-term-assets,3.672,3.935,4.203,2.052,2.092,2.222,2.119,1.913,1.861,0.683,0.685,0.768,0.541,0.551,0.389,0.293,0.412,0.266,0.203,0.234,0.234,0.196,0.148,0.191,0.218,0.233,0.177,0.145,0.169,0.196,0.125,0.123,0.284,0.212,0.186,0.176,0.045,0.196,0.05,0.053,0.644,0.644,0.6439,0.627,0.0602,0.0559,0.0466,0.0373,0.0491,0.0498,0.0505,0.0513,0.0479,0.0486,0.0357,0.0396,0.049,0.0503,0.0465
total-long-term-assets,81.079,81.387,81.698,79.622,79.947,79.252,78.698,75.057,74.918,73.593,73.676,73.559,73.384,73.758,73.556,72.988,73.409,75.277,75.281,76.322,73.861,74.393,74.002,74.522,75.006,75.234,75.633,76.231,76.978,77.37,78.119,78.539,79.325,79.453,77.822,78.429,77.023,59.461,60.158,60.835,61.03,61.2451,60.6269,61.706,48.81,48.8876,48.6108,49.2685,48.9238,48.9065,48.5922,48.5351,48.5936,48.9323,26.3523,26.4578,26.1383,22.0746,22.3018
total-assets,107.649,104.275,104.571,108.032,108.717,102.885,130.976,127.316,128.74,124.576,126.059,120.624,119.301,116.499,118.37,128.049,129.476,131.048,128.452,129.51,127.063,121.868,116.277,111.088,109.914,104.899,103.502,100.046,109.429,105.594,103.378,100.676,100.952,100.298,98.003,95.77,93.416,78.824,77.384,72.499,74.326,72.2641,73.3344,72.145,60.7638,61.1694,62.1939,61.8688,64.0407,63.292,62.5237,61.532,60.2653,61.7467,44.2222,44.6754,49.2257,48.3652,48.7078
total-current-liabilities,38.312,37.076,39.238,47.109,35.437,32.917,29.484,32.31,34.167,30.851,34.351,31.514,31.131,29.27,32.518,44.171,31.584,29.282,27.594,27.926,26.987,25.287,23.938,23.782,26.127,24.742,35.748,35.298,37.687,25.272,24.417,24.399,26.656,27.147,25.727,26.15,25.263,20.739,19.408,16.095,19.188,19.0396,21.052,21.089,18.8176,20.6155,22.1788,14.984,15.4386,14.8009,14.3789,14.4789,14.4274,16.7328,8.5139,10.16,8.2841,9.0315,6.8343
long-term-debt,30.977,32.139,33.223,34.176,35.109,36.029,,,,,0.225,0.857,1.485,2.107,2.724,3.337,3.945,4.548,5.146,5.74,6.328,6.912,7.568,8.068,8.638,9.203,,0.225,,11.457,11.948,12.95,12.916,13.392,13.864,14.659,14.795,6.149,6.357,6.876,7.794,7.9882,8.187,8.374,,,0.3512,1.9006,3.7793,6.0773,7.6091,7.9829,8.1519,8.3609,,,4.6182,4.6603,4.7026
other-non-current-liabilities,2.175,2.325,2.837,1.388,1.433,1.314,0.975,0.935,0.874,0.838,0.838,0.777,0.559,0.546,0.438,0.575,0.522,0.54,0.535,0.541,0.412,0.431,,0.301,0.138,0.168,0.198,,0.253,0.28,0.3,,0.305,0.28,0.304,,0.019,0.009,0.018,0.027,,,,,,,,,0.7057,0.5886,0.2744,0.0521,,,,,0.3543,0.3378,0.3411
