,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,406.942,369.983,335.673,321.369,296.825,289.889,282.842,245.134,241.887,236.492,243.46,261.873,271.43,234.698,263.641,293.904,158.802,180.92,,,,183.48
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,14.635,14.659,13.92,,,,,,,,,,,,,,,,0.0,,0.0,0.0
other-long-term-assets,5.717,5.682,4.975,3.058,2.823,2.988,2.715,2.097,2.082,1.868,1.851,1.588,1.735,1.158,1.076,0.851,1.78,2.09,,,,0.25
total-long-term-assets,36.916,36.206,34.582,18.424,18.687,19.987,20.637,20.164,20.391,20.55,21.168,20.208,19.663,15.821,15.377,13.432,14.979,2.88,,,,7.84
total-assets,443.858,406.189,370.255,339.793,315.512,309.876,303.479,265.298,262.278,257.042,264.628,282.081,291.093,250.519,279.018,307.336,173.781,192.77,0.0,0.0,0.0,188.91
total-current-liabilities,80.405,73.567,70.948,64.56,48.087,45.247,44.759,50.202,40.985,35.171,31.915,36.882,29.712,34.618,29.428,28.627,25.915,22.25,,,,15.59
long-term-debt,160.751,160.926,160.32,149.268,149.231,149.195,149.16,97.342,97.049,96.765,96.492,96.231,95.97,23.292,23.193,23.097,24.554,24.53,,,,
other-non-current-liabilities,0.295,0.306,0.363,1.094,0.911,0.88,0.92,1.737,5.07,4.882,4.565,4.033,4.036,3.371,3.148,2.735,2.088,1.67,,,,
total-long-term-liabilities,173.088,173.716,172.913,162.974,152.489,152.548,152.602,101.532,104.608,104.326,103.813,102.854,103.138,29.255,29.164,27.889,26.642,26.2,,,,
total-liabilities,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
retained-earnings-accumulated-deficit,-655.145,-657.075,-655.805,-643.655,-628.024,-616.33,-600.82,-582.258,-571.313,-559.815,-538.641,-519.926,-497.758,-464.13,-423.518,-388.081,-355.153,-329.13,,,,-195.81
comprehensive-income,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
total-share-holder-equity,190.365,158.906,126.394,112.259,114.936,112.081,106.118,113.564,116.685,117.545,128.9,142.345,158.243,186.646,220.426,250.82,121.224,144.3,0.0,,0.0,171.77
total-liabilities-share-holders-equity,443.858,406.189,370.255,339.793,315.512,309.876,303.479,265.298,262.278,257.042,264.628,282.081,291.093,250.519,279.018,307.336,173.781,192.77,0.0,,0.0,0.0
