,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,90.73,92.353,93.14,92.035,93.606,94.994,97.497,98.119,95.575,87.016,84.735,85.221,73.367,68.122,67.576,62.43,42.651,26.371,18.236,14.856,12.124,,,,,9.58
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
total-current-assets,400.801,400.684,409.954,443.859,432.817,431.644,427.522,441.181,426.597,410.293,407.359,420.291,408.939,402.478,265.88,282.631,279.191,291.507,187.792,201.125,53.479,,,,,48.82
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0
other-long-term-assets,35.216,35.326,35.944,6.456,4.921,4.635,4.55,4.056,4.152,3.3,3.116,3.16,3.315,3.146,2.708,2.758,2.807,2.998,3.239,0.724,2.345,,,,,0.18
total-long-term-assets,46.937,47.309,48.16,19.257,18.233,18.245,17.323,12.875,11.339,10.479,10.506,10.292,10.922,9.834,8.57,8.552,8.493,5.82,4.428,1.371,2.634,,,,,0.57
total-assets,447.738,447.993,458.114,463.116,451.05,449.889,444.845,454.056,437.936,420.772,417.865,430.583,419.861,412.312,274.45,291.183,287.684,297.327,192.22,202.496,56.113,0.0,0.0,0.0,0.0,49.11
total-current-liabilities,68.327,66.223,65.041,62.414,53.795,53.535,53.497,58.004,48.606,37.054,34.204,42.198,34.565,30.553,25.351,36.389,23.496,16.04,13.429,10.798,8.689,,,,,5.24
long-term-debt,179.602,178.466,177.331,152.394,150.508,148.643,146.821,145.019,143.26,141.52,139.82,138.14,136.496,134.786,19.801,19.74,19.689,19.628,19.569,19.511,,,,,,
other-non-current-liabilities,1.712,1.762,1.643,2.825,2.445,2.122,1.905,1.861,1.831,1.408,1.307,1.211,1.071,0.573,0.518,0.462,0.158,0.132,0.104,0.117,0.067,,,,,0.24
total-long-term-liabilities,181.314,180.228,178.974,155.219,152.953,150.765,148.726,146.88,145.091,142.928,141.127,139.351,137.567,135.359,20.319,20.202,19.847,19.76,19.673,19.628,0.067,,,,,0.24
total-liabilities,249.641,246.451,244.015,217.633,206.748,204.3,202.223,204.884,193.697,179.982,175.331,181.549,172.132,165.912,45.67,56.591,43.343,35.8,33.102,30.426,8.756,0.0,0.0,,0.0,5.49
common-stock-net,0.031,0.031,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.029,0.029,0.029,0.029,0.028,0.028,0.028,0.028,0.028,0.025,0.025,0.002,0.0,0.0,,0.0,0.001
retained-earnings-accumulated-deficit,-396.026,-378.179,-350.158,-306.082,-296.475,-285.21,-274.59,-257.844,-253.533,-247.303,-235.693,-221.186,-211.361,-207.475,-198.696,-189.408,-175.217,-155.763,-136.037,-121.977,-113.65,,,,,-64.98
comprehensive-income,-0.538,-0.738,-0.556,-1.077,-0.948,-1.061,-1.016,-1.242,-0.612,-0.79,-0.857,-0.678,-0.917,-0.31,-0.4,-0.175,-0.119,0.159,-0.125,0.077,-0.021,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.005
total-share-holder-equity,198.097,201.542,214.099,245.483,244.302,245.589,242.622,249.172,244.239,240.79,242.534,249.034,247.729,246.4,228.78,234.592,244.341,261.527,159.118,172.07,47.357,0.0,0.0,,0.0,43.61
total-liabilities-share-holders-equity,447.738,447.993,458.114,463.116,451.05,449.889,444.845,454.056,437.936,420.772,417.865,430.583,419.861,412.312,274.45,291.183,287.684,297.327,192.22,202.496,56.113,0.0,0.0,,0.0,49.11
